country,log_beta_S,beta_S,log_posterior,posterior_weight,grid_half_width,grid_points,grid_tail_drop_target,grid_min_effective_points_target,grid_max_single_weight_target,grid_left_edge_drop,grid_right_edge_drop,grid_min_edge_drop,grid_effective_points,grid_max_weight
Japan,-4.446441340501054,0.011720201050498015,-2272.780724043823,6.090646615378346e-15,0.004162002650640684,41,20.0,10.0,0.2,32.519582145157074,17.561951441312885,17.561951441312885,1.5090709804296292,0.8086088337512412
Japan,-4.446233240368522,0.011722640279683083,-2269.714637739372,1.306916271670759e-13,0.004162002650640684,41,20.0,10.0,0.2,32.519582145157074,17.561951441312885,17.561951441312885,1.5090709804296292,0.8086088337512412
Japan,-4.4460251402359905,0.01172508001652488,-2265.4086800042937,9.689501823847754e-12,0.004162002650640684,41,20.0,10.0,0.2,32.519582145157074,17.561951441312885,17.561951441312885,1.5090709804296292,0.8086088337512412
Japan,-4.445817040103458,0.011727520261129075,-2266.128141313298,4.71892823146931e-12,0.004162002650640684,41,20.0,10.0,0.2,32.519582145157074,17.561951441312885,17.561951441312885,1.5090709804296292,0.8086088337512412
Japan,-4.445608939970926,0.01172996101360134,-2265.705859910942,7.198431150859412e-12,0.004162002650640684,41,20.0,10.0,0.2,32.519582145157074,17.561951441312885,17.561951441312885,1.5090709804296292,0.8086088337512412
Japan,-4.445400839838394,0.01173240227404737,-2261.5852620830788,4.4339496178358987e-10,0.004162002650640684,41,20.0,10.0,0.2,32.519582145157074,17.561951441312885,17.561951441312885,1.5090709804296292,0.8086088337512412
Japan,-4.4451927397058615,0.011734844042572884,-2258.8635571460545,6.742363913711763e-09,0.004162002650640684,41,20.0,10.0,0.2,32.519582145157074,17.561951441312885,17.561951441312885,1.5090709804296292,0.8086088337512412
Japan,-4.44498463957333,0.011737286319283618,-2260.664137500832,1.1138586381231144e-09,0.004162002650640684,41,20.0,10.0,0.2,32.519582145157074,17.561951441312885,17.561951441312885,1.5090709804296292,0.8086088337512412
Japan,-4.444776539440798,0.011739729104285357,-2256.0214979194825,1.1563860098353015e-07,0.004162002650640684,41,20.0,10.0,0.2,32.519582145157074,17.561951441312885,17.561951441312885,1.5090709804296292,0.8086088337512412
Japan,-4.444568439308266,0.011742172397683874,-2257.4711946286825,2.713360807334938e-08,0.004162002650640684,41,20.0,10.0,0.2,32.519582145157074,17.561951441312885,17.561951441312885,1.5090709804296292,0.8086088337512412
Japan,-4.444360339175734,0.011744616199584968,-2254.43962937114,5.624703195178492e-07,0.004162002650640684,41,20.0,10.0,0.2,32.519582145157074,17.561951441312885,17.561951441312885,1.5090709804296292,0.8086088337512412
