country,iso3,year,sample_size,resistant_fraction,lower,upper,evidence_type,source,notes
China,CHN,2016,,0.364,0.280,0.450,measured_regional_isolate_fraction,https://wwwnc.cdc.gov/eid/article/30/1/22-1588_article,"Shanghai isolate series; MRBP reported as increasing from 36.4% in 2016 to 97.2% in 2022."
China,CHN,2022,,0.972,0.940,0.990,measured_regional_isolate_fraction,https://wwwnc.cdc.gov/eid/article/30/1/22-1588_article,"Shanghai isolate series; regional high-resistance anchor before the 2024 multicenter outbreak study."
China,CHN,2024,394,0.997,0.986,1.000,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,"Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance."
Australia,AUS,2024,188,0.043,0.019,0.082,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,"Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%)."
New_Zealand,NZL,1995,88,0.000,0.000,0.041,measured_historical_national_isolate_fraction,https://pubmed.ncbi.nlm.nih.gov/9579709/,"ESR national reference laboratory series from 1991-1995: 88 strains tested, with erythromycin MICs 0.12-0.5 mg/L. A later meta-analysis tabulates this study as 0/88 resistant isolates."
New_Zealand,NZL,2025,,0.010,0.000,0.050,low_detected_model_anchor,https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/communicable-disease-control-manual/pertussis,"Health New Zealand notes MRBP has been detected by PHF Science and is being assessed; no public national fraction was located, so use a low detected/imported anchor pending surveillance."
United_Kingdom,GBR,2009,583,0.000,0.000,0.006,measured_historical_national_isolate_fraction,https://researchportal.ukhsa.gov.uk/en/publications/antimicrobial-susceptibility-testing-of-historical-and-recent-cli/,"UK enhanced-surveillance isolates collected from 2001-2009: all 583 isolates were fully susceptible to erythromycin, clarithromycin, and azithromycin."
United_Kingdom,GBR,2024,661,0.003,0.000,0.011,measured_national_surveillance_fraction,https://www.postersessiononline.eu/173580348_eu/congresos/UKHSA2025/aula/-P_58_UKHSA2025.pdf,"UKHSA national reference laboratory poster: 661 B. pertussis isolates received from June 2023 to November 2024, with 2 predicted and phenotypically confirmed macrolide-resistant isolates."
United_States,USA,1997,47,0.021,0.001,0.113,measured_regional_isolate_fraction,https://pubmed.ncbi.nlm.nih.gov/9350776/,"Intermountain West pediatric isolates recovered from January 1985 to June 1997; 1/47 was erythromycin resistant (MIC 32 ug/mL)."
United_States,USA,2015,1208,0.000,0.000,0.003,measured_multistate_surveillance_fraction,https://www.walshmedicalmedia.com/conference-abstracts-files/2155-9597.C1.016-015.pdf,"CDC surveillance abstract: 1208 B. pertussis isolates collected from 2011-2015 across 7 enhanced-surveillance states, 2 outbreak states, and 6 sporadic-state settings were susceptible to erythromycin and azithromycin; 54 DNA NPS extracts had no A2047G mutation."
Japan,JPN,2024,8,0.875,0.473,0.997,measured_regional_case_series_fraction,https://www.sciencedirect.com/science/article/pii/S1341321X26000140,"Osaka case series, August 2024-January 2025; 7/8 analyzed B. pertussis strains were macrolide resistant."
Japan,JPN,2025,52,0.827,0.697,0.918,measured_multicenter_isolate_fraction,https://www.mdpi.com/2227-9059/14/1/167,"Japanese children at six clinics, March-August 2025; 43/52 sequenced B. pertussis isolates carried the A2047G mutation associated with macrolide resistance."
Sweden,SWE,2025,,0.010,0.000,0.050,low_imported_model_anchor,https://www.folkhalsomyndigheten.se/contentassets/975cc036216b48a39b7bf34319d4ecee/pertussis-surveillance-sweden-23rd-annual-report.pdf,"No public Swedish MRBP prevalence estimate was located in the accessible national surveillance material, so keep a conservative low anchor pending numeric reporting."
Brazil,BRA,2025,,0.010,0.000,0.050,low_detected_model_anchor,https://www.paho.org/en/news/26-8-2025-paho-calls-strengthened-vaccination-and-surveillance-amid-spread-antibiotic,"PAHO reported antibiotic-resistant pertussis cases detected in Brazil since 2024, but no public national resistant fraction or denominator was located, so keep a conservative low detected anchor pending numeric reporting."
Thailand,THA,2025,,0.010,0.000,0.050,low_imported_model_anchor,https://www.cdc.gov/pertussis/hcp/antibiotic-resistance/index.html,"No public Thailand-specific MRBP prevalence estimate was located in accessible surveillance material; CDC notes increasing MRBP globally, so keep a conservative low imported anchor pending numeric reporting."
