"Date","Year","Month","Week","Disease","Cases","URL","Country","Method","PopulationRaw","Population","Country.y","Incidence"
2015-01-01,2015,1,NA,"pertussis",1487,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",6.20928626947668
2015-02-01,2015,2,NA,"pertussis",1240,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",5.17788498597921
2015-03-01,2015,3,NA,"pertussis",1360,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",5.67897062978365
2015-04-01,2015,4,NA,"pertussis",1199,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",5.00668072434602
2015-05-01,2015,5,NA,"pertussis",1399,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",5.84182346402009
2015-06-01,2015,6,NA,"pertussis",1589,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",6.63520906671045
2015-07-01,2015,7,NA,"pertussis",1660,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",6.93168473929474
2015-08-01,2015,8,NA,"pertussis",2054,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",8.57691593645265
2015-09-01,2015,9,NA,"pertussis",1940,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",8.10088457483844
2015-10-01,2015,10,NA,"pertussis",2548,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",10.6397185034476
2015-11-01,2015,11,NA,"pertussis",3259,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",13.6086509429889
2015-12-01,2015,12,NA,"pertussis",2835,"https://nindss.health.gov.au/pbi-dashboard/","AU","Interpolation",23948002,239.48002,"Australia",11.8381483348799
