"country","contactdata_country","data_source","source_age_bin","target_age_bin","contacts_per_day"
"Australia","Australia","2017","[00,05)","[00,05)",2.60336697513677
"Australia","Australia","2017","[05,10)","[00,05)",0.986140254526577
"Australia","Australia","2017","[10,15)","[00,05)",0.248938834902589
"Australia","Australia","2017","[15,20)","[00,05)",0.142418412685806
"Australia","Australia","2017","[20,25)","[00,05)",0.258512196245034
"Australia","Australia","2017","[25,30)","[00,05)",0.621841061242004
"Australia","Australia","2017","[30,35)","[00,05)",0.848990384365738
"Australia","Australia","2017","[35,40)","[00,05)",0.759852722113943
"Australia","Australia","2017","[40,45)","[00,05)",0.380269296771751
"Australia","Australia","2017","[45,50)","[00,05)",0.338060603186146
"Australia","Australia","2017","[50,55)","[00,05)",0.308041920446849
"Australia","Australia","2017","[55,60)","[00,05)",0.556963699208158
"Australia","Australia","2017","[60,65)","[00,05)",0.522444758327231
"Australia","Australia","2017","[65,70)","[00,05)",0.344541981052045
"Australia","Australia","2017","[70,75)","[00,05)",0.146272361477909
"Australia","Australia","2017","[75,80)","[00,05)",0.25724739320597
"Australia","Australia","2017","[00,05)","[05,10)",1.08383272581524
"Australia","Australia","2017","[05,10)","[05,10)",5.81313264402994
"Australia","Australia","2017","[10,15)","[05,10)",1.72575632767318
"Australia","Australia","2017","[15,20)","[05,10)",0.352436717226892
"Australia","Australia","2017","[20,25)","[05,10)",0.206067485639012
"Australia","Australia","2017","[25,30)","[05,10)",0.316536274601392
"Australia","Australia","2017","[30,35)","[05,10)",0.9412760296389
"Australia","Australia","2017","[35,40)","[05,10)",1.11983570445408
"Australia","Australia","2017","[40,45)","[05,10)",0.788202150342356
"Australia","Australia","2017","[45,50)","[05,10)",0.554541405181123
"Australia","Australia","2017","[50,55)","[05,10)",0.665537199974907
"Australia","Australia","2017","[55,60)","[05,10)",0.763625461570298
"Australia","Australia","2017","[60,65)","[05,10)",0.492626833463303
"Australia","Australia","2017","[65,70)","[05,10)",0.521109132969399
"Australia","Australia","2017","[70,75)","[05,10)",0.418688437036783
"Australia","Australia","2017","[75,80)","[05,10)",0.348682999683026
"Australia","Australia","2017","[00,05)","[10,15)",0.422390853313218
"Australia","Australia","2017","[05,10)","[10,15)",1.080535957432
"Australia","Australia","2017","[10,15)","[10,15)",7.62435298012931
"Australia","Australia","2017","[15,20)","[10,15)",2.825771848713
"Australia","Australia","2017","[20,25)","[10,15)",0.345654543108911
"Australia","Australia","2017","[25,30)","[10,15)",0.244566437928301
"Australia","Australia","2017","[30,35)","[10,15)",0.69314509895149
"Australia","Australia","2017","[35,40)","[10,15)",0.886377402698597
"Australia","Australia","2017","[40,45)","[10,15)",1.10882281585866
"Australia","Australia","2017","[45,50)","[10,15)",0.772204937799652
"Australia","Australia","2017","[50,55)","[10,15)",0.99732959872332
"Australia","Australia","2017","[55,60)","[10,15)",0.763981721345602
"Australia","Australia","2017","[60,65)","[10,15)",0.372828816110078
"Australia","Australia","2017","[65,70)","[10,15)",0.432563388046549
"Australia","Australia","2017","[70,75)","[10,15)",0.395555631629762
"Australia","Australia","2017","[75,80)","[10,15)",0.516216143969113
"Australia","Australia","2017","[00,05)","[15,20)",0.272996880167977
"Australia","Australia","2017","[05,10)","[15,20)",0.291216599762535
"Australia","Australia","2017","[10,15)","[15,20)",0.905364426033184
"Australia","Australia","2017","[15,20)","[15,20)",10.394360956465
"Australia","Australia","2017","[20,25)","[15,20)",2.67610825112292
"Australia","Australia","2017","[25,30)","[15,20)",0.921087954011838
"Australia","Australia","2017","[30,35)","[15,20)",0.516914105622354
"Australia","Australia","2017","[35,40)","[15,20)",0.776915792940759
"Australia","Australia","2017","[40,45)","[15,20)",1.20187186288207
"Australia","Australia","2017","[45,50)","[15,20)",1.62111194288949
"Australia","Australia","2017","[50,55)","[15,20)",1.38147480673019
"Australia","Australia","2017","[55,60)","[15,20)",0.929905883038557
"Australia","Australia","2017","[60,65)","[15,20)",0.518600436340999
"Australia","Australia","2017","[65,70)","[15,20)",0.252580608642572
"Australia","Australia","2017","[70,75)","[15,20)",0.395705876300761
"Australia","Australia","2017","[75,80)","[15,20)",0.415101125076373
"Australia","Australia","2017","[00,05)","[20,25)",0.402417923152182
"Australia","Australia","2017","[05,10)","[20,25)",0.187746984837662
"Australia","Australia","2017","[10,15)","[20,25)",0.339940808161216
"Australia","Australia","2017","[15,20)","[20,25)",1.61575711648512
"Australia","Australia","2017","[20,25)","[20,25)",4.40801206205299
"Australia","Australia","2017","[25,30)","[20,25)",2.212078892521
"Australia","Australia","2017","[30,35)","[20,25)",1.05358006109924
"Australia","Australia","2017","[35,40)","[20,25)",0.754297790193246
"Australia","Australia","2017","[40,45)","[20,25)",0.932248846201974
"Australia","Australia","2017","[45,50)","[20,25)",0.895853427374084
"Australia","Australia","2017","[50,55)","[20,25)",1.05417246507156
"Australia","Australia","2017","[55,60)","[20,25)",0.740298905371534
"Australia","Australia","2017","[60,65)","[20,25)",0.424249952022047
"Australia","Australia","2017","[65,70)","[20,25)",0.316311880626788
"Australia","Australia","2017","[70,75)","[20,25)",0.17624304655252
"Australia","Australia","2017","[75,80)","[20,25)",0.159272677780806
"Australia","Australia","2017","[00,05)","[25,30)",0.760615473069367
"Australia","Australia","2017","[05,10)","[25,30)",0.472979275009077
"Australia","Australia","2017","[10,15)","[25,30)",0.298722493546808
"Australia","Australia","2017","[15,20)","[25,30)",0.81015171292547
"Australia","Australia","2017","[20,25)","[25,30)",1.89962820328616
"Australia","Australia","2017","[25,30)","[25,30)",3.73504249570772
"Australia","Australia","2017","[30,35)","[25,30)",1.78707393799085
"Australia","Australia","2017","[35,40)","[25,30)",1.37230504119066
"Australia","Australia","2017","[40,45)","[25,30)",1.21900374651685
"Australia","Australia","2017","[45,50)","[25,30)",0.979443289032084
"Australia","Australia","2017","[50,55)","[25,30)",1.33232567892154
"Australia","Australia","2017","[55,60)","[25,30)",1.18388092114354
"Australia","Australia","2017","[60,65)","[25,30)",0.633320451360689
"Australia","Australia","2017","[65,70)","[25,30)",0.450793121590663
"Australia","Australia","2017","[70,75)","[25,30)",0.299460358404247
"Australia","Australia","2017","[75,80)","[25,30)",0.181219589435993
"Australia","Australia","2017","[00,05)","[30,35)",1.14967651886299
"Australia","Australia","2017","[05,10)","[30,35)",0.827128294235694
"Australia","Australia","2017","[10,15)","[30,35)",0.48465897487192
"Australia","Australia","2017","[15,20)","[30,35)",0.640350847965255
"Australia","Australia","2017","[20,25)","[30,35)",1.20462649684411
"Australia","Australia","2017","[25,30)","[30,35)",1.84969743176553
"Australia","Australia","2017","[30,35)","[30,35)",2.90023899168313
"Australia","Australia","2017","[35,40)","[30,35)",1.68074304589712
"Australia","Australia","2017","[40,45)","[30,35)",1.53094497075314
"Australia","Australia","2017","[45,50)","[30,35)",1.18101671313531
"Australia","Australia","2017","[50,55)","[30,35)",1.18105064558221
"Australia","Australia","2017","[55,60)","[30,35)",1.22103458060497
"Australia","Australia","2017","[60,65)","[30,35)",0.741108414526317
"Australia","Australia","2017","[65,70)","[30,35)",0.648352255180404
"Australia","Australia","2017","[70,75)","[30,35)",0.29291618380443
"Australia","Australia","2017","[75,80)","[30,35)",0.273897859436434
"Australia","Australia","2017","[00,05)","[35,40)",1.06413029319777
"Australia","Australia","2017","[05,10)","[35,40)",1.04951330743812
"Australia","Australia","2017","[10,15)","[35,40)",0.756055673126531
"Australia","Australia","2017","[15,20)","[35,40)",0.825962091890568
"Australia","Australia","2017","[20,25)","[35,40)",1.09551392787947
"Australia","Australia","2017","[25,30)","[35,40)",1.42727048405125
"Australia","Australia","2017","[30,35)","[35,40)",1.83064812958798
"Australia","Australia","2017","[35,40)","[35,40)",2.92521334409807
"Australia","Australia","2017","[40,45)","[35,40)",1.76697567774306
"Australia","Australia","2017","[45,50)","[35,40)",1.35396432081674
"Australia","Australia","2017","[50,55)","[35,40)",1.17046313286644
"Australia","Australia","2017","[55,60)","[35,40)",0.965331106442178
"Australia","Australia","2017","[60,65)","[35,40)",0.77506119749097
"Australia","Australia","2017","[65,70)","[35,40)",0.65097323899494
"Australia","Australia","2017","[70,75)","[35,40)",0.516621452004416
"Australia","Australia","2017","[75,80)","[35,40)",0.370610758937109
