Location,Iso3,Time,Sex,AgeStart,AgeEnd,Age,Value
Australia,AUS,2023,Both sexes,0,1.0,0,305225.5
Australia,AUS,2023,Both sexes,1,1.0,1,306624.0
Australia,AUS,2023,Both sexes,2,2.0,2,305439.0
Australia,AUS,2023,Both sexes,3,3.0,3,303494.5
Australia,AUS,2023,Both sexes,4,4.0,4,305637.5
Australia,AUS,2023,Both sexes,5,5.0,5,309457.0
Australia,AUS,2023,Both sexes,6,6.0,6,315856.0
Australia,AUS,2023,Both sexes,7,7.0,7,322065.0
Australia,AUS,2023,Both sexes,8,8.0,8,324117.0
Australia,AUS,2023,Both sexes,9,9.0,9,326258.0
Australia,AUS,2023,Both sexes,10,10.0,10,328705.0
Australia,AUS,2023,Both sexes,11,11.0,11,328829.0
Australia,AUS,2023,Both sexes,12,12.0,12,328765.5
Australia,AUS,2023,Both sexes,13,13.0,13,329426.0
Australia,AUS,2023,Both sexes,14,14.0,14,329313.5
Australia,AUS,2023,Both sexes,15,15.0,15,328533.5
Australia,AUS,2023,Both sexes,16,16.0,16,324761.5
Australia,AUS,2023,Both sexes,17,17.0,17,316243.0
Australia,AUS,2023,Both sexes,18,18.0,18,307861.0
Australia,AUS,2023,Both sexes,19,19.0,19,303435.0
Australia,AUS,2023,Both sexes,20,20.0,20,303322.5
Australia,AUS,2023,Both sexes,21,21.0,21,310617.5
Australia,AUS,2023,Both sexes,22,22.0,22,324440.5
Australia,AUS,2023,Both sexes,23,23.0,23,336095.5
Australia,AUS,2023,Both sexes,24,24.0,24,343028.0
Australia,AUS,2023,Both sexes,25,25.0,25,350904.5
Australia,AUS,2023,Both sexes,26,26.0,26,361613.0
Australia,AUS,2023,Both sexes,27,27.0,27,372322.0
Australia,AUS,2023,Both sexes,28,28.0,28,380268.5
Australia,AUS,2023,Both sexes,29,29.0,29,383954.5
Australia,AUS,2023,Both sexes,30,30.0,30,385324.5
Australia,AUS,2023,Both sexes,31,31.0,31,388972.0
Australia,AUS,2023,Both sexes,32,32.0,32,394258.5
Australia,AUS,2023,Both sexes,33,33.0,33,395388.5
Australia,AUS,2023,Both sexes,34,34.0,34,392039.5
Australia,AUS,2023,Both sexes,35,35.0,35,388551.0
Australia,AUS,2023,Both sexes,36,36.0,36,387403.5
Australia,AUS,2023,Both sexes,37,37.0,37,387153.5
Australia,AUS,2023,Both sexes,38,38.0,38,385529.0
Australia,AUS,2023,Both sexes,39,39.0,39,382468.5
Australia,AUS,2023,Both sexes,40,40.0,40,377431.5
Australia,AUS,2023,Both sexes,41,41.0,41,368598.0
