block,parameter,value,source_or_assumption,source_note
baseline_parameters,simulation.start_time,0,model_design_protocol,"Numerical horizon, solver tolerances, output cadence, and parallel execution are declared analysis-protocol choices."
baseline_parameters,simulation.end_time,10950,pertussis_cycle_model,Thirty analysis years gives roughly 7-10 candidate 3-5-year cycles after burn-in.
baseline_parameters,simulation.time_step,1,model_design_protocol,"Numerical horizon, solver tolerances, output cadence, and parallel execution are declared analysis-protocol choices."
baseline_parameters,simulation.output_time_step,7,model_design_protocol,"Numerical horizon, solver tolerances, output cadence, and parallel execution are declared analysis-protocol choices."
baseline_parameters,simulation.burn_in_years,60,pertussis_cycle_model,Long burn-in reduces dependence on arbitrary initial infections and immunity.
baseline_parameters,simulation.solver_method,LSODA,model_design_protocol,"Numerical horizon, solver tolerances, output cadence, and parallel execution are declared analysis-protocol choices."
baseline_parameters,simulation.rtol,1e-06,model_design_protocol,"Numerical horizon, solver tolerances, output cadence, and parallel execution are declared analysis-protocol choices."
baseline_parameters,simulation.atol,1e-08,model_design_protocol,"Numerical horizon, solver tolerances, output cadence, and parallel execution are declared analysis-protocol choices."
baseline_parameters,simulation.n_jobs,-1,model_design_protocol,"Numerical horizon, solver tolerances, output cadence, and parallel execution are declared analysis-protocol choices."
baseline_parameters,age_groups[0].label,infant_0_2m,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[0].population,260000,wpp_2024,Country profiles provide WPP one-year age-group populations.
baseline_parameters,age_groups[0].vaccine_coverage,0.1,who_immunization_data,Country profiles provide DTP coverage and schedule-derived coverage proxies.
baseline_parameters,age_groups[0].symptom_probability,0.75,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[0].reporting_rate,0.6,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[1].label,infant_3_11m,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[1].population,980000,wpp_2024,Country profiles provide WPP one-year age-group populations.
baseline_parameters,age_groups[1].vaccine_coverage,0.65,who_immunization_data,Country profiles provide DTP coverage and schedule-derived coverage proxies.
baseline_parameters,age_groups[1].symptom_probability,0.65,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[1].reporting_rate,0.5,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[2].label,child_1_6y,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[2].population,7200000,wpp_2024,Country profiles provide WPP one-year age-group populations.
baseline_parameters,age_groups[2].vaccine_coverage,0.9,who_immunization_data,Country profiles provide DTP coverage and schedule-derived coverage proxies.
baseline_parameters,age_groups[2].symptom_probability,0.45,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[2].reporting_rate,0.25,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[3].label,school_7_17y,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[3].population,12600000,wpp_2024,Country profiles provide WPP one-year age-group populations.
baseline_parameters,age_groups[3].vaccine_coverage,0.72,who_immunization_data,Country profiles provide DTP coverage and schedule-derived coverage proxies.
baseline_parameters,age_groups[3].symptom_probability,0.3,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[3].reporting_rate,0.1,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[4].label,adult_18plus,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[4].population,78000000,wpp_2024,Country profiles provide WPP one-year age-group populations.
baseline_parameters,age_groups[4].vaccine_coverage,0.35,who_immunization_data,Country profiles provide DTP coverage and schedule-derived coverage proxies.
baseline_parameters,age_groups[4].symptom_probability,0.2,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,age_groups[4].reporting_rate,0.05,model_design_protocol,Five ODE age strata are declared in the model protocol; country profiles provide the active populations and coverage.
baseline_parameters,contact_matrix.reciprocity_correction.enabled,True,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.reciprocity_correction.method,population_weighted_average,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
baseline_parameters,contact_matrix.reciprocity_correction.tolerance,0.05,epydemix_contact_matrices,Contact-matrix structure and reciprocity checks are based on epydemix-data country matrices.
