data_setting,value,source_or_assumption,source_note
wpp_population_csv,data/raw/external/wpp_2023_age_population_selected_countries.csv,wpp_2024,Raw age-structured population extract.
pertussis_incidence_csv,data/raw/external/pertussis_incidence_table_s1.csv,reported_pertussis_surveillance,"Raw reported pertussis surveillance extract used for seasonality, cycles, and calibration."
vaccine_data_csv,data/raw/external/pertussis_vaccine_data.csv,who_immunization_data,DTP coverage and vaccine schedule metadata extract.
epydemix_data_root,https://raw.githubusercontent.com/epistorm/epydemix-data/main,epydemix_contact_matrices,Direct contact-matrix source; local contact CSV inputs are not used.
who_reported_cases_xlsx,data/raw/external/Pertussis reported cases and incidence.xlsx,who_immunization_data,WHO/JRF reported cases export.
who_region_incidence_xlsx,data/raw/external/Pertussis reported cases and incidence region.xlsx,who_immunization_data,WHO regional reported-incidence export.
who_ap_introduction_xlsx,data/raw/external/Introduction of aP (acellular pertussis) vaccine 2025-15-10 16-15 UTC.xlsx,who_immunization_data,WHO aP introduction export.
who_schedule_xlsx,data/raw/external/Vaccination schedule for Pertussis 2025-15-10 14-33 UTC.xlsx,who_immunization_data,WHO pertussis schedule export.
maternal_immunization_coverage_xlsx,data/raw/external/maternal immunization coverage.xlsx,who_immunization_data,Maternal immunization coverage export.
vaccine_schedule_summary_xlsx,data/raw/external/VaccineSchedule.xlsx,who_immunization_data,Local schedule summary derived from WHO/JRF exports.
country_resistance_timeline_csv,data/raw/country_resistance_timeline.csv,mrbp_country_evidence_synthesis,Country resistance evidence table with per-row citations.
population_year,2023,model_design_protocol,Analysis input year declared for population denominators.
surveillance_year,2023,model_design_protocol,Analysis input year declared for surveillance summaries.
resistance_anchor_year,2025,model_design_protocol,Current-evidence resistance anchor year declared for resistance scenarios.
allow_future_resistance_evidence,False,model_design_protocol,Boolean guard against accidentally mixing future evidence into earlier analysis baselines.
analysis_year,2023,model_design_protocol,Primary analysis year declared for scenario labeling.
source_note,"Reported-case inputs are read from local raw files, and contact matrices are read directly from the epydemix-data repository. The model does not read from companion working directories.
",model_design_protocol,Narrative data-source contract for the runtime data-source block.
countries.AU.config_key,Australia,model_design_protocol,Internal country key used to join generated profiles.
countries.AU.iso3,AUS,wpp_2024,"ISO3 code used to join population, vaccine, and surveillance inputs."
countries.AU.epydemix_population_name,Australia,epydemix_contact_matrices,Country name used by epydemix-data.
countries.AU.epydemix_contacts_source,prem_2017,epydemix_contact_matrices,Specific epydemix contact-matrix source used for this country.
countries.AU.vaccine_product,aP,who_immunization_data,Country pertussis vaccine product class metadata.
countries.AU.primary_doses,3,who_immunization_data,Primary-series dose count from immunization schedule metadata.
countries.AU.child_booster_doses,2,who_immunization_data,Child booster count from immunization schedule metadata.
countries.AU.adolescent_booster,True,who_immunization_data,Adolescent booster indicator from schedule metadata.
countries.AU.maternal_program,True,who_immunization_data,Maternal pertussis program indicator from schedule and coverage metadata.
countries.AU.maternal_coverage,0.72,who_immunization_data,"Maternal coverage value from schedule and coverage metadata, or explicit country-program proxy where coverage was not directly reported."
countries.AU.schedule_note,"2, 4, 6 months plus child/adolescent boosters; maternal pertussis vaccination considered.",who_immunization_data,Human-readable schedule summary used in generated country profiles.
countries.CN.config_key,China,model_design_protocol,Internal country key used to join generated profiles.
countries.CN.iso3,CHN,wpp_2024,"ISO3 code used to join population, vaccine, and surveillance inputs."
countries.CN.epydemix_population_name,China,epydemix_contact_matrices,Country name used by epydemix-data.
countries.CN.epydemix_contacts_source,prem_2021,epydemix_contact_matrices,Specific epydemix contact-matrix source used for this country.
countries.CN.vaccine_product,aP,who_immunization_data,Country pertussis vaccine product class metadata.
countries.CN.primary_doses,3,who_immunization_data,Primary-series dose count from immunization schedule metadata.
countries.CN.child_booster_doses,1,who_immunization_data,Child booster count from immunization schedule metadata.
countries.CN.adolescent_booster,False,who_immunization_data,Adolescent booster indicator from schedule metadata.
countries.CN.maternal_program,False,who_immunization_data,Maternal pertussis program indicator from schedule and coverage metadata.
countries.CN.maternal_coverage,0.05,who_immunization_data,"Maternal coverage value from schedule and coverage metadata, or explicit country-program proxy where coverage was not directly reported."
