country,description,total_population,seasonal_phase,seasonal_amplitude,multi_year_period_years,multi_year_amplitude,observed_mean_annual_reported_incidence_per_100k,observed_peak_annual_reported_incidence_per_100k,vaccine_product,adolescent_booster,maternal_program,contact_source,source_or_assumption
Australia,"Data-derived profile for Australia; WPP 2023 population, PertussisIncidence-derived seasonality, Prem/contactdata-derived contact matrix.",26451124.0,278.2972003025669,0.1632385361647626,4.0,0.14207382672973815,56.297659170792265,213.32174768830242,aP,True,True,Prem/contactdata 2017 country matrix aggregated to project age groups,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
China,"Data-derived profile for China; WPP 2023 population, PertussisIncidence-derived seasonality, Prem/contactdata-derived contact matrix.",1422584932.5,140.54518399462617,0.30459764378269866,4.0,0.16,4.440942707523146,34.74808348569374,aP,False,False,Prem/contactdata 2020 country matrix aggregated to project age groups,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
United_Kingdom,"Data-derived profile for United_Kingdom; WPP 2023 population, PertussisIncidence-derived seasonality, Prem/contactdata-derived contact matrix.",68682962.5,130.55576099498956,0.19595482922135526,4.0,0.16,6.878111742909908,42.856334276495424,aP,False,True,Prem/contactdata 2020 country matrix aggregated to project age groups,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
Japan,"Data-derived profile for Japan; WPP 2023 population, PertussisIncidence-derived seasonality, Prem/contactdata-derived contact matrix.",124370946.5,183.1186240906062,0.32469286912553436,4.0,0.16,7.471490647828781,54.8512348902965,aP,False,False,Prem/contactdata 2017 country matrix aggregated to project age groups,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
New_Zealand,"Data-derived profile for New_Zealand; WPP 2023 population, PertussisIncidence-derived seasonality, Prem/contactdata-derived contact matrix.",5172836.0,341.26566654664384,0.17359185143031747,4.0,0.12463124557339787,23.059269263865737,58.265910614602895,aP,True,True,Prem/contactdata 2020 country matrix aggregated to project age groups,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
Sweden,"Data-derived profile for Sweden; WPP 2023 population, PertussisIncidence-derived seasonality, Prem/contactdata-derived contact matrix.",10551494.0,261.8376802908466,0.20555255729534105,4.0,0.14113108843246386,6.215405911411045,24.119807109779902,aP,True,True,Prem/contactdata 2020 country matrix aggregated to project age groups,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
Singapore,"Data-derived profile for Singapore; WPP 2023 population, PertussisIncidence-derived seasonality, Prem/contactdata-derived contact matrix.",5789089.5,90.73623059851835,0.10012336419410311,4.0,0.11766298007004705,0.9861811445635638,2.1246864468065314,aP,True,False,Prem/contactdata 2020 country matrix aggregated to project age groups,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
United_States,"Data-derived profile for United_States; WPP 2023 population, PertussisIncidence-derived seasonality, Prem/contactdata-derived contact matrix.",343477335.0,271.8127277049588,0.0935118070129732,4.0,0.11179177533264165,1.3896642752808765,3.2447555819076097,aP,True,True,Prem/contactdata 2020 country matrix aggregated to project age groups,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
