source_id,label,url,note
ap_waning_meta_analysis,Acellular pertussis vaccine effectiveness meta-analysis,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0197970,aP protection wanes over years; used to bound vaccine waning and mechanism scenarios.
australia_mrbp_2024_genomic,"Australia targeted sequencing genomic epidemiology study, 2024 specimens",https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian study estimated macrolide resistance among B. pertussis positive cases at 8/188 (4%).
cdc_clinical,CDC pertussis clinical features,https://www.cdc.gov/pertussis/hcp/clinical-signs/index.html,"Clinical incubation, infectious period, symptom severity by age, and temporal pattern."
cdc_mrbp_surveillance,CDC antibiotic-resistant Bordetella pertussis surveillance notes,https://www.cdc.gov/pertussis/hcp/antibiotic-resistance/index.html,MRBP has been reported globally; reported infections remain rare in the United States.
cdc_treatment_pep,CDC pertussis treatment and postexposure prophylaxis guidance,https://www.cdc.gov/pertussis/hcp/clinical-care/index.html,"Macrolide treatment, timing of treatment, PEP targets, and resistance-aware antibiotic choice."
china_mrbp_2024_multicenter,China 2024 multicenter pertussis outbreak isolate study,https://www.sciencedirect.com/science/article/pii/S2666606525001658,393/394 isolates in the 2024 multicenter study displayed high-level azithromycin resistance.
ecdc_mrbp_europe,"ECDC Bordetella pertussis antimicrobial susceptibility testing EQA, 2022",https://www.ecdc.europa.eu/en/publications-data/external-quality-assurance-scheme-bordetella-pertussis-antimicrobial,"Macrolide-resistant B. pertussis isolates mainly found in China, with sporadic reports in Europe and other regions."
epydemix_contact_matrices,Epydemix-data contact matrices and population structures,https://github.com/epistorm/epydemix-data,Country age-specific contact matrices loaded directly from epydemix-data and aggregated to the five model age groups.
japan_mrbp_2025_kobe,"Kobe, Japan MT27 macrolide-resistant Bordetella pertussis report, 2025",https://wwwnc.cdc.gov/eid/article/32/1/25-0890_article,MT27-MRBP detected in Kobe in 2025 and phylogenetically related to China MRBP.
model_design_protocol,Declared deterministic ODE analysis protocol,manuscript_notes/model_scientific_issue_log.md,Explicit modelling choices used for reproducible scenario analysis when no direct country measurement is available.
mrbp_country_evidence_synthesis,Country macrolide-resistant pertussis evidence synthesis,data/raw/country_resistance_timeline.csv,Local evidence table with per-row source citations and evidence types for country resistance anchors.
nz_mrbp_2025_guidance,"Health New Zealand pertussis communicable disease control guidance, 2025",https://www.tewhatuora.govt.nz/for-health-professionals/clinical-guidance/communicable-disease-control-manual/pertussis,MRBP detected by PHF Science; no change to antibiotic management while national assessment continues.
paho_mrbp_americas,"PAHO antibiotic-resistant pertussis alert, 2025",https://www.paho.org/en/news/26-8-2025-paho-calls-strengthened-vaccination-and-surveillance-amid-spread-antibiotic,"Resistant pertussis cases reported since 2024 in Brazil, Mexico, Peru, and the United States."
pertussis_cycle_model,Estimating duration of pertussis immunity using epidemiological signatures,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1000647,Inter-epidemic periods and immunity duration constrain recurrent pertussis dynamics.
recurrent_london_waves,Recurrent pertussis waves across London,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1009898,Four-year recurrent waves and age/seasonality structure inform diagnostics and plotting.
reported_pertussis_surveillance,Reported pertussis surveillance extracts,https://immunizationdata.who.int/,Reported pertussis time series compiled into local project files for seasonal and cycle inference.
who_immunization_data,WHO Immunization Data Portal / WUENIC / JRF,https://immunizationdata.who.int/,"DTP coverage, booster coverage, maternal pertussis vaccination, and national schedules."
who_pertussis_position,"WHO pertussis vaccine position paper summary, 2015",https://www.who.int/docs/default-source/immunization/position_paper_documents/pertussis/pertussis-pp-2015-summary.pdf,"Primary-series timing, aP/wP interpretation, boosters, and maternal immunization rationale."
wpp_2024,UN World Population Prospects 2024,https://population.un.org/wpp/,Country age-structured population denominators.
