country,iso3,reciprocity_correction_applied,reciprocity_error_before,reciprocity_error_after,source_type
Australia,AUS,True,0.39836311304890604,1.7033206005641933e-16,derived
China,CHN,True,0.36521097679721704,3.6117873860005683e-16,derived
United_Kingdom,GBR,True,0.1948368966728894,1.87290327030833e-16,derived
Japan,JPN,True,0.6182956231323844,0.0,derived
New_Zealand,NZL,True,0.12317756196000254,0.0,derived
Sweden,SWE,True,0.16362241781410702,1.5653005212372133e-16,derived
United_States,USA,True,0.13785999991206777,1.487329333899655e-16,derived
Brazil,BRA,True,0.10299064983474779,0.0,derived
Thailand,THA,True,0.17823678280272265,2.416563557796933e-16,derived
South_Africa,ZAF,True,0.20974923798780443,0.0,derived
