iso3,country_name,VaccinePregnant,VaccinePregnantTime,VaccinePregnantSource,VaccineAdult,VaccineRisk,TimeLastShot,TimeFirstShot,VaccineDose1,VaccineDose2,VaccineDose,source_type
ABW,Aruba,0,,,0,1,120,2,6,6,6,measured
AFG,Afghanistan,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
AGO,Angola,0,,,0,0,6,2,3,3,3,measured
AIA,Anguilla,0,,,0,1,60,2,5,5,5,measured
ALB,Albania,0,,,0,0,24,2,4,4,4,measured
AND,Andorra,1,27-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,180,2,5,5,5,measured
ARE,United Arab Emirates,0,,,1,1,192,2,6,6,6,measured
ARG,Argentina,1,20-36w,https://pmc.ncbi.nlm.nih.gov/articles/PMC8876368/,0,1,132,2,6,6,6,measured
ARM,Armenia,0,,,0,0,192,1.3793103448275901,6,6,6,measured
ATG,Antigua and Barbuda,0,,,0,0,18,2,4,4,4,measured
AUS,Australia,1,20-32w,https://immunisationhandbook.health.gov.au/recommendations/pregnant-women-are-recommended-to-receive-a-single-dose-of-pertussis-containing-vaccine-in-each-pregnancy,0,0,156,2,6,6,6,measured
AUT,Austria,1,27-36w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,0,0,96,2,4,4,4,measured
AZE,Azerbaijan,0,,,0,0,18,2,4,4,4,measured
BDI,Burundi,0,,,0,0,18,1.3793103448275901,4,4,4,measured
BEL,Belgium,1,24-32w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,1,0,192,1.83908045977012,6,6,6,measured
BEN,Benin,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
BFA,Burkina Faso,0,,,0,0,3.6781609195402298,1.83908045977012,3,3,3,measured
BGD,Bangladesh,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
BGR,Bulgaria,0,,,0,0,144,2,6,6,6,measured
BHR,Bahrain,0,,,1,1,156,2,6,6,6,measured
BHS,Bahamas,1,No timing specified,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,144,2,6,6,6,measured
BIH,Bosnia and Herzegovina,0,,,0,0,84,2,4,4,4,measured
BLR,Belarus,0,,,0,1,18,2,4,4,4,measured
BLZ,Belize,0,,,0,0,48,2,5,5,5,measured
BMU,Bermuda,1,invisible,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,216,2,6,6,6,measured
BOL,Bolivia (Plurinational State of),0,,,0,0,48,2,5,5,5,measured
BRA,Brazil,1,20-32w,https://pmc.ncbi.nlm.nih.gov/articles/PMC7012156/,1,1,48,2,5,5,5,measured
BRB,Barbados,0,,,0,1,54,2,4,4,4,measured
BRN,Brunei Darussalam,0,,,0,0,60,2,4,4,4,measured
BTN,Bhutan,0,,,0,0,24,1.3793103448275901,3,3,3,measured
BWA,Botswana,0,,,0,0,4,2,3,3,3,measured
CAF,Central African Republic,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
CAN,Canada,1,27-32w,https://www.canada.ca/en/public-health/services/publications/healthy-living/update-immunization-pregnancy-tdap-vaccine.html,1,0,192,2,6,6,6,measured
CHE,Switzerland,1,13-26w,https://www.sciencedirect.com/science/article/pii/S0264410X22005333#b0110,0,0,180,2,5,5,5,measured
CHL,Chile,1,28-36w,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,156,2,6,6,6,measured
CHN,China,0,,,0,0,18,3,4,4,4,measured
CIV,Côte d'Ivoire,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
CMR,Cameroon,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
COD,Democratic Republic of the Congo,0,,,0,0,3.2183908045976999,1.3793103448275901,3,3,3,measured
COG,Congo,0,,,0,0,3.6781609195402298,1.83908045977012,3,3,3,measured
COK,Cook Islands,0,,,0,0,48,1.3793103448275901,4,4,4,measured
