Date,Year,Month,Disease,Cases,URL,Country,source_sheet,reporting_frequency,period_start,period_end,interval_days,period_midpoint,config_key,iso3,Week
2015-01-01,2015,1.0,pertussis,1487,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-01-01,2015-02-01,31.0,2015-01-16 12:00:00,Australia,AUS,
2015-02-01,2015,2.0,pertussis,1240,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-02-01,2015-03-01,28.0,2015-02-15 00:00:00,Australia,AUS,
2015-03-01,2015,3.0,pertussis,1360,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-03-01,2015-04-01,31.0,2015-03-16 12:00:00,Australia,AUS,
2015-04-01,2015,4.0,pertussis,1199,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-04-01,2015-05-01,30.0,2015-04-16 00:00:00,Australia,AUS,
2015-05-01,2015,5.0,pertussis,1399,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-05-01,2015-06-01,31.0,2015-05-16 12:00:00,Australia,AUS,
2015-06-01,2015,6.0,pertussis,1589,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-06-01,2015-07-01,30.0,2015-06-16 00:00:00,Australia,AUS,
2015-07-01,2015,7.0,pertussis,1660,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-07-01,2015-08-01,31.0,2015-07-16 12:00:00,Australia,AUS,
2015-08-01,2015,8.0,pertussis,2054,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-08-01,2015-09-01,31.0,2015-08-16 12:00:00,Australia,AUS,
2015-09-01,2015,9.0,pertussis,1940,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-09-01,2015-10-01,30.0,2015-09-16 00:00:00,Australia,AUS,
2015-10-01,2015,10.0,pertussis,2548,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-10-01,2015-11-01,31.0,2015-10-16 12:00:00,Australia,AUS,
2015-11-01,2015,11.0,pertussis,3259,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-11-01,2015-12-01,30.0,2015-11-16 00:00:00,Australia,AUS,
2015-12-01,2015,12.0,pertussis,2835,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2015-12-01,2016-01-01,31.0,2015-12-16 12:00:00,Australia,AUS,
2016-01-01,2016,1.0,pertussis,2317,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2016-01-01,2016-02-01,31.0,2016-01-16 12:00:00,Australia,AUS,
2016-02-01,2016,2.0,pertussis,1940,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2016-02-01,2016-03-01,29.0,2016-02-15 12:00:00,Australia,AUS,
2016-03-01,2016,3.0,pertussis,1635,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2016-03-01,2016-04-01,31.0,2016-03-16 12:00:00,Australia,AUS,
2016-04-01,2016,4.0,pertussis,1338,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2016-04-01,2016-05-01,30.0,2016-04-16 00:00:00,Australia,AUS,
2016-05-01,2016,5.0,pertussis,1325,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2016-05-01,2016-06-01,31.0,2016-05-16 12:00:00,Australia,AUS,
2016-06-01,2016,6.0,pertussis,1213,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2016-06-01,2016-07-01,30.0,2016-06-16 00:00:00,Australia,AUS,
2016-07-01,2016,7.0,pertussis,1250,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2016-07-01,2016-08-01,31.0,2016-07-16 12:00:00,Australia,AUS,
2016-08-01,2016,8.0,pertussis,1600,https://nindss.health.gov.au/pbi-dashboard/,AU,AU,monthly,2016-08-01,2016-09-01,31.0,2016-08-16 12:00:00,Australia,AUS,
