country,iso3,location,reciprocity_correction_applied,reciprocity_error_before,reciprocity_error_after,source_type
Australia,AUS,all,True,0.8560492130503803,1.3981897584485848e-16,derived
Australia,AUS,home,True,0.9825916864227286,1.652599086058355e-16,derived
Australia,AUS,school,True,0.9671651631406463,1.4468506327365937e-16,derived
Australia,AUS,work,True,0.7846699987401622,1.3678723290446953e-16,derived
Australia,AUS,other,True,0.6301213446258684,1.7319928239600108e-16,derived
China,CHN,all,True,0.5065022471516861,3.3335609780467767e-16,derived
China,CHN,home,True,0.46617343212615975,2.5271034579618706e-16,derived
China,CHN,school,True,1.0,1.4856726592845116e-16,derived
China,CHN,work,True,1.0,1.7238907623883949e-16,derived
China,CHN,other,True,0.7391424797987497,1.6727567818965811e-16,derived
United_Kingdom,GBR,all,True,0.5500178504512391,1.6947706207041372e-16,derived
United_Kingdom,GBR,home,True,0.43190289916890734,1.4873741645467997e-16,derived
United_Kingdom,GBR,school,True,1.0,1.6629718405123023e-16,derived
United_Kingdom,GBR,work,True,1.0,1.6028595039651137e-16,derived
United_Kingdom,GBR,other,True,0.8173476861872778,1.4961213099474524e-16,derived
Japan,JPN,all,True,0.9302835615206769,2.275967870772525e-16,derived
Japan,JPN,home,True,0.9952370542865846,1.224693279757273e-16,derived
Japan,JPN,school,True,0.9856761355762439,1.8510344811346257e-16,derived
Japan,JPN,work,True,0.9061631816819123,1.5104885669926545e-16,derived
Japan,JPN,other,True,0.8274232401179598,2.234424337656486e-16,derived
New_Zealand,NZL,all,True,0.42347612591009137,1.3528526405727172e-16,derived
New_Zealand,NZL,home,True,0.3749728812943698,1.3952509647174209e-16,derived
New_Zealand,NZL,school,True,1.0,1.3707789271550064e-16,derived
New_Zealand,NZL,work,True,1.0,1.3737855379311893e-16,derived
New_Zealand,NZL,other,True,0.7023630870101841,1.3908812776395956e-16,derived
Sweden,SWE,all,True,0.4711743900952475,1.4076262685759922e-16,derived
Sweden,SWE,home,True,0.4902098934779997,2.559569566799266e-16,derived
Sweden,SWE,school,True,1.0,1.649835109444709e-16,derived
Sweden,SWE,work,True,1.0,1.313347464202585e-16,derived
Sweden,SWE,other,True,0.7029698039288388,1.4149808255309715e-16,derived
United_States,USA,all,True,0.4239905117771893,1.377861088653648e-16,derived
United_States,USA,home,True,0.3990740708359413,1.4135750330688342e-16,derived
United_States,USA,school,True,1.0,1.7679606179758238e-16,derived
United_States,USA,work,True,1.0,1.643443456494506e-16,derived
United_States,USA,other,True,0.7246697591833492,1.3553564893983203e-16,derived
Brazil,BRA,all,True,0.3441300460922166,1.4136160743354983e-16,derived
Brazil,BRA,home,True,0.22750854261385056,1.4931455879934293e-16,derived
Brazil,BRA,school,True,1.0,1.7241756275340647e-16,derived
Brazil,BRA,work,True,1.0,1.7879703904586325e-16,derived
Brazil,BRA,other,True,0.7502902756505992,2.816650364353335e-16,derived
Thailand,THA,all,True,0.43550251165511106,1.741922529346883e-16,derived
Thailand,THA,home,True,0.42714320120025756,1.6875647304012184e-16,derived
Thailand,THA,school,True,1.0,1.8761255996098155e-16,derived
Thailand,THA,work,True,1.0,1.277211320123655e-16,derived
Thailand,THA,other,True,0.7367576268803522,2.780218136541161e-16,derived
South_Africa,ZAF,all,True,0.42730388335729513,1.444991309838313e-16,derived
South_Africa,ZAF,home,True,0.4747351275386047,1.6813308154291418e-16,derived
South_Africa,ZAF,school,True,1.0,2.3066204592451023e-16,derived
South_Africa,ZAF,work,True,1.0,1.303265486691869e-16,derived
South_Africa,ZAF,other,True,0.7324200067428503,2.154084641966099e-16,derived
