iso3,country_name,year,coverage_category,coverage_raw,Drop,source,备注,很多中低收入国家孕期免疫项目主要监测 破伤风类疫苗（TT / Td / TTCV）或者没有全国性的孕期 Tdap 接种项目，百日咳疫苗主要是针对的儿童，文献研究Article多是这个国家的某一地区的某一时间段的抽样研究,coverage_percent,coverage_proportion,source_type
ABW,aruba,2023.0,Administrative coverage,0.85,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,0.85,0.85,measured
AFG,afghanistan,,,,,,,,,,measured
AGO,angola,,,,,,,,,,measured
AIA,anguilla,2022.0,Official coverage,0,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,0.0,0.0,measured
ALB,albania,,,,,,,,,,measured
AND,andorra,,,,,,,,,,measured
ARE,united arab emirates,,,,,,,,,,measured
ARG,argentina,2024.0,Administrative coverage,69.45,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,69.45,0.6945,measured
ARG,argentina,2024.0,Official coverage,69.45,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,69.45,0.6945,measured
ARG,argentina,2023.0,Administrative coverage,60.1,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,60.1,0.601,measured
ARG,argentina,2023.0,Official coverage,60.05,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,60.05,0.6004999999999999,measured
ARG,argentina,2022.0,Administrative coverage,68.290000000000006,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,68.29,0.6829000000000001,measured
ARG,argentina,2022.0,Official coverage,68.290000000000006,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,68.29,0.6829000000000001,measured
ARG,argentina,2021.0,Administrative coverage,67.38,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,67.38,0.6738,measured
ARG,argentina,2021.0,Official coverage,67.38,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,67.38,0.6738,measured
ARG,argentina,2015.0,Article,"63.51 [46.95, 78.87]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,63.51,0.6351,measured
ARG,argentina,2019.0,Article,"65.91 [48.28, 81.60]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,65.91,0.6591,measured
ARG,argentina,2020.0,Article,"65.69 [50.59, 79.47]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,65.69,0.6568999999999999,measured
ARG,argentina,2023.0,Article,"62.22 [47.54, 75.43]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,62.22,0.6222,measured
ARM,armenia,,,,,,,,,,measured
ATG,antigua and barbuda,,,,,,,,,,measured
AUS,australia,2015.0,Article,"47.12 [41.14, 53.02]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,47.12,0.47119999999999995,measured
AUS,australia,2019.0,Article,"76.51 [68.94, 83.34]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,76.51,0.7651,measured
AUS,australia,2020.0,Article,"78.18 [68.81, 86.39]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,78.18,0.7818,measured
AUS,australia,2023.0,Article,"72.90 [45.83, 91.37]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,72.9,0.7290000000000001,measured
AUT,austria,,,,,,,,,,measured
AZE,azerbaijan,,,,,,,,,,measured
BDI,burundi,,,,,,,,,,measured
BEL,belgium,,Article,64,,linkinghub.elsevier.com/retrieve/pii/S0264-410X(16)30882-9,,,64.0,0.64,measured
BEN,benin,,,,,,,,,,measured
BFA,burkina faso,,,,,,,,,,measured
BGD,bangladesh,,,,,,,,,,measured
BGR,bulgaria,,,,,,,,,,measured
BHR,bahrain,2022.0,Administrative coverage,13.16,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,13.16,0.1316,measured
