country,iso3,seasonal_amplitude,seasonal_phase,seasonal_concentration,multi_year_period_years,multi_year_amplitude,multi_year_supported,observed_peak_years,observed_mean_annual_reported_incidence_per_100k,observed_peak_annual_reported_incidence_per_100k,source,source_type
Australia,AUS,0.1632385361647626,278.2972003025669,0.1513427930268411,,0.0,False,2024,56.297659170792265,213.32174768830242,reported pertussis case time series,derived
China,CHN,0.30459764378269866,140.54518399462617,0.4083593523321793,,0.0,False,2024,4.440942707523146,34.74808348569374,reported pertussis case time series,derived
United_Kingdom,GBR,0.19595482922135526,130.55576099498956,0.21082696222064595,,0.0,False,2024,6.878111742909908,42.856334276495424,reported pertussis case time series,derived
Japan,JPN,0.32469286912553436,183.1186240906062,0.4448961256827897,,0.0,False,2019,7.471490647828781,54.8512348902965,reported pertussis case time series,derived
New_Zealand,NZL,0.17359185143031747,341.26566654664384,0.1701670026005772,,0.0,False,2018,23.059269263865737,58.265910614602895,reported pertussis case time series,derived
Sweden,SWE,0.20555255729534105,261.8376802908466,0.22827737690062003,,0.0,False,2024,6.215405911411045,24.119807109779902,reported pertussis case time series,derived
Singapore,SGP,0.10012336419410311,90.73623059851835,0.0365879348983693,,0.0,False,2018;2024,0.9861811445635638,2.1246864468065314,reported pertussis case time series,derived
United_States,USA,0.0935118070129732,271.8127277049588,0.024566921841769434,,0.0,False,2024,1.3896642752808765,3.2447555819076097,reported pertussis case time series,derived
