country,iso3,source_age_group,target_age_group,contacts_per_day,source,source_type
China,CHN,school_7_17y,infant_3_11m,0.068783,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,school_7_17y,child_1_6y,1.390663,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,school_7_17y,school_7_17y,8.87149,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,school_7_17y,adult_18plus,9.015581,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,adult_18plus,infant_0_2m,0.018505,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,adult_18plus,infant_3_11m,0.055516,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,adult_18plus,child_1_6y,0.57848,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,adult_18plus,school_7_17y,1.538928,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
China,CHN,adult_18plus,adult_18plus,11.114291,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,infant_0_2m,infant_0_2m,0.144183,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,infant_0_2m,infant_3_11m,0.43255,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,infant_0_2m,child_1_6y,2.792939,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,infant_0_2m,school_7_17y,1.532776,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,infant_0_2m,adult_18plus,6.631463,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,infant_3_11m,infant_0_2m,0.144183,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_Kingdom,GBR,infant_3_11m,infant_3_11m,0.43255,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
