country,log_beta_S,beta_S,log_posterior,log_posterior_raw,posterior_weight,grid_half_width,grid_points,grid_tail_drop_target,grid_min_effective_points_target,grid_max_single_weight_target,grid_left_edge_drop,grid_right_edge_drop,grid_min_edge_drop,grid_effective_points,grid_max_weight,grid_smoothing
South_Africa,-4.670345628022226,0.009369030767760883,-489.75682839977117,-489.75682839977117,2.7409968152142327e-18,0.0070355072102858875,81,20.0,10.0,0.2,38.047041922665244,23.63022990429016,23.63022990429016,18.84989917857733,0.09152271411494693,none
South_Africa,-4.6701697403419695,0.009370678809779775,-488.1518186108306,-488.1518186108306,1.3644430881562064e-17,0.0070355072102858875,81,20.0,10.0,0.2,38.047041922665244,23.63022990429016,23.63022990429016,18.84989917857733,0.09152271411494693,none
South_Africa,-4.669993852661712,0.009372327141694456,-485.0643957233862,-485.0643957233862,2.990929312027374e-16,0.0070355072102858875,81,20.0,10.0,0.2,38.047041922665244,23.63022990429016,23.63022990429016,18.84989917857733,0.09152271411494693,none
South_Africa,-4.669817964981455,0.009373975763555906,-482.70570046351025,-482.70570046351025,3.163548411687501e-15,0.0070355072102858875,81,20.0,10.0,0.2,38.047041922665244,23.63022990429016,23.63022990429016,18.84989917857733,0.09152271411494693,none
South_Africa,-4.669642077301198,0.009375624675415131,-480.36831330345063,-480.36831330345063,3.275584674629957e-14,0.0070355072102858875,81,20.0,10.0,0.2,38.047041922665244,23.63022990429016,23.63022990429016,18.84989917857733,0.09152271411494693,none
South_Africa,-4.669466189620941,0.009377273877323147,-479.9292453623963,-479.9292453623963,5.081285703519322e-14,0.0070355072102858875,81,20.0,10.0,0.2,38.047041922665244,23.63022990429016,23.63022990429016,18.84989917857733,0.09152271411494693,none
South_Africa,-4.669290301940683,0.00937892336933098,-477.9697033989414,-477.9697033989414,3.6057189827200767e-13,0.0070355072102858875,81,20.0,10.0,0.2,38.047041922665244,23.63022990429016,23.63022990429016,18.84989917857733,0.09152271411494693,none
South_Africa,-4.669114414260426,0.009380573151489643,-475.9049073829306,-475.9049073829306,2.8426369198346254e-12,0.0070355072102858875,81,20.0,10.0,0.2,38.047041922665244,23.63022990429016,23.63022990429016,18.84989917857733,0.09152271411494693,none
South_Africa,-4.6689385265801695,0.009382223223850185,-475.16054543745156,-475.16054543745156,5.9840288375436035e-12,0.0070355072102858875,81,20.0,10.0,0.2,38.047041922665244,23.63022990429016,23.63022990429016,18.84989917857733,0.09152271411494693,none
South_Africa,-4.668762638899913,0.009383873586463651,-473.20405730289804,-473.20405730289804,4.2333646454338776e-11,0.0070355072102858875,81,20.0,10.0,0.2,38.047041922665244,23.63022990429016,23.63022990429016,18.84989917857733,0.09152271411494693,none
South_Africa,-4.668586751219655,0.009385524239381108,-471.7424191224339,-471.7424191224339,1.825858319995117e-10,0.0070355072102858875,81,20.0,10.0,0.2,38.047041922665244,23.63022990429016,23.63022990429016,18.84989917857733,0.09152271411494693,none
