country,scenario,infant_infections,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share
Australia,current,427122.28819502564,0.49643540182349494,0.055332505765421834,0.04351626207898899,0.11877074158056619,0.1591242063374842,0.17502419182645548
Australia,higher_child_coverage,430224.7782467607,0.4560183025436558,0.05040802278051791,0.04333728422127825,0.10821839079333913,0.1449872955977941,0.1594753319312443
Brazil,current,24311.206496102903,0.46325244343077726,0.05433847679128252,0.041431509590101966,0.11076389495518256,0.148209053163589,0.1628479857219038
Brazil,higher_child_coverage,28177.470600030683,0.4413975045806102,0.05153402385359855,0.04133066180441416,0.1050515006457219,0.14056562971277417,0.15444971241769992
China,current,1220589.8139520488,0.4241155459457186,0.0540915878398772,0.0019408067984522728,0.11084541266101486,0.14833258040415045,0.16299674608210105
China,higher_child_coverage,1235302.8619063932,0.4008855447863852,0.051109459877798996,0.0019359721640434925,0.10474719989060619,0.14017231871609934,0.15403005401563616
Japan,current,170000.39417993743,0.41790303257312994,0.052990537542917,0.0019518080250961682,0.10920027526337675,0.14614516811079634,0.16060578117386068
Japan,higher_child_coverage,171091.82059239683,0.4015527591729454,0.05090520837774046,0.0019483234062093327,0.10490857592685908,0.14040168528556313,0.15429417455431393
New_Zealand,current,45016.31856913356,0.4667735837061147,0.05411778399705318,0.035616361134256654,0.11315222330761102,0.15148496741537326,0.16652003184887376
New_Zealand,higher_child_coverage,45528.527741888065,0.44121426906200767,0.05091778149931589,0.03551881553576344,0.1064698027947465,0.14253908031896312,0.1566865704125346
South_Africa,current,24630.70852292789,0.3156380164848734,0.04053744026575064,4.809928972216821e-71,0.08288236430329016,0.11090118992286012,0.12185446225872308
South_Africa,higher_child_coverage,13418.632471388586,0.39705890104039865,0.051013029097407896,4.883504625246275e-71,0.10426296094411697,0.13950891169797852,0.1532870283983032
Sweden,current,22247.314190415258,0.48218765185711465,0.05713036514869936,0.03435957722999337,0.1175800362992344,0.15734597272670384,0.17290206560118304
Sweden,higher_child_coverage,22331.472615770283,0.4339751995583781,0.05100365223361995,0.034172794181819274,0.1049706133044768,0.14047198560886875,0.15435980646321323
Thailand,current,4318.880751550747,0.3883254989028661,0.04976427743049682,0.0019212125411903062,0.10146429801173781,0.13576524915244073,0.1491747391974972
Thailand,higher_child_coverage,4695.203983600085,0.39986145035930176,0.051248257063231016,0.0019238146716212515,0.10449275761245042,0.13981755195490686,0.1536273261203232
United_Kingdom,current,466684.0921440871,0.46362389343416865,0.054129703183270296,0.033979482344296597,0.11277101867520925,0.15095460547036413,0.1659187869442987
United_Kingdom,higher_child_coverage,476182.6098984147,0.4375670141689323,0.05085263844768579,0.033885486622514685,0.10595599227611613,0.14183257440926447,0.15589296086103707
United_States,current,62480.49888820945,0.48022066712273725,0.057476077238406566,0.03249798618848414,0.11756677681823297,0.15730994153082262,0.17284596258519755
United_States,higher_child_coverage,63054.48082709045,0.43076610647709207,0.051147845481378795,0.032317852142724916,0.10462789111175831,0.1399970893229817,0.1538232738996271
