strategy,maternal_protection_duration_days,median_infant_cases_per_100k_5y,iqr_infant_cases_per_100k_5y,median_infant_case_reduction_vs_current_5y,iqr_infant_case_reduction_vs_current_5y,countries_with_positive_reduction,countries,interpretation
current,90.0,133.77370375759963,37.22-446.3,0.0,0-0,0,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and cocooning assumptions fixed within each strategy.
maternal_direct_antibody_only,90.0,121.11872526213267,33.51-410.5,0.08525935577322352,0.07015-0.1233,10,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and cocooning assumptions fixed within each strategy.
maternal_immunization,90.0,65.71740417822036,10.09-320.6,0.6075707949126797,0.263-0.7435,10,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and cocooning assumptions fixed within each strategy.
current,180.0,132.3147407964344,36.88-440,0.0,0-0,0,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and cocooning assumptions fixed within each strategy.
maternal_direct_antibody_only,180.0,117.3223113350533,32.34-397.2,0.10597572540752775,0.0888-0.1494,10,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and cocooning assumptions fixed within each strategy.
maternal_immunization,180.0,63.682531766828845,9.638-312.3,0.6164633648521481,0.2757-0.7539,10,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and cocooning assumptions fixed within each strategy.
current,270.0,131.72602797375785,36.69-438.3,0.0,0-0,0,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and cocooning assumptions fixed within each strategy.
maternal_direct_antibody_only,270.0,115.49996819331557,31.78-391.1,0.11508851168577106,0.09779-0.1627,10,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and cocooning assumptions fixed within each strategy.
maternal_immunization,270.0,62.67215054893721,9.473-307.7,0.6183983113190131,0.2791-0.757,10,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and cocooning assumptions fixed within each strategy.
