optimization_constraint,strategy,mean_absolute_regret_infant_cases_per_100k,median_absolute_regret_infant_cases_per_100k,maximum_absolute_regret_infant_cases_per_100k,mean_relative_regret_vs_best,mean_standardized_regret_vs_current,median_standardized_regret_vs_current,maximum_standardized_regret_vs_current,probability_best_in_draw,probability_within_10_percent_of_best,median_infant_cases_per_100k,n_decision_cells,strategy_label,sensitivity_source
future_product_target,combined_strategy,43.53555957154235,0.0,1036.868355750942,0.35336290721765506,0.018358774880848427,0.0,0.2692203847442472,0.6921875,0.78671875,390.4830303312723,1280,Combined future stress-test profile,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,next_generation_vaccine,103.79863567568502,1.358988208117661,946.6637132076455,4.772056432374662,0.06940416863399498,0.027094381969953337,0.4314420905730338,0.303125,0.42578125,508.3242844882244,1280,High-transmission-blocking vaccine target,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,transmission_blocking_vaccine,289.0636310607249,268.2874290931119,1674.4942505570511,19.837802537957955,0.19803769449686257,0.19538443923881677,0.6228540998992731,0.003125,0.03203125,722.1657974166014,1280,Transmission-blocking vaccine target,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,timeliness_only,427.4833223816962,424.01201732098264,1871.48892532967,81.97547780772045,0.39738213978348647,0.37288758261801813,0.7928831868009382,0.0015625,0.01328125,873.9019366471598,1280,Routine timeliness,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,pregnancy_tdap_scaleup,705.8643757201554,676.5935830924727,3008.1417339109944,105.93995415577258,0.5789769673695284,0.5375708766602159,1.9208545475277554,0.0,0.0,1074.2142862434102,1280,Pregnancy Tdap scale-up,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,maternal_immunization,744.8704757122017,624.7129942788629,3844.5337831005118,73.16005984610553,0.48466751357229143,0.46668458252896483,0.8614267951702488,0.0,0.0,1012.6263740013276,1280,Infant-exposure reduction,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,cocooning_adjunct,754.7143738006113,687.2781321328338,3478.5050380327993,82.17993028759183,0.5207639730787537,0.49852317878520613,0.8899312050835229,0.0,0.0,1074.7222134955887,1280,Close-contact adult adjunct,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,targeted_pep_high_risk,806.3298015429077,721.4069769044502,3428.9188694205395,111.92195682905526,0.6398101928029509,0.6112759271835835,2.7493378114765754,0.0,0.0,1137.2306634451688,1280,Targeted high-risk PEP,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,resistance_guided_treatment,850.0432297428937,771.8870632142509,3919.285218377615,95.20609595933045,0.616681540393806,0.5813421536333718,0.9943747175490432,0.0,0.0,1180.6399103550084,1280,Resistance-guided management,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,adolescent_booster,940.1558913767421,850.1200141274635,4261.519139664012,106.29290109939032,0.6623682911817863,0.6089899320432488,1.0692408914428382,0.0,0.0,1245.1915915060963,1280,Adolescent booster,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,current,946.2120506748728,856.8331240640041,4261.321070834233,121.94233170561097,0.7173540170316463,0.6728049538935215,0.9996421835411653,0.0,0.0,1246.484595073373,1280,Current practice,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,higher_child_coverage,985.3584133034881,863.2390721557854,4605.750185695387,120.38100578778851,0.731290270053697,0.6822799913509432,1.1770208983035584,0.0,0.0,1256.4140516733978,1280,Nominal coverage floor,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
program_only,timeliness_only,10.108510420252092,0.0,245.84606395533888,0.25437497193597325,0.0389607586633738,0.0,0.7021960777961682,0.71015625,0.83515625,873.9019366471598,1280,Routine timeliness,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
program_only,pregnancy_tdap_scaleup,288.4895637587112,191.6286528482188,2042.8020468326276,0.6725559034123906,0.22055558624941574,0.1892663456835662,1.6647444544260699,0.0,0.009375,1074.2142862434102,1280,Pregnancy Tdap scale-up,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
program_only,maternal_immunization,327.49566375075756,108.36600212419893,3287.3235622362954,0.19475276289472243,0.1262461324521788,0.10947975844356642,0.47676962950871693,0.2859375,0.40859375,1012.6263740013276,1280,Infant-exposure reduction,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
program_only,cocooning_adjunct,337.33956183916706,193.0629949883272,2758.381954275208,0.2556568697349254,0.16234259195864098,0.16502637130515493,0.5192223627572184,0.003125,0.05703125,1074.7222134955887,1280,Close-contact adult adjunct,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
program_only,targeted_pep_high_risk,388.95498958146356,261.33173820412577,2854.0820636956796,0.790358128761348,0.28138881168283836,0.25461919442997755,2.49322771837489,0.0,0.00625,1137.2306634451688,1280,Targeted high-risk PEP,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
program_only,adolescent_booster,522.7810794152981,358.0135985385241,3640.3872909583524,0.5897760518511564,0.30394691006167374,0.2992474540018204,0.9315614948039828,0.00078125,0.00234375,1245.1915915060963,1280,Adolescent booster,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
