parameter,pearson_r,spearman_r,partial_rank_correlation,absolute_prcc,screening_note
relative_infectiousness_asymptomatic,0.5058619097798198,0.5556882327399044,0.8824782155722322,0.8824782155722322,Exploratory 48-sample LHS screening; not variance decomposition.
infectious_duration_asymptomatic,0.6072783847903171,0.6310247503256621,0.8761088602205912,0.8761088602205912,Exploratory 48-sample LHS screening; not variance decomposition.
fitness_R,0.44841445164986954,0.4089231437255753,0.6179974145965668,0.6179974145965668,Exploratory 48-sample LHS screening; not variance decomposition.
infectious_duration_symptomatic,0.19894446207114924,0.2802865827181937,0.6040843784869643,0.6040843784869643,Exploratory 48-sample LHS screening; not variance decomposition.
waning_rate_vaccine,0.02038771389068105,0.047438124185844546,0.5271120539435311,0.5271120539435311,Exploratory 48-sample LHS screening; not variance decomposition.
VE_sus,-0.2351989573424704,-0.21927920104211898,-0.5270751520361874,0.5270751520361874,Exploratory 48-sample LHS screening; not variance decomposition.
VE_inf,-0.10762060182223088,-0.03603994789405124,-0.378486873825592,0.378486873825592,Exploratory 48-sample LHS screening; not variance decomposition.
reporting_rate_multiplier,0.02270054633241382,0.06534954407294832,-0.16453995274727104,0.16453995274727104,Exploratory 48-sample LHS screening; not variance decomposition.
VE_dur,-0.05610376633409153,-0.0023881893182805037,0.15736161867081994,0.15736161867081994,Exploratory 48-sample LHS screening; not variance decomposition.
treatment_rate_symptomatic,-0.15879771452019575,-0.1514329135909683,-0.1527061615360211,0.1527061615360211,Exploratory 48-sample LHS screening; not variance decomposition.
VE_sym,0.08051968746351812,0.11018237082066869,-0.12850029252490253,0.12850029252490253,Exploratory 48-sample LHS screening; not variance decomposition.
PEP_effectiveness_resistant,-0.27557481663582667,-0.2077724706904038,-0.11964767518011458,0.11964767518011458,Exploratory 48-sample LHS screening; not variance decomposition.
seasonal_amplitude,0.1693801727926289,0.14926183239253146,-0.07926785413605963,0.07926785413605963,Exploratory 48-sample LHS screening; not variance decomposition.
waning_rate_natural,-0.01918018586396303,0.030612244897959183,0.0409791596928233,0.0409791596928233,Exploratory 48-sample LHS screening; not variance decomposition.
multi_year_amplitude,0.1059344890406382,0.09129396439426833,-0.01837706300900531,0.01837706300900531,Exploratory 48-sample LHS screening; not variance decomposition.
PEP_coverage,-0.029911066714016644,-0.029092488059053408,0.017109600459033966,0.017109600459033966,Exploratory 48-sample LHS screening; not variance decomposition.
