country,scenario,intervention,utility_scenario,total_qaly_like_loss,total_qaly_like_loss_per_100k_year,qaly_like_loss_averted_vs_current,qaly_like_loss_averted_vs_current_per_100k_year,relative_qaly_like_loss_reduction_vs_current,infant_life_years_lost,acute_illness_qaly_loss,hospitalization_qaly_loss,infant_life_years_lost_share,acute_illness_qaly_loss_share,hospitalization_qaly_loss_share,estimated_total_hospitalizations,estimated_infant_hospitalizations,estimated_noninfant_hospitalizations,total_symptomatic_cases,total_infant_cases,total_deaths,total_infant_deaths,infant_life_years_lost_per_death,acute_illness_disutility,acute_illness_duration_days,infant_hospitalization_probability_per_case,noninfant_hospitalization_probability_per_case,hospitalization_excess_disutility,hospitalization_duration_days,method_note
Australia,adolescent_booster,adolescent_booster,central_exploratory,27162.718853668677,3.528417791870808,-6.8806286400104,-0.0008937882756216986,-0.0002533756676186272,14450.883822019014,12269.674100770157,442.16093087950645,0.5320116848342387,0.4517100871554682,0.01627822801029312,115356.62857409978,74539.17006079783,40817.45851330196,4268093.77648219,186347.92515199457,215.87378608980757,206.4411974574145,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
Australia,cocooning_adjunct,cocooning_adjunct,central_exploratory,26231.35410569345,3.4074341758152134,924.4841193352186,0.12008982777997312,0.0340436598448709,13871.91398098231,11932.327700009851,427.1124247012851,0.5288295040007656,0.4548879806940645,0.016282515305169908,111430.58080153169,71716.02726966768,39714.553531864,4150745.4213605695,179290.0681741692,207.54028638936757,198.17019972831872,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
Australia,combined_strategy,combined_strategy,central_exploratory,11351.699313485131,1.4745776385051765,15804.138911543536,2.05294636509001,0.5819794174859005,2871.398505859117,8258.820303769393,221.4805038566216,0.2529487811968442,0.7275404391621274,0.019510779641028386,57782.68145259359,29798.75395917516,27983.927493418436,2872889.6342397816,74496.8848979379,46.9635567095415,41.019978655130245,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
Australia,current,current,central_exploratory,27155.838225028667,3.5275240035951865,0.0,0.0,0.0,14447.712295173471,12266.066399570853,442.05953028434243,0.5320296937789781,0.4516916877294405,0.016278618491581315,115330.17388311148,74524.90847651723,40805.26540659425,4266838.811850717,186312.27119129305,215.82637607149204,206.3958899310496,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
Australia,higher_child_coverage,higher_child_coverage,central_exploratory,27214.257278911515,3.535112595930962,-58.41905388284795,-0.00758859233577569,-0.0021512520953599346,14479.738825032457,12291.534397612786,442.9840562662738,0.5320644497710724,0.45165790385679816,0.016277646372129535,115571.37610804036,74681.43152738626,40889.944580654104,4275698.036883876,186703.57881846564,216.29950302171395,206.85341178617796,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
Australia,maternal_adult_boosting_only,maternal_adult_boosting_only,central_exploratory,26569.591150950513,3.4513709264644845,586.2470740781537,0.07615307713070196,0.021588251823426607,14191.337740093573,11945.021341873018,433.2320689839206,0.534119537612301,0.44957490215071266,0.016305560236986257,113027.15228312643,73308.24854319078,39718.90373993565,4155160.9953515423,183270.62135797695,212.1062750692149,202.73339628705105,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
Australia,maternal_cocooning_only,maternal_cocooning_only,central_exploratory,26797.9677449023,3.4810368833019067,357.8704801263666,0.04648712029327973,0.013178399324699552,14111.069286040283,12251.300119459193,435.598339402823,0.5265723662468618,0.4571727317564863,0.0162549019966518,113644.4953334865,72848.69002572515,40795.80530776135,4261702.255840448,182121.7250643129,211.01235427287185,201.58670408628976,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
Australia,maternal_direct_antibody_only,maternal_direct_antibody_only,central_exploratory,19116.74091543803,2.483251000744972,8039.097309590637,1.0442730028502143,0.2960356901147415,6488.784138547458,12212.868084219483,415.0886926710876,0.33942941253691084,0.6388572266707232,0.02171336079236582,108293.67499865338,67497.78566151347,40795.889337139924,4248333.397867776,168744.46415378366,102.11326704306764,92.69691626496368,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
Australia,maternal_immunization,maternal_immunization,central_exploratory,18506.21758793984,2.40394445564426,8649.620637088829,1.1235795479509263,0.31851790268498326,6229.279784075521,11875.9655187976,400.97228506671684,0.3366046980953595,0.6417284062701688,0.021666895634471686,104610.80508615593,64922.47255976117,39688.33252639476,4131139.4340388793,162306.1813994029,98.34231586893311,88.98971120107888,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
Australia,next_generation_vaccine,next_generation_vaccine,central_exploratory,16068.016988996917,2.0872239377802853,11087.82123603175,1.4403000658149012,0.40830340585150715,7308.643340236272,8518.436217594919,240.93743116572503,0.4548565853049008,0.5301485692620432,0.0149948454330559,62858.85480948648,34078.836889079714,28780.017920406764,2963198.884263376,85197.09222269928,110.8770449753561,104.40919057480389,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
