country,fitness_R,mean_absolute_error,max_absolute_error,observations_within_ci,total_observations,fraction_within_ci
Australia,0.9,0.0016831843810223707,0.0016831843810223707,1,1,1.0
Australia,0.85,0.0139706607947583,0.0139706607947583,1,1,1.0
Australia,0.95,0.024117582235122934,0.024117582235122934,1,1,1.0
Australia,1.0,0.04783712879746106,0.04783712879746106,0,1,0.0
Australia,1.05,0.07125138491238801,0.07125138491238801,0,1,0.0
Australia,1.1,0.1142224681817741,0.1142224681817741,0,1,0.0
China,1.05,0.014541975365667537,0.026351002378173338,1,2,0.5
China,1.1,0.015466310664430882,0.02793727651479927,1,2,0.5
China,1.0,0.18790291348296462,0.2130296151728367,0,2,0.0
China,0.95,0.9197814697147124,0.9437547608120717,0,2,0.0
China,0.9,0.974247853765289,0.9872697807500194,0,2,0.0
China,0.85,0.9789072907181868,0.9916095160015032,0,2,0.0
Japan,1.0,0.02639062379547663,0.02639062379547663,1,1,1.0
Japan,1.05,0.07942255962650457,0.07942255962650457,1,1,1.0
Japan,0.95,0.10381110736040311,0.10381110736040311,1,1,1.0
Japan,1.1,0.11847866414931818,0.11847866414931818,0,1,0.0
Japan,0.9,0.32480174155995756,0.32480174155995756,0,1,0.0
Japan,0.85,0.5814098849276332,0.5814098849276332,0,1,0.0
