strategy,strategy_label_y,domain_label,median_infant_reduction,q25_infant_reduction,q75_infant_reduction,min_infant_reduction,max_infant_reduction,countries_non_dominated,countries_preferred
adolescent_booster,Adolescent,Program only,1.9469825457037186,-0.22240640040519996,58.44314111511283,-3.2690434358134457,86.87737449773014,5,1
cocooning_adjunct,Adult/contact,Program only,36.70986128050164,16.879858952835583,72.18024797709731,3.7690501630955553,84.76125605798376,8,0
combined_strategy,Combined,Future product target,98.73337703007655,85.71533048771879,99.44868526169762,60.01504118702372,99.72858889415303,8,8
higher_child_coverage,Coverage,Program only,-1.0991331607274049,-4.864830006102217,-0.5224665861115247,-14.692800687524098,48.60743653782617,0,0
maternal_immunization,Infant exposure,Program only,45.471668526289264,25.418421436652793,76.98980794942715,12.8848677757739,86.42367502088275,8,5
next_generation_vaccine,High-blocking,Future product target,97.38305717511332,69.22217490783943,99.3332442031456,54.27188361291151,99.82535019735855,10,2
pregnancy_tdap_scaleup,Pregnancy Tdap,Program only,12.320998392840611,10.31267298238092,13.926883509103769,9.429226997711526,16.757265280005186,0,0
resistance_guided_treatment,Resistance mgmt,Program + resistance,40.53228440611805,23.549634593384326,51.693528762091745,17.07843308390705,58.03559427360281,9,0
targeted_pep_high_risk,Targeted PEP,Program only,4.5717924205705796,1.209365052042291,9.077114406020879,-0.397449596440213,12.026359054359526,0,0
timeliness_only,Timeliness,Program only,34.63518388009717,30.92034172365125,51.44519618474849,26.647980587342957,73.49782311933357,7,4
transmission_blocking_vaccine,Transmission block,Future product target,95.03753940481062,50.510750162717876,96.93965136186767,36.42200745970294,98.79215673953811,0,0
