age_group,median_relative_change_infections,q25_relative_change_infections,q75_relative_change_infections,median_relative_change_symptomatic_cases,countries_with_infection_increase
adolescent_10_17y,0.00868908784455365,0.0014278522821125658,0.04637748919949809,0.009309476850557078,9
child_1_4y,0.011778360260364561,0.004844535842924095,0.0491459829336806,0.017891573684920177,9
child_5_9y,0.0153694130884705,0.006907086049372922,0.05264180836525865,0.029690706938078487,9
elderly_65plus,0.009571203720665675,0.0019409846599951239,0.045666716543331334,0.009557279281038347,9
infant_0_2m,0.011239765350879371,0.004446866210731948,0.048730989084623894,0.011239515302446216,9
infant_3_11m,0.011240956100890303,0.00435951136467164,0.04865086098312294,0.011212547756091271,9
middle_adult_40_64y,0.008512025601534103,0.001536935132043358,0.04601915270914944,0.008471679032421386,9
young_adult_18_39y,0.008191320121379395,0.0014347962384067738,0.04605884308594449,0.00813667784727154,9
