strategy,coverage_floor_applied,timeliness_applied,median_current_infant_cases_per_100k,median_scenario_infant_cases_per_100k,median_relative_reduction_infant_cases,iqr_relative_reduction_infant_cases,countries_with_positive_reduction,median_relative_reduction_total_infections,countries,implementation_note
current,False,False,338.1367382718744,338.1367382718744,0.0,0 to 0,0,0.0,10,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
coverage_floor_only,True,False,338.1367382718744,341.64994146599224,-0.010491808967568295,-0.04641 to -0.004256,1,-0.00828088214589584,10,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
timeliness_only,False,True,338.1367382718744,220.7591435664873,0.34618341601130853,0.3093 to 0.5136,10,0.1131773421984999,10,Current coverage with faster routine-vaccination relaxation and earlier infant/child vaccine-origin targets.
coverage_floor_plus_timeliness,True,True,338.1367382718744,221.07211053785574,0.3452444696683054,0.3108 to 0.5211,10,0.11176736044117391,10,Coverage floor plus faster routine-vaccination relaxation and earlier infant/child vaccine-origin targets.
