resistance_weight_lambda,strategy,strategy_label,country_profiles_preferred,median_preference_score,median_infant_case_reduction,median_resistant_infection_reduction
0,timeliness_only,Timeliness,4,0.3120433718580301,0.3120433718580301,0.05033145657707599
0,maternal_immunization,Infant exposure,5,0.7367456290131391,0.7367456290131391,0.429239708686999
0,adolescent_booster,Adolescent,1,0.8687737449773014,0.8687737449773014,0.9858242542061652
0,resistance_guided_treatment,Resistance mgmt,0,NA,NA,NA
0.01,timeliness_only,Timeliness,4,0.3093076857420047,0.3120433718580301,0.05033145657707599
0.01,maternal_immunization,Infant exposure,5,0.7293781727230078,0.7367456290131391,0.429239708686999
0.01,adolescent_booster,Adolescent,1,0.8699442500695901,0.8687737449773014,0.9858242542061652
0.01,resistance_guided_treatment,Resistance mgmt,0,NA,NA,NA
0.02,timeliness_only,Timeliness,4,0.30657199962597925,0.3120433718580301,0.05033145657707599
0.02,maternal_immunization,Infant exposure,5,0.7220107164328763,0.7367456290131391,0.429239708686999
0.02,adolescent_booster,Adolescent,1,0.8711147551618786,0.8687737449773014,0.9858242542061652
0.02,resistance_guided_treatment,Resistance mgmt,0,NA,NA,NA
0.03,timeliness_only,Timeliness,4,0.30383631350995377,0.3120433718580301,0.05033145657707599
0.03,maternal_immunization,Infant exposure,5,0.7146432601427449,0.7367456290131391,0.429239708686999
0.03,adolescent_booster,Adolescent,1,0.8722852602541673,0.8687737449773014,0.9858242542061652
0.03,resistance_guided_treatment,Resistance mgmt,0,NA,NA,NA
0.04,timeliness_only,Timeliness,4,0.3011006273939284,0.3120433718580301,0.05033145657707599
0.04,maternal_immunization,Infant exposure,5,0.7072758038526136,0.7367456290131391,0.429239708686999
0.04,adolescent_booster,Adolescent,1,0.873455765346456,0.8687737449773014,0.9858242542061652
0.04,resistance_guided_treatment,Resistance mgmt,0,NA,NA,NA
0.05,timeliness_only,Timeliness,4,0.2983649412779029,0.3120433718580301,0.05033145657707599
0.05,maternal_immunization,Infant exposure,5,0.6999083475624821,0.7367456290131391,0.429239708686999
0.05,adolescent_booster,Adolescent,1,0.8746262704387445,0.8687737449773014,0.9858242542061652
0.05,resistance_guided_treatment,Resistance mgmt,0,NA,NA,NA
0.06,timeliness_only,Timeliness,4,0.29562925516187744,0.3120433718580301,0.05033145657707599
0.06,maternal_immunization,Infant exposure,5,0.6925408912723507,0.7367456290131391,0.429239708686999
0.06,adolescent_booster,Adolescent,1,0.8757967755310332,0.8687737449773014,0.9858242542061652
0.06,resistance_guided_treatment,Resistance mgmt,0,NA,NA,NA
0.07,timeliness_only,Timeliness,4,0.29289356904585206,0.3120433718580301,0.05033145657707599
0.07,maternal_immunization,Infant exposure,5,0.6851734349822193,0.7367456290131391,0.429239708686999
0.07,adolescent_booster,Adolescent,1,0.8769672806233219,0.8687737449773014,0.9858242542061652
0.07,resistance_guided_treatment,Resistance mgmt,0,NA,NA,NA
0.08,timeliness_only,Timeliness,4,0.2901578829298267,0.3120433718580301,0.05033145657707599
