country,strategy,rank,rank_acceptability_probability,probability_rank_1,probability_top_2,probability_top_3,probability_within_10_percent_of_best,mean_rank,median_rank,median_infant_cases_per_100k,q025_infant_cases_per_100k,q975_infant_cases_per_100k,median_relative_reduction_vs_current,n_psa_samples,n_rank_observations
All_countries_pooled,adolescent_booster,1,0.0,0.0,0.0,0.00546875,0.0,5.36015625,5.0,1245.1915915060963,0.40126023120102766,5740.126093410587,4.3298307591477236e-05,128,1280
All_countries_pooled,combined_strategy,1,0.69453125,0.69453125,1.0,1.0,0.78671875,1.30546875,1.0,390.4830303312723,0.13676564824497725,3450.365903970089,0.6585641325839945,128,1280
All_countries_pooled,current,1,0.0,0.0,0.0,0.0046875,0.0,5.5890625,6.0,1246.484595073373,0.46953417311211965,5773.86195247741,0.0,128,1280
All_countries_pooled,higher_child_coverage,1,0.0,0.0,0.0,0.00078125,0.0,6.58125,7.0,1256.4140516733978,0.4427556065485266,5965.166525531116,-0.027108487458101793,128,1280
All_countries_pooled,maternal_immunization,1,0.0,0.0,0.00390625,0.8375,0.00078125,3.1796875,3.0,1012.6263740013275,0.3249823280184795,5449.85117132505,0.18847917186001378,128,1280
All_countries_pooled,next_generation_vaccine,1,0.30546875,0.30546875,0.99609375,1.0,0.4265625,1.6984375,2.0,508.3242844882244,0.1690010048358837,3115.3891332949806,0.5860003360598984,128,1280
All_countries_pooled,resistance_guided_treatment,1,0.0,0.0,0.0,0.1515625,0.0,4.2859375,4.0,1180.6399103550084,0.42534444334653565,5507.188062111521,0.057733314283731574,128,1280
All_countries_pooled,adolescent_booster,2,0.0,0.0,0.0,0.00546875,0.0,5.36015625,5.0,1245.1915915060963,0.40126023120102766,5740.126093410587,4.3298307591477236e-05,128,1280
All_countries_pooled,combined_strategy,2,0.30546875,0.69453125,1.0,1.0,0.78671875,1.30546875,1.0,390.4830303312723,0.13676564824497725,3450.365903970089,0.6585641325839945,128,1280
All_countries_pooled,current,2,0.0,0.0,0.0,0.0046875,0.0,5.5890625,6.0,1246.484595073373,0.46953417311211965,5773.86195247741,0.0,128,1280
All_countries_pooled,higher_child_coverage,2,0.0,0.0,0.0,0.00078125,0.0,6.58125,7.0,1256.4140516733978,0.4427556065485266,5965.166525531116,-0.027108487458101793,128,1280
