country,metric,external_label,model_age_groups,model_window,external_value,modeled_value,absolute_difference,tolerance_abs,standardized_difference,age_pattern_weight,passes_weight_threshold,source_note,n_age_pattern_checks,minimum_age_pattern_weight,country_age_pattern_weight,all_checks_pass_weight_threshold
United_States,reported_case_share,Infants <1 y share of 2025 provisional reported cases,infant_0_2m;infant_3_11m,2025-2050 scenario horizon,0.124,0.14686267016626126,0.022862670166261256,0.08,0.2857833770782657,0.9599864882996884,True,US provisional 2025 surveillance age distribution used as an external check; not a calibration target.,1,0.9599864882996884,0.9599864882996884,True
United_Kingdom,reported_case_share,Infants <1 y share of 2024 laboratory-confirmed cases in England,infant_0_2m;infant_3_11m,2025-2050 scenario horizon,0.06,0.1984231976954947,0.13842319769549472,0.1,1.3842319769549472,0.38364060734483413,False,England 2024 laboratory-confirmed age distribution used as an external check; not a calibration target.,1,0.38364060734483413,0.38364060734483413,False
Sweden,reported_case_share,EU/EEA 2024 infant case share proxy for Sweden external triangulation,infant_0_2m;infant_3_11m,2025-2050 scenario horizon,0.048,0.15480568527669705,0.10680568527669705,0.1,1.0680568527669705,0.565314695124729,True,EU/EEA 2024 infant case share used as a broad external age-pattern check for Sweden.,1,0.565314695124729,0.565314695124729,True
Australia,reported_case_share,"Children 5-14 y share of 2024 reported cases, compared with the model 5-17 y proxy",child_5_9y;adolescent_10_17y,2025-2050 scenario horizon,0.57,0.31434955983987506,-0.2556504401601249,0.2,-1.2782522008006243,0.44177068470199876,False,Australia 2024 school-age-dominated distribution used as a coarse check; model age bins require a 5-17 y proxy.,1,0.44177068470199876,0.44177068470199876,False
