country,period,n_intervals,observed_total_reported_cases,predicted_total_reported_cases,mean_observed_reported_cases,mean_predicted_reported_cases,mean_absolute_percentage_error,peak_observed_year,peak_predicted_year,peak_timing_error_years,observed_peak_reported_cases,predicted_peak_reported_cases,peak_magnitude_ratio
Australia,overall,65,88963.0,88962.99999999999,1368.6615384615384,1368.6615384615382,2.6666656757596128,2024,2025,1,9317.0,4926.7920050444545,0.528795964907637
Australia,pandemic_npi,12,540.0,1580.8066833844487,45.0,131.73389028203738,2.131697946115699,,,,,,
Australia,post_pandemic,53,88423.0,87382.19331661555,1668.3584905660377,1648.7206286153878,2.7877904447355935,,,,,,
China,overall,81,640783.0,676292.2317294559,7910.901234567901,8349.286811474763,3.753174545778123,2024,2025,1,97669.0,51015.67885935893,0.5223323558074612
China,pandemic_npi,24,14156.0,12654.970648243998,589.8333333333334,527.2904436768332,0.9616134933710537,,,,,,
China,post_pandemic,57,626627.0,663637.2610812119,10993.456140350878,11642.75896633705,4.9285686731074145,,,,,,
United_Kingdom,overall,273,34581.0,34581.0,126.67032967032966,126.67032967032966,8.856179625116024,2024,2024,0,1880.0,360.17445007174916,0.1915821542934836
United_Kingdom,pandemic_npi,104,1812.0,8296.083032489358,17.423076923076923,79.77002915855152,13.84046615495908,,,,,,
United_Kingdom,post_pandemic,169,32769.0,26284.916967510646,193.89940828402368,155.53205306219317,5.690060508674838,,,,,,
Japan,overall,276,82325.0,82324.99999999999,298.2789855072464,298.2789855072463,6.5424213065880075,2025,2025,0,3908.0,1550.0152182885442,0.3966262073409786
Japan,pandemic_npi,52,563.0,1257.7438230356847,10.826923076923077,24.187381212224707,1.7939224791318227,,,,,,
Japan,post_pandemic,224,81762.0,81067.2561769643,365.00892857142856,361.9073936471621,7.644751391533193,,,,,,
New_Zealand,overall,64,5324.0,5324.000000000001,83.1875,83.18750000000001,5.93668903633032,2024,2026,2,582.0,349.6955665448241,0.6008514889086325
New_Zealand,pandemic_npi,12,62.0,323.63398179399564,5.166666666666667,26.96949848283297,6.164339527825712,,,,,,
New_Zealand,post_pandemic,52,5262.0,5000.366018206005,101.1923076923077,96.16088496550009,5.885583823953803,,,,,,
Sweden,overall,64,3562.0,3562.0000000000005,55.65625,55.65625000000001,12.581376700358751,2024,2021,-3,495.0,107.99334847577254,0.21816838075913644
Sweden,pandemic_npi,12,11.0,766.5981892947726,0.9166666666666666,63.88318244123105,48.33480833846711,,,,,,
Sweden,post_pandemic,52,3551.0,2795.4018107052275,68.28846153846153,53.757727128946684,5.7711992454809655,,,,,,
United_States,overall,278,25679.0,25679.000000000007,92.37050359712231,92.37050359712232,6.366794392747864,2024,2021,-3,577.0,128.09795828511056,0.22200686011284326
United_States,pandemic_npi,51,510.0,5097.883969329438,10.0,99.958509202538,18.81723451849151,,,,,,
United_States,post_pandemic,227,25169.0,20581.11603067057,110.87665198237886,90.66570938621398,3.569558945994886,,,,,,
Brazil,overall,64,11275.0,11275.0,176.171875,176.171875,8.680517759364582,2024,2021,-3,1609.0,275.74260535847407,0.17137514316872224
Brazil,pandemic_npi,12,159.0,2211.1382423900604,13.25,184.2615201991717,16.271103312514747,,,,,,
Brazil,post_pandemic,52,11116.0,9063.861757609939,213.76923076923077,174.30503380019113,6.928844170176082,,,,,,
Thailand,overall,72,1982.0,1982.0000000000005,27.52777777777778,27.527777777777786,7.57587715048959,2024,2024,0,332.0,67.77486634683461,0.20414116369528498
Thailand,pandemic_npi,24,30.0,482.16294859773825,1.25,20.090122858239095,13.0707578643308,,,,,,
Thailand,post_pandemic,48,1952.0,1499.8370514022622,40.666666666666664,31.24660523754713,5.875080739062548,,,,,,
South_Africa,overall,32,3883.0,3883.0,121.34375,121.34375,1.1893582751364453,2025,2023,-2,339.0,200.10812005799974,0.5902894396991143
South_Africa,post_pandemic,32,3883.0,3883.0,121.34375,121.34375,1.1893582751364453,,,,,,
