optimization_constraint,strategy,strategy_label,decision_domain,implementation_intensity,countries_non_dominated,countries_ranked_first_for_infant_cases,median_infant_case_reduction,median_resistant_infection_reduction,median_infant_cases_per_100k,median_resistant_infections_per_100k
future_product_target,combined_strategy,Combined future stress-test portfolio,Future stress test,5,8,8,0.9873337703007654,0.9951559186637744,1.0996926654179782,0.27074163168809323
future_product_target,next_generation_vaccine,High-transmission-blocking vaccine target,Future product target,4,2,2,0.9738305717511331,0.876850957752269,1.140974028315252,1.5200987369784842
future_product_target,resistance_guided_treatment,Resistance-guided management,Resistance management,2,1,0,0.4053228440611805,0.9400177205977975,216.57589716641147,2.4220191090740917
future_product_target,transmission_blocking_vaccine,Transmission-blocking vaccine target,Future product target,4,0,0,0.9503753940481062,0.7447691030987895,10.452864644106533,8.43684062850471
future_product_target,maternal_immunization,Infant-exposure reduction,Program-only composite,3,0,0,0.4547166852628926,0.23292835941429252,198.7523441182788,399.49680793922107
future_product_target,cocooning_adjunct,Close-contact adult adjunct,Program-only,2,0,0,0.36709861280501643,0.2263203108301473,230.44471435961452,404.97349146781335
future_product_target,timeliness_only,Routine timeliness,Program-only,1,0,0,0.3463518388009717,0.09063333705275067,222.46597077543652,496.2941285868832
future_product_target,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,Program-only,1,0,0,0.1232099839284061,0.008916172620921259,300.77188916190227,566.9944876693114
future_product_target,targeted_pep_high_risk,Targeted high-risk PEP,Program-only,1,0,0,0.04571792420570581,-0.010814443693110687,340.18018339264006,607.4476855891972
future_product_target,adolescent_booster,Adolescent booster,Program-only,1,0,0,0.019469825457037182,0.020574551739021008,310.4318340942279,514.4422341898695
future_product_target,current,Current practice,Comparator,0,0,0,0.0,0.0,341.3969463834434,574.2408823455003
future_product_target,higher_child_coverage,Nominal coverage floor,Program-only,1,0,0,-0.010991331607274057,-0.008448674238267895,345.0368715791898,580.0535294252256
program_only,maternal_immunization,Infant-exposure reduction,Program-only composite,3,8,5,0.4547166852628926,0.23292835941429252,198.7523441182788,399.49680793922107
program_only,timeliness_only,Routine timeliness,Program-only,1,4,4,0.3463518388009717,0.09063333705275067,222.46597077543652,496.2941285868832
program_only,adolescent_booster,Adolescent booster,Program-only,1,1,1,0.019469825457037182,0.020574551739021008,310.4318340942279,514.4422341898695
program_only,cocooning_adjunct,Close-contact adult adjunct,Program-only,2,0,0,0.36709861280501643,0.2263203108301473,230.44471435961452,404.97349146781335
program_only,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,Program-only,1,0,0,0.1232099839284061,0.008916172620921259,300.77188916190227,566.9944876693114
program_only,targeted_pep_high_risk,Targeted high-risk PEP,Program-only,1,0,0,0.04571792420570581,-0.010814443693110687,340.18018339264006,607.4476855891972
program_only,current,Current practice,Comparator,0,0,0,0.0,0.0,341.3969463834434,574.2408823455003
program_only,higher_child_coverage,Nominal coverage floor,Program-only,1,0,0,-0.010991331607274057,-0.008448674238267895,345.0368715791898,580.0535294252256
program_plus_resistance,maternal_immunization,Infant-exposure reduction,Program-only composite,3,6,5,0.4547166852628926,0.23292835941429252,198.7523441182788,399.49680793922107
program_plus_resistance,timeliness_only,Routine timeliness,Program-only,1,4,4,0.3463518388009717,0.09063333705275067,222.46597077543652,496.2941285868832
program_plus_resistance,adolescent_booster,Adolescent booster,Program-only,1,1,1,0.019469825457037182,0.020574551739021008,310.4318340942279,514.4422341898695
program_plus_resistance,resistance_guided_treatment,Resistance-guided management,Resistance management,2,9,0,0.4053228440611805,0.9400177205977975,216.57589716641147,2.4220191090740917
program_plus_resistance,cocooning_adjunct,Close-contact adult adjunct,Program-only,2,0,0,0.36709861280501643,0.2263203108301473,230.44471435961452,404.97349146781335
program_plus_resistance,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,Program-only,1,0,0,0.1232099839284061,0.008916172620921259,300.77188916190227,566.9944876693114
program_plus_resistance,targeted_pep_high_risk,Targeted high-risk PEP,Program-only,1,0,0,0.04571792420570581,-0.010814443693110687,340.18018339264006,607.4476855891972
program_plus_resistance,current,Current practice,Comparator,0,0,0,0.0,0.0,341.3969463834434,574.2408823455003
program_plus_resistance,higher_child_coverage,Nominal coverage floor,Program-only,1,0,0,-0.010991331607274057,-0.008448674238267895,345.0368715791898,580.0535294252256
