strategy,infant_contact_multiplier,median_infant_cases_per_100k,iqr_infant_cases_per_100k,median_all_infections_per_100k,countries,interpretation
current,0.75,113.61280710450842,30-388.3,271.59404772856203,10,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
current,1.0,133.77370375759963,37.22-446.3,280.83148344003104,10,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
current,1.25,154.0311172322307,45.51-505,288.52878955821757,10,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
current,1.5,178.0902779386616,55-568.4,300.800071457839,10,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
maternal_immunization,0.75,55.12291112646179,7.462-273.7,159.41182230197896,10,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
maternal_immunization,1.0,63.682531766828845,9.638-312.3,163.1952003923148,10,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
maternal_immunization,1.25,73.16472850938261,12.48-350.7,168.1754857610323,10,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
maternal_immunization,1.5,83.36591088475063,16.22-390.6,173.74093456827808,10,Multiplier applied to contact-matrix entries from child/adolescent/adult sources into infant target age groups.
