utility_scenario,scenario,country_count,median_total_qaly_like_loss_per_100k_year,q25_total_qaly_like_loss_per_100k_year,q75_total_qaly_like_loss_per_100k_year,median_qaly_like_loss_averted_vs_current_per_100k_year,q25_qaly_like_loss_averted_vs_current_per_100k_year,q75_qaly_like_loss_averted_vs_current_per_100k_year,median_relative_qaly_like_loss_reduction_vs_current,median_infant_mortality_life_year_share,median_acute_illness_share,median_hospitalization_share,infant_life_years_lost_per_death,acute_illness_disutility,acute_illness_duration_days,infant_hospitalization_probability_per_case,noninfant_hospitalization_probability_per_case,hospitalization_excess_disutility,hospitalization_duration_days,interpretation_note
central_exploratory,higher_child_coverage,10,0.6371526357375434,0.07654504798082351,1.7916488213024666,-0.005998900878697904,-0.007447433606579956,-0.0034984171468057795,-0.010378610545751621,0.43340542337911314,0.5542563902118661,0.014761226722113462,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
central_exploratory,current,10,0.6307959746254995,0.0918119967483503,1.7661820440884919,0.0,0.0,0.0,0.0,0.4337115208041009,0.5539352852792166,0.01476129683064275,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
central_exploratory,targeted_pep_high_risk,10,0.6298068300709914,0.08565920353397127,1.615578073350425,0.006071265440838306,0.0025614219285557648,0.04402707892650157,0.04315002506382343,0.43368906275612606,0.5539562100471678,0.014756175122807875,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
central_exploratory,maternal_cocooning_only,10,0.6204221576662097,0.08822134786653436,1.7385805657450542,0.010373816959289905,0.0035906488818159346,0.0272064250401432,0.017502039856013285,0.4268502116132117,0.5607835404283412,0.01473547756186261,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
central_exploratory,adolescent_booster,10,0.571470046185262,0.03329702778682779,1.7674887627701912,0.011884557787939749,-0.0019334333078153479,0.0395695715931431,0.022813711816883575,0.4430149515543961,0.5446460055701505,0.014761005865812337,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
central_exploratory,maternal_adult_boosting_only,10,0.4577442772948592,0.028174969372603595,1.4814186505448228,0.12451462926411457,0.05413635831632147,0.1961907743545322,0.35520666187749467,0.44450238763329825,0.5431591064302539,0.01477708902619064,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
central_exploratory,cocooning_adjunct,10,0.4505213157500066,0.026733087072808283,1.4593775763215378,0.1321126323225174,0.06507890967554202,0.2072456174510155,0.3657179669455127,0.4382101622668573,0.5494395475204681,0.014752148092151925,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
central_exploratory,maternal_direct_antibody_only,10,0.452758309017487,0.06025597516998596,1.231866594279427,0.17803766560801254,0.03155602157836434,0.5343154498090649,0.300240380766858,0.20184791191072732,0.7797274041589217,0.01842468393035113,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
central_exploratory,pregnancy_tdap_scaleup,10,0.452758309017487,0.06025597516998596,1.231866594279427,0.17803766560801254,0.03155602157836434,0.5343154498090649,0.300240380766858,0.20184791191072732,0.7797274041589217,0.01842468393035113,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
central_exploratory,resistance_guided_treatment,10,0.4140321369518617,0.04282144439594675,1.4097844341111463,0.21676383767363785,0.04899055235240355,0.35639760997734554,0.3879925700239674,0.4276231369083279,0.5600042093926867,0.014736244181184119,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
