optimization_constraint,country,strategy,mean_absolute_regret_infant_cases_per_100k,maximum_absolute_regret_infant_cases_per_100k,probability_best_in_draw,probability_within_10_percent_of_best,median_infant_cases_per_100k,n_psa_samples,strategy_label
future_product_target,Australia,next_generation_vaccine,65.47226345158856,531.2435563875208,0.5625,0.78125,2017.185172722764,128,High-transmission-blocking vaccine target
future_product_target,Australia,combined_strategy,179.8994148280379,1036.868355750942,0.40625,0.6484375,2052.068242285506,128,Combined future stress-test portfolio
future_product_target,Australia,transmission_blocking_vaccine,278.3768518628053,835.8844396468216,0.0234375,0.203125,2214.5728020355405,128,Transmission-blocking vaccine target
future_product_target,Australia,timeliness_only,429.27580768217166,1441.7109330296557,0.0078125,0.1171875,2364.439378362486,128,Routine timeliness
future_product_target,Australia,pregnancy_tdap_scaleup,1230.465376518966,2707.2121113252,0.0,0.0,3132.3855142950556,128,Pregnancy Tdap scale-up
future_product_target,Australia,targeted_pep_high_risk,1458.0748680923223,3326.1214922830413,0.0,0.0,3379.769530960809,128,Targeted high-risk PEP
future_product_target,Australia,cocooning_adjunct,1472.7380403433438,3230.4213828625698,0.0,0.0,3364.644012096115,128,Close-contact adult adjunct
future_product_target,Australia,resistance_guided_treatment,1816.2324785203434,3919.285218377615,0.0,0.0,3698.7033397091964,128,Resistance-guided management
future_product_target,Australia,maternal_immunization,1856.4693106219947,3844.5337831005118,0.0,0.0,3780.552457842073,128,Infant-exposure reduction
future_product_target,Australia,current,2054.17882495524,4261.321070834233,0.0,0.0,3962.0494837356773,128,Current practice
future_product_target,Australia,adolescent_booster,2054.5032237517617,4261.519139664012,0.0,0.0,3962.158842348493,128,Adolescent booster
future_product_target,Australia,higher_child_coverage,2222.3332245734696,4605.750185695387,0.0,0.0,4126.16602409791,128,Nominal coverage floor
future_product_target,Brazil,combined_strategy,8.312472865224294,220.74899854670343,0.8203125,0.9140625,3.308116200547245,128,Combined future stress-test portfolio
future_product_target,Brazil,next_generation_vaccine,69.7274202196261,552.6237979953248,0.1796875,0.2734375,25.518283014345137,128,High-transmission-blocking vaccine target
future_product_target,Brazil,transmission_blocking_vaccine,194.80242821167337,885.5704694194235,0.0,0.0078125,185.96588476671104,128,Transmission-blocking vaccine target
future_product_target,Brazil,timeliness_only,297.41417593382164,916.8138086836711,0.0,0.0,405.4161557751675,128,Routine timeliness
future_product_target,Brazil,maternal_immunization,397.9831219460109,1113.1453299032341,0.0,0.0,426.5248280596269,128,Infant-exposure reduction
future_product_target,Brazil,cocooning_adjunct,420.8423464414518,1171.0619177482026,0.0,0.0,446.17289482784054,128,Close-contact adult adjunct
future_product_target,Brazil,pregnancy_tdap_scaleup,452.1129122639382,1357.233347778892,0.0,0.0,517.8608312165769,128,Pregnancy Tdap scale-up
future_product_target,Brazil,resistance_guided_treatment,481.48733506032386,1388.021596178162,0.0,0.0,504.7588754203066,128,Resistance-guided management
future_product_target,Brazil,targeted_pep_high_risk,489.5630207428889,1509.3226810205188,0.0,0.0,549.9291789952097,128,Targeted high-risk PEP
future_product_target,Brazil,adolescent_booster,528.3779578560045,1583.687852813299,0.0,0.0,563.962336102499,128,Adolescent booster
future_product_target,Brazil,current,533.9106419990451,1572.5497200808788,0.0,0.0,575.7779481547564,128,Current practice
future_product_target,Brazil,higher_child_coverage,554.1152073551095,1625.3739804757108,0.0,0.0,591.3102506904042,128,Nominal coverage floor
future_product_target,China,combined_strategy,0.8053521787502991,68.215113468043,0.9765625,1.0,173.22619779205252,128,Combined future stress-test portfolio
future_product_target,China,next_generation_vaccine,164.57838919106507,738.0576281390249,0.0234375,0.078125,352.7583952220606,128,High-transmission-blocking vaccine target
future_product_target,China,transmission_blocking_vaccine,367.8416807897004,991.498105613028,0.0,0.0,638.2600158500363,128,Transmission-blocking vaccine target
future_product_target,China,timeliness_only,482.0432884441855,1307.259920821644,0.0,0.0,878.0813759718495,128,Routine timeliness
future_product_target,China,maternal_immunization,568.8958987572188,2084.3692895066297,0.0,0.0,871.7313851256303,128,Infant-exposure reduction
future_product_target,China,pregnancy_tdap_scaleup,674.3844826484278,1909.2814983349574,0.0,0.0,1045.590664209384,128,Pregnancy Tdap scale-up
future_product_target,China,cocooning_adjunct,681.8494782698352,2401.281490342434,0.0,0.0,990.612290670838,128,Close-contact adult adjunct
future_product_target,China,resistance_guided_treatment,746.9561882420581,2683.646296998075,0.0,0.0,949.5940127405051,128,Resistance-guided management
future_product_target,China,targeted_pep_high_risk,813.4693478881536,2579.0556538078436,0.0,0.0,1111.4873215264345,128,Targeted high-risk PEP
future_product_target,China,adolescent_booster,835.298614355575,2584.50200873662,0.0,0.0,1162.512602324448,128,Adolescent booster
future_product_target,China,current,847.8697922036476,2582.8129330948404,0.0,0.0,1183.1079993022404,128,Current practice
future_product_target,China,higher_child_coverage,880.8098829524705,2687.682860851057,0.0,0.0,1210.3486267667922,128,Nominal coverage floor
future_product_target,Japan,combined_strategy,0.0,0.0,1.0,1.0,352.2328702858857,128,Combined future stress-test portfolio
future_product_target,Japan,next_generation_vaccine,179.3565757314505,568.2123735749624,0.0,0.0546875,531.5306881173291,128,High-transmission-blocking vaccine target
future_product_target,Japan,transmission_blocking_vaccine,324.40631368901893,861.663071961005,0.0,0.0,747.4058885791437,128,Transmission-blocking vaccine target
future_product_target,Japan,timeliness_only,385.4622792809688,1007.875512405981,0.0,0.0,797.8889274876628,128,Routine timeliness
future_product_target,Japan,maternal_immunization,458.7047686263391,1592.4806212679223,0.0,0.0,841.0426406552757,128,Infant-exposure reduction
future_product_target,Japan,pregnancy_tdap_scaleup,543.5468683773162,1700.8820390227033,0.0,0.0,931.6444836495893,128,Pregnancy Tdap scale-up
future_product_target,Japan,cocooning_adjunct,552.8798234775629,1907.4490002137227,0.0,0.0,927.0350955561398,128,Close-contact adult adjunct
future_product_target,Japan,resistance_guided_treatment,641.8766759690187,2259.0263876906993,0.0,0.0,934.5853584433514,128,Resistance-guided management
future_product_target,Japan,targeted_pep_high_risk,663.4891075452448,2065.008417496298,0.0,0.0,1013.6076919147711,128,Targeted high-risk PEP
future_product_target,Japan,adolescent_booster,711.1537256440121,2345.720876096591,0.0,0.0,1088.1417762298645,128,Adolescent booster
future_product_target,Japan,current,712.6114974551647,2322.5643976505503,0.0,0.0,1082.5643675386204,128,Current practice
future_product_target,Japan,higher_child_coverage,738.4460892606115,2395.0733885134364,0.0,0.0,1101.8087443148304,128,Nominal coverage floor
future_product_target,New_Zealand,next_generation_vaccine,62.36173583118468,462.06314386523604,0.578125,0.6953125,1156.8192047633493,128,High-transmission-blocking vaccine target
future_product_target,New_Zealand,combined_strategy,103.49604257650573,864.5669103226314,0.4140625,0.6484375,1139.3751808928,128,Combined future stress-test portfolio
future_product_target,New_Zealand,transmission_blocking_vaccine,338.32970825818,1109.9997757673327,0.0078125,0.078125,1420.999414213402,128,Transmission-blocking vaccine target
