country,strategy,strategy_label,optimization_constraint,relative_reduction_infant_cases,non_dominated_outcome,preferred_in_constraint
United_States,transmission_blocking_vaccine,"Transmission
block",future_product_target,0.9834156300472886,FALSE,FALSE
United_States,combined_strategy,Combined,future_product_target,0.989475290182802,FALSE,FALSE
Australia,adolescent_booster,Adolescent,program_only,-1.9136683655562e-4,FALSE,FALSE
Australia,higher_child_coverage,Coverage,program_only,-0.00210027834431603,FALSE,FALSE
Australia,pregnancy_tdap_scaleup,"Pregnancy
Tdap",program_only,0.09429226997711526,FALSE,FALSE
Australia,targeted_pep_high_risk,"Targeted
PEP",program_only,0.02573011100754829,FALSE,FALSE
Australia,timeliness_only,Timeliness,program_only,0.3177232811010653,TRUE,TRUE
Australia,cocooning_adjunct,"Adult/
contact",program_only,0.03769050163095555,FALSE,FALSE
Australia,maternal_immunization,"Infant
exposure",program_only,0.128848677757739,FALSE,FALSE
Brazil,adolescent_booster,Adolescent,program_only,0.7864797568884313,FALSE,FALSE
Brazil,higher_child_coverage,Coverage,program_only,-0.146928006875241,FALSE,FALSE
Brazil,pregnancy_tdap_scaleup,"Pregnancy
Tdap",program_only,0.12226734775475324,FALSE,FALSE
Brazil,targeted_pep_high_risk,"Targeted
PEP",program_only,0.09203693430372052,FALSE,FALSE
Brazil,timeliness_only,Timeliness,program_only,0.53593685157564,FALSE,FALSE
Brazil,cocooning_adjunct,"Adult/
contact",program_only,0.8476125605798376,FALSE,FALSE
Brazil,maternal_immunization,"Infant
exposure",program_only,0.8642367502088275,TRUE,TRUE
China,adolescent_booster,Adolescent,program_only,0.22685096053448472,FALSE,FALSE
China,higher_child_coverage,Coverage,program_only,-0.01265741615928339,FALSE,FALSE
China,pregnancy_tdap_scaleup,"Pregnancy
Tdap",program_only,0.14148876268743682,FALSE,FALSE
China,targeted_pep_high_risk,"Targeted
PEP",program_only,-0.00397449596440213,FALSE,FALSE
China,timeliness_only,Timeliness,program_only,0.33616833913422495,FALSE,FALSE
China,cocooning_adjunct,"Adult/
contact",program_only,0.4411803916745282,FALSE,FALSE
China,maternal_immunization,"Infant
exposure",program_only,0.521143969418975,TRUE,TRUE
Japan,adolescent_booster,Adolescent,program_only,0.03913101775062999,FALSE,FALSE
Japan,higher_child_coverage,Coverage,program_only,-0.00388552962338173,FALSE,FALSE
Japan,pregnancy_tdap_scaleup,"Pregnancy
Tdap",program_only,0.13260905230184028,FALSE,FALSE
Japan,targeted_pep_high_risk,"Targeted
PEP",program_only,0.02253458125753116,FALSE,FALSE
Japan,timeliness_only,Timeliness,program_only,0.26647980587342956,FALSE,FALSE
Japan,cocooning_adjunct,"Adult/
contact",program_only,0.2930168339355046,FALSE,FALSE
Japan,maternal_immunization,"Infant
exposure",program_only,0.3882894011068102,TRUE,TRUE
New_Zealand,adolescent_booster,Adolescent,program_only,-0.00280182766878089,FALSE,FALSE
New_Zealand,higher_child_coverage,Coverage,program_only,-0.0092420745743158,FALSE,FALSE
New_Zealand,pregnancy_tdap_scaleup,"Pregnancy
Tdap",program_only,0.0992113597206198,FALSE,FALSE
New_Zealand,targeted_pep_high_risk,"Targeted
PEP",program_only,0.0869737733296736,FALSE,FALSE
New_Zealand,timeliness_only,Timeliness,program_only,0.29777401107801815,TRUE,TRUE
New_Zealand,cocooning_adjunct,"Adult/
contact",program_only,0.0758124537554763,FALSE,FALSE
New_Zealand,maternal_immunization,"Infant
exposure",program_only,0.167359037419743,TRUE,FALSE
