country,minimum_lambda_for_resistance_guided_preferred,resistance_guided_infant_case_regret_per_100k,resistance_guided_standardized_infant_regret_vs_current,resistance_guided_resistant_infection_reduction
Australia,0.21,351.60551518645684,0.1469389502619948,0.5891512404592036
Brazil,0.97,5.713938248184942,0.2838808074727994,0.966961478835975
China,0.16,9.150102742780831,0.03017324021887872,0.587918047912519
Japan,0.16,29.237126535583286,0.06634934831213479,0.6089607961272568
New_Zealand,0.09,125.42454267094206,0.08806192422068111,0.9819865705247782
South_Africa,0.98,14.401037982409475,0.30431147287626,0.9951721948146114
Sweden,0.1,33.019596520280004,0.08857681339190902,0.9978662835408899
Thailand,0.98,5.26570360338987,0.3153905655952423,0.9206974265293391
United_Kingdom,0.09,107.72005551388202,0.08586608018322904,0.9978429720492297
United_States,,6.825313485511996,0.22313993298749293,0.0
