country,scenario,analysis_years,total_infections,total_reported_cases,total_infant_cases,annualized_infant_cases_per_100k,n_epidemic_peaks,resistant_fraction_end,annual_total_infections_count,annual_reported_cases_count,annual_infant_cases_count,event_scale_flag
Thailand,adolescent_booster,26.013698630136982,182096.2820345,2587.68751546002,599.0446323269948,4.611980165392658,8,0.0134680037681235,7000.015054512113,99.47403297976909,23.0280453711799,Low infant-event count; modeled infant cases are especially sensitive to stochastic variation.
South_Africa,adolescent_booster,26.013698630136982,304955.7030590471,4608.944307298715,1737.067336729135,6.210065841453401,9,0.048910964443752,11722.889059141886,177.17374114418445,66.77510035872926,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Brazil,adolescent_booster,26.013698630136982,602744.4015184576,9296.844078291417,2382.825926175536,4.297724438429465,9,0.0152703799113497,23170.26925268426,357.38263176159745,91.59889026372521,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Sweden,adolescent_booster,26.013698630136982,2458581.928783942,35587.59197143372,10274.649122547818,409.1103192720833,9,0.9961618368826908,94511.04834187878,1368.032761408458,394.9707140315908,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
New_Zealand,adolescent_booster,26.013698630136982,3334592.8026459543,51174.24065732563,21601.166890486656,1528.1061224815942,8,0.998170614592887,128186.0319079277,1967.2035639730234,830.3766103241318,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_States,adolescent_booster,26.013698630136982,7661498.971720794,121586.88214912543,30005.198206730354,31.587514854989596,9,0.0,294517.8646317104,4673.955975190183,1153.4383723492977,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Australia,adolescent_booster,26.013698630136982,23966520.518175703,397164.1130301326,186347.92515199457,2393.325937027416,8,0.9992918168586556,921303.8429841109,15267.498815797622,7163.45367882865,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
Japan,adolescent_booster,26.013698630136982,26399997.30658784,409534.25717562274,79542.58424136006,418.385549383122,9,0.9985820711076951,1014849.8174728345,15743.023050984973,3057.7191414530203,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
United_Kingdom,adolescent_booster,26.013698630136982,35175229.60361417,489997.75860602193,223760.5179796688,1263.6861990111145,8,0.99903504405634,1352181.0221505184,18836.143432458983,8601.641818070471,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
China,adolescent_booster,26.013698630136982,125333078.7346535,5112085.333179775,440662.3168994036,211.7533489163725,8,0.999856945976518,4817964.5853763595,196515.12865830626,16939.625662799615,"Aggregate event counts are not near extinction, but stochastic clustering remains unmodeled."
