optimization_constraint,country,strategy,strategy_label,non_dominated_with_implementation_score,non_dominated_without_implementation_score,relative_reduction_infant_cases,relative_reduction_resistant_infections,implementation_intensity
future_product_target,Australia,current,Current practice,True,False,0.0,0.0,0.0
future_product_target,Australia,adolescent_booster,Adolescent booster,False,False,-0.0001913668365556287,-0.0002197947417039714,1.0
future_product_target,Australia,higher_child_coverage,Nominal coverage floor,False,False,-0.002100278344316031,-0.000947312338023254,1.0
future_product_target,Australia,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,False,False,0.09429226997711526,0.0016937249041829583,1.0
future_product_target,Australia,targeted_pep_high_risk,Targeted high-risk PEP,False,False,0.025730111007548295,-0.021238137539363766,1.0
future_product_target,Australia,timeliness_only,Routine timeliness,True,False,0.3177232811010653,0.019967602378854865,1.0
future_product_target,Australia,cocooning_adjunct,Close-contact adult adjunct,False,False,0.03769050163095555,0.0036977193599094793,2.0
future_product_target,Australia,resistance_guided_treatment,Resistance-guided management,True,True,0.17078433083907052,0.5891512404592036,2.0
future_product_target,Australia,maternal_immunization,Infant-exposure reduction,False,False,0.128848677757739,0.005820946739232502,3.0
future_product_target,Australia,next_generation_vaccine,High-transmission-blocking vaccine target,True,False,0.5427188361291151,0.35582856830591003,4.0
future_product_target,Australia,transmission_blocking_vaccine,Transmission-blocking vaccine target,False,False,0.36422007459702943,0.19196629935179688,4.0
future_product_target,Australia,combined_strategy,Combined future stress-test profile,True,True,0.6001504118702372,0.49135981201232426,5.0
future_product_target,Brazil,current,Current practice,True,False,0.0,0.0,0.0
future_product_target,Brazil,adolescent_booster,Adolescent booster,True,False,0.7864797568884313,0.9331851407455823,1.0
future_product_target,Brazil,higher_child_coverage,Nominal coverage floor,False,False,-0.146928006875241,-0.3672426753234077,1.0
future_product_target,Brazil,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,False,False,0.12226734775475323,0.09642678894381584,1.0
future_product_target,Brazil,targeted_pep_high_risk,Targeted high-risk PEP,False,False,0.09203693430372051,-0.09733176424568657,1.0
future_product_target,Brazil,timeliness_only,Routine timeliness,False,False,0.53593685157564,0.6382053370098932,1.0
future_product_target,Brazil,cocooning_adjunct,Close-contact adult adjunct,True,False,0.8476125605798376,0.9549810989382327,2.0
future_product_target,Brazil,resistance_guided_treatment,Resistance-guided management,True,False,0.5803559427360281,0.966961478835975,2.0
future_product_target,Brazil,maternal_immunization,Infant-exposure reduction,True,False,0.8642367502088275,0.9565208326502349,3.0
future_product_target,Brazil,next_generation_vaccine,High-transmission-blocking vaccine target,True,False,0.9828007123536159,0.9961538761955754,4.0
future_product_target,Brazil,transmission_blocking_vaccine,Transmission-blocking vaccine target,False,False,0.9663773829293618,0.9921802515727207,4.0
future_product_target,Brazil,combined_strategy,Combined future stress-test profile,True,True,0.9851922504187288,0.9970226595056302,5.0
future_product_target,China,current,Current practice,True,False,0.0,0.0,0.0
future_product_target,China,adolescent_booster,Adolescent booster,True,False,0.22685096053448472,0.25067215866521286,1.0
future_product_target,China,higher_child_coverage,Nominal coverage floor,False,False,-0.012657416159283397,-0.009795394536213697,1.0
future_product_target,China,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,False,False,0.14148876268743682,0.014706908041641431,1.0
future_product_target,China,targeted_pep_high_risk,Targeted high-risk PEP,False,False,-0.003974495964402136,-0.003064110446906687,1.0
future_product_target,China,timeliness_only,Routine timeliness,True,False,0.33616833913422495,0.12428475597338229,1.0
future_product_target,China,cocooning_adjunct,Close-contact adult adjunct,False,False,0.44118039167452827,0.4270510483620231,2.0
future_product_target,China,resistance_guided_treatment,Resistance-guided management,True,False,0.492710727967386,0.6049267610876891,2.0
future_product_target,China,maternal_immunization,Infant-exposure reduction,True,False,0.521143969418975,0.436844668606154,3.0
future_product_target,China,next_generation_vaccine,High-transmission-blocking vaccine target,True,False,0.9942757272408295,0.9936876329367116,4.0
future_product_target,China,transmission_blocking_vaccine,Transmission-blocking vaccine target,False,False,0.9693248780977587,0.9663179698847447,4.0
future_product_target,China,combined_strategy,Combined future stress-test profile,True,True,0.9972858889415303,0.996762916904002,5.0
future_product_target,Japan,current,Current practice,True,False,0.0,0.0,0.0
future_product_target,Japan,adolescent_booster,Adolescent booster,True,False,0.03913101775062999,0.041149103478042015,1.0
future_product_target,Japan,higher_child_coverage,Nominal coverage floor,False,False,-0.003885529623381734,-0.0024596071702092104,1.0
future_product_target,Japan,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,False,False,0.13260905230184028,0.0025619755376131703,1.0
future_product_target,Japan,targeted_pep_high_risk,Targeted high-risk PEP,False,False,0.02253458125753116,0.014553825526739117,1.0
future_product_target,Japan,timeliness_only,Routine timeliness,True,False,0.26647980587342956,0.02773689014146896,1.0
future_product_target,Japan,cocooning_adjunct,Close-contact adult adjunct,False,False,0.2930168339355046,0.25243274015079376,2.0
future_product_target,Japan,resistance_guided_treatment,Resistance-guided management,True,False,0.317934960154975,0.6154858717453593,2.0
future_product_target,Japan,maternal_immunization,Infant-exposure reduction,True,False,0.3882894011068102,0.256294832366178,3.0
future_product_target,Japan,next_generation_vaccine,High-transmission-blocking vaccine target,True,False,0.8006990384326532,0.7681112984135706,4.0
future_product_target,Japan,transmission_blocking_vaccine,Transmission-blocking vaccine target,False,False,0.5745809959248798,0.5232202363128343,4.0
future_product_target,Japan,combined_strategy,Combined future stress-test profile,True,True,0.9936093678401647,0.9935489204235467,5.0
future_product_target,New_Zealand,current,Current practice,True,False,0.0,0.0,0.0
future_product_target,New_Zealand,adolescent_booster,Adolescent booster,False,False,-0.0028018276687808985,-0.0029716756120152787,1.0
future_product_target,New_Zealand,higher_child_coverage,Nominal coverage floor,False,False,-0.009242074574315806,-0.007101953940322092,1.0
future_product_target,New_Zealand,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,False,False,0.09921135972061979,0.0038697571953639764,1.0
future_product_target,New_Zealand,targeted_pep_high_risk,Targeted high-risk PEP,False,False,0.0869737733296736,0.019845559997635043,1.0
future_product_target,New_Zealand,timeliness_only,Routine timeliness,True,False,0.29777401107801815,0.035298478268100286,1.0
future_product_target,New_Zealand,cocooning_adjunct,Close-contact adult adjunct,False,False,0.0758124537554763,0.04205167946987587,2.0
future_product_target,New_Zealand,resistance_guided_treatment,Resistance-guided management,True,False,0.20741837781223682,0.9776215619579001,2.0
future_product_target,New_Zealand,maternal_immunization,Infant-exposure reduction,False,False,0.167359037419743,0.04565319462957218,3.0
future_product_target,New_Zealand,next_generation_vaccine,High-transmission-blocking vaccine target,True,False,0.6536785700292784,0.5709950270479827,4.0
future_product_target,New_Zealand,transmission_blocking_vaccine,Transmission-blocking vaccine target,False,False,0.48194967019461177,0.38666804462757565,4.0
future_product_target,New_Zealand,combined_strategy,Combined future stress-test profile,True,True,0.699914153078134,0.9811513846005834,5.0
