resistance_reduction_constraint,preferred_strategy,preferred_strategy_label,countries_preferred,median_infant_case_regret_per_100k,median_standardized_infant_regret_vs_current,median_resistant_infection_reduction
0.0,maternal_immunization,Infant-exposure reduction,5,0.0,0.0,0.429239708686999
0.0,timeliness_only,Routine timeliness,4,0.0,0.0,0.050331456577075995
0.0,adolescent_booster,Adolescent booster,1,0.0,0.0,0.9858242542061652
0.5,resistance_guided_treatment,Resistance-guided management,6,70.36982601708101,0.08696400220195508,0.7954736833260175
0.5,maternal_immunization,Infant-exposure reduction,2,0.0,0.0,0.9351156186401852
0.5,,,1,,,
0.5,adolescent_booster,Adolescent booster,1,0.0,0.0,0.9858242542061652
0.8,,,4,,,
0.8,resistance_guided_treatment,Resistance-guided management,3,107.72005551388202,0.08806192422068111,0.9978429720492297
0.8,maternal_immunization,Infant-exposure reduction,2,0.0,0.0,0.9351156186401852
0.8,adolescent_booster,Adolescent booster,1,0.0,0.0,0.9858242542061652
0.9,,,4,,,
0.9,resistance_guided_treatment,Resistance-guided management,3,107.72005551388202,0.08806192422068111,0.9978429720492297
0.9,maternal_immunization,Infant-exposure reduction,2,0.0,0.0,0.9351156186401852
0.9,adolescent_booster,Adolescent booster,1,0.0,0.0,0.9858242542061652
0.95,,,5,,,
0.95,resistance_guided_treatment,Resistance-guided management,3,107.72005551388202,0.08806192422068111,0.9978429720492297
0.95,adolescent_booster,Adolescent booster,1,0.0,0.0,0.9858242542061652
0.95,maternal_immunization,Infant-exposure reduction,1,0.0,0.0,0.9565208326502349
