optimization_constraint,strategy,mean_absolute_regret_infant_cases_per_100k,median_absolute_regret_infant_cases_per_100k,maximum_absolute_regret_infant_cases_per_100k,mean_relative_regret_vs_best,probability_best_in_draw,probability_within_10_percent_of_best,median_infant_cases_per_100k,n_decision_cells,strategy_label,sensitivity_source,constraint_label,regret_label
program_only,timeliness_only,10.108510420252092,0,245.84606395533888,0.25437497193597325,0.71015625,0.83515625,873.9019366471598,1280,Timeliness,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Program only,10.1
program_only,pregnancy_tdap_scaleup,288.4895637587112,191.6286528482188,2042.8020468326276,0.6725559034123906,0,0.009375,1074.2142862434102,1280,Pregnancy Tdap,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Program only,288.5
program_only,maternal_immunization,327.49566375075756,108.36600212419891,3287.3235622362954,0.19475276289472243,0.2859375,0.40859375,1012.6263740013276,1280,Infant exposure,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Program only,327.5
program_only,cocooning_adjunct,337.33956183916706,193.0629949883272,2758.381954275208,0.2556568697349254,0.003125,0.05703125,1074.722213495589,1280,Adult/contact,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Program only,337.3
program_plus_resistance,timeliness_only,11.467759287304098,0,245.84606395533888,0.2723177223506164,0.69140625,0.82578125,873.9019366471598,1280,Timeliness,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Program + resistance,11.5
program_plus_resistance,pregnancy_tdap_scaleup,289.84881262576323,198.80585434660907,2042.8020468326276,0.7005000621086535,0,0.009375,1074.2142862434102,1280,Pregnancy Tdap,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Program + resistance,289.8
program_plus_resistance,maternal_immunization,328.8549126178096,110.22382022260928,3287.3235622362954,0.2176098152222883,0.26796875,0.396875,1012.6263740013276,1280,Infant exposure,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Program + resistance,328.9
program_plus_resistance,cocooning_adjunct,338.6988107062191,197.97089469087263,2758.381954275208,0.27591257956085197,0.003125,0.053125,1074.722213495589,1280,Adult/contact,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Program + resistance,338.7
future_product_target,combined_strategy,43.53555957154235,0,1036.868355750942,0.35336290721765506,0.6921875,0.78671875,390.4830303312723,1280,Combined,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Future product target,43.5
future_product_target,next_generation_vaccine,103.79863567568502,1.358988208117661,946.6637132076456,4.772056432374662,0.303125,0.42578125,508.3242844882244,1280,High-blocking,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Future product target,103.8
future_product_target,transmission_blocking_vaccine,289.0636310607249,268.2874290931119,1674.4942505570511,19.837802537957955,0.003125,0.03203125,722.1657974166014,1280,Transmission block,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Future product target,289.1
future_product_target,timeliness_only,427.4833223816962,424.01201732098264,1871.48892532967,81.97547780772045,0.0015625,0.01328125,873.9019366471598,1280,Timeliness,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles.",Future product target,427.5
