country,current_infant_cases_per_100k,higher_child_coverage_infant_cases_per_100k,relative_reduction_infant_cases,largest_absolute_infection_increase_age_group,largest_absolute_infection_increase,relative_change_in_that_age_group
Australia,2574.2018120170496,2679.059335990655,-0.040733995090867836,child_1_4y,2993.938406258356,0.0020498284349061272
Brazil,21.13398138249369,24.9214241843302,-0.17921104089614803,young_adult_18_39y,155179.2303796513,0.15305240726669986
China,293.86889555855845,302.70251472217586,-0.03005972832486159,middle_adult_40_64y,453606.9717224166,0.0071034830224514555
Japan,450.1593594414433,458.6983077405583,-0.018968723231057805,middle_adult_40_64y,24490.768097681925,0.0025232574661998063
New_Zealand,1532.7927189784964,1581.9108196318898,-0.032044842101107696,young_adult_18_39y,4573.432357734186,0.0045963296638621845
South_Africa,47.7982105519944,24.541829934739216,0.48655337404225907,infant_0_2m,-2144.0532873401853,-0.45026806157321
Sweden,421.1931345850925,439.25746425695314,-0.042888471317690025,infant_3_11m,91.38635188857734,0.005096923509237125
Thailand,17.11492229294267,18.446305805348334,-0.0777908008939463,middle_adult_40_64y,19920.622435657948,0.08625468343283647
United_Kingdom,1272.159842158551,1325.0066007986832,-0.04154097377454069,young_adult_18_39y,137496.04099409468,0.012270247466412013
United_States,31.33515769763151,32.88350147137024,-0.04941234981739884,young_adult_18_39y,8311.44678127626,0.003243281727473404
