country,strategy,total_infections,reported_cases,total_infant_cases,resistant_infections,relative_reduction_infant_cases,relative_reduction_total_infections
Australia,current,23960486.8179463,397054.1461121917,186312.27119129302,22453720.736767646,0.0,0.0
Australia,higher_child_coverage,23969486.997291587,400506.6157468422,194248.5111964044,22464802.442288704,-0.04259644281273878,-0.0003756258966551851
Australia,adolescent_booster,23966520.518175706,397164.1130301326,186347.92515199457,22458655.949533246,-0.00019136667957275755,-0.000251818766256795
Australia,maternal_immunization,23675597.16346889,378358.647510892,170242.1221785386,22296022.628422786,0.08625384098428324,0.01188997772215672
Australia,maternal_direct_antibody_only,23921315.545643277,390398.8488749902,181233.99897601028,22410926.091818646,0.02725677800400339,0.001634827898141178
Australia,maternal_adult_boosting_only,23752319.157582942,389293.32811204984,183270.62135797698,22386250.99397736,0.016325547500803506,0.008687956214956438
Australia,maternal_cocooning_only,23928385.42784521,392693.71729517187,177934.9446066073,22415235.130876955,0.044963901363665015,0.001339763684477635
Australia,resistance_guided_treatment,22500651.171307642,355791.3119849919,154493.05469009173,9225083.318683416,0.1707843305099933,0.060926794089394165
Australia,next_generation_vaccine,15821823.615912717,218041.89209078322,85197.09222269928,14464045.440266322,0.5427188360812553,0.3396701938433805
Australia,combined_strategy,16819690.191540714,230224.86012445504,80243.901567266,3956132.368377014,0.5693042597023741,0.2980238540502925
China,current,167252430.5335337,6968485.049246491,569957.7900008839,167206617.13595766,0.0,0.0
China,higher_child_coverage,169414032.05246603,7091319.585124072,591163.528290496,169368342.4576846,-0.03720580481859748,-0.01292418598663625
China,adolescent_booster,125333078.7346535,5112085.333179775,440662.3168994036,125292573.44115733,0.22685096224630907,0.2506352324158032
China,maternal_immunization,94088007.57541245,3755399.2402858543,278730.03905918205,94046982.16115525,0.5109637170521877,0.43744908653780046
China,maternal_direct_antibody_only,165714985.42512712,6832176.581221951,517132.48462308507,165668810.07381153,0.09268283775490971,0.009192363324719066
China,maternal_adult_boosting_only,96534368.32346341,3909680.0903210095,329167.31465238484,96493658.92911986,0.4224707155035562,0.42282232900580474
China,maternal_cocooning_only,165002764.80763558,6844512.527314921,531592.7648309676,164956882.1959473,0.06731204633567112,0.013450720678448214
China,resistance_guided_treatment,88167875.60117109,3653708.9593621194,289133.47258298966,66058859.80976605,0.4927107276092475,0.47284547483156814
China,next_generation_vaccine,1058436.8531762247,41111.78144013978,3262.5938516333435,1055469.5427827109,0.9942757272400324,0.9936716204972339
China,combined_strategy,541572.3264523672,20907.405925589217,1534.516476044635,539655.2553966657,0.9973076664571209,0.9967619464498976
United_Kingdom,current,34942169.44548782,486413.80210265325,222136.10222457803,29651102.238838084,0.0,0.0
United_Kingdom,higher_child_coverage,35350285.20038387,496880.9067356144,231279.63884221058,30100290.274662793,-0.04116186664871124,-0.011679748606701068
United_Kingdom,adolescent_booster,35175229.60361417,489997.75860602193,223760.51797966877,30048901.77380057,-0.007312704863473574,-0.006669882317694498
United_Kingdom,maternal_immunization,31000822.624061532,406275.4880579796,171971.2244336777,25731085.900104538,0.22582946800868953,0.11279628265712172
United_Kingdom,maternal_direct_antibody_only,34711709.461589456,474328.15959766746,209825.95612762732,29354770.399729226,0.05541713379172042,0.006595468671683258
United_Kingdom,maternal_adult_boosting_only,31197677.72296691,420247.33350602933,191569.65739248684,26014468.600580625,0.1376023281492026,0.10716254262239133
United_Kingdom,maternal_cocooning_only,34780242.49477855,479260.23920051643,209399.81672148485,29459945.605260514,0.05733550456475056,0.004634141304874828
United_Kingdom,resistance_guided_treatment,29633755.75021542,402358.8082060701,173155.67320252286,63958.25630047493,0.22049738215239012,0.151919980342202
United_Kingdom,next_generation_vaccine,16464931.50766885,195407.74434588582,76400.90171464045,11599813.560387585,0.6560626528082334,0.5287948124298558
United_Kingdom,combined_strategy,11306692.46840297,130676.97684808313,45485.54197366408,7606.311624130192,0.7952357067664826,0.6764169870436297
Japan,current,27536156.217428874,432979.2156369871,82781.92523514136,27192103.53385842,0.0,0.0
Japan,higher_child_coverage,27628577.235638335,436428.6843026376,84440.79968965266,27284666.976065643,-0.020039090052560216,-0.0033563514631342883
Japan,adolescent_booster,26399997.30658784,409534.25717562274,79542.58424136006,26073172.8535199,0.039131017846951166,0.04126062119454077
Japan,maternal_immunization,20586367.978719678,304114.2600928965,51503.978587086196,20267630.35798753,0.37783545815358144,0.25238774009824805
Japan,maternal_direct_antibody_only,27518667.92986338,425353.2246593763,75148.09619124715,27171172.350510072,0.09221613319828426,0.0006351027146783705
Japan,maternal_adult_boosting_only,20696340.234614495,313174.1024737342,60339.57927713705,20381992.999666147,0.27110200559188513,0.2483939998308533
Japan,maternal_cocooning_only,27463589.832790755,428555.72826313315,77752.79266126345,27118246.912197925,0.060751577830458814,0.0026353127889429118
Japan,resistance_guided_treatment,19934391.76529996,309054.418839033,56462.65715264992,10455747.988622814,0.31793495992913645,0.2760648360687834
Japan,next_generation_vaccine,6518698.918172186,94532.03095125814,16498.51730429783,6305541.583361533,0.8006990383778351,0.7632676519300756
