country,scenario_key,scenario_label,relative_reduction_infant_cases,reduction_q025,reduction_q975,current_rate_q025,current_rate_q975,intervention_rate_q025,intervention_rate_q975
Australia,higher_child_coverage,Higher child coverage,-0.04259644281273878,-0.3304080046549758,0.18294677880460852,2110.311509947701,2692.8973247557346,2200.240433540125,2807.5753251499495
Australia,adolescent_booster,Adolescent booster,-1.9136667957275e-4,-0.2763097036912401,0.21618901801474555,2110.311509947701,2692.8973247557346,2110.722496502257,2693.4110579575636
Australia,maternal_immunization,Household/adult transmission proxy,0.08625384098428324,-0.16602560991049664,0.28395167707699553,2110.311509947701,2692.8973247557346,1928.2446131951892,2460.677265487909
Australia,resistance_guided_treatment,Resistance-guided treatment,0.1707843305099933,-0.05818808079140858,0.35021199703380257,2110.311509947701,2692.8973247557346,1749.8123748460446,2233.106486583577
Australia,next_generation_vaccine,Upper-bound vaccine,0.5427188360812553,0.4163177370492579,0.6417612186970254,2110.311509947701,2692.8973247557346,964.7002557945348,1231.7513976572716
Australia,combined_strategy,Combined strategy,0.5693042597023741,0.45022883272401826,0.6626031962659523,2110.311509947701,2692.8973247557346,908.5749501565526,1160.188422139887
China,higher_child_coverage,Higher child coverage,-0.03720580481859748,-0.3230810519228857,0.1869020159954573,241.58860844073277,308.1762433917668,250.57748221993884,319.64131018835087
China,adolescent_booster,Adolescent booster,0.22685096224630907,0.013730480163398062,0.3939219097165284,241.58860844073277,308.1762433917668,186.77886906561633,238.27148084483434
China,maternal_immunization,Household/adult transmission proxy,0.5109637170521877,0.3761233228775369,0.616665627848811,241.58860844073277,308.1762433917668,118.13454677249494,150.7214982646442
China,resistance_guided_treatment,Resistance-guided treatment,0.4927107276092475,0.352841372908401,0.6023560783696722,241.58860844073277,308.1762433917668,122.54440997560452,156.3461521594745
China,next_generation_vaccine,Upper-bound vaccine,0.9942757272400324,0.992604674292427,0.995577870642417,241.58860844073277,308.1762433917668,1.3627952132123748,1.7866264466585366
China,combined_strategy,Combined strategy,0.9973076664571208,0.996477374436566,0.9979511008521548,241.58860844073277,308.1762433917668,0.6314220424715241,0.8510262079277543
United_Kingdom,higher_child_coverage,Higher child coverage,-0.04116186664871124,-0.3284689788295976,0.1840074566658585,1106.4288012370496,1411.754920779095,1151.9814883710233,1469.856339727039
United_Kingdom,adolescent_booster,Adolescent booster,-0.00731270486347357,-0.2852869867389083,0.21054168547978247,1106.4288012370496,1411.754920779095,1114.5216602738876,1422.07853998311
United_Kingdom,maternal_immunization,Household/adult transmission proxy,0.22582946800868953,0.012132813915352036,0.393305038369942,1106.4288012370496,1411.754920779095,856.5045974931186,1093.0047064810544
United_Kingdom,resistance_guided_treatment,Resistance-guided treatment,0.22049738215239012,0.005333946200351769,0.38912468669260303,1106.4288012370496,1411.754920779095,862.406229544189,1100.5271695367314
United_Kingdom,next_generation_vaccine,Upper-bound vaccine,0.6560626528082334,0.5609830791653108,0.7305653673488745,1106.4288012370496,1411.754920779095,380.37566847353435,485.7409654419059
