country,optimization_constraint,preferred_strategy_primary_infant_cases,preferred_strategy_label,preferred_infant_cases_per_100k,preferred_infant_case_reduction,preferred_resistant_infection_reduction,secondary_resistance_preferred_strategy,secondary_resistance_preferred_label,non_dominated_strategy_labels,non_dominated_strategy_count
Australia,future_product_target,combined_strategy,Combined future stress-test profile,956.7872928232068,0.6001504118702372,0.49135981201232426,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
Australia,program_only,timeliness_only,Routine timeliness,1632.5981424289007,0.3177232811010653,0.019967602378854865,timeliness_only,Routine timeliness,Current practice; Routine timeliness,2
Australia,program_plus_resistance,timeliness_only,Routine timeliness,1632.5981424289007,0.3177232811010653,0.019967602378854865,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management,3
Brazil,future_product_target,combined_strategy,Combined future stress-test profile,0.2980496196808825,0.9851922504187288,0.9970226595056302,combined_strategy,Combined future stress-test profile,Current practice; Adolescent booster; Close-contact adult adjunct; Resistance-guided management; Infant-exposure reduction; High-transmission-blocking vaccine target; Combined future stress-test profile,7
Brazil,program_only,maternal_immunization,Infant-exposure reduction,2.7326356881452667,0.8642367502088275,0.9565208326502349,maternal_immunization,Infant-exposure reduction,Current practice; Adolescent booster; Close-contact adult adjunct; Infant-exposure reduction,4
Brazil,program_plus_resistance,maternal_immunization,Infant-exposure reduction,2.7326356881452667,0.8642367502088275,0.9565208326502349,resistance_guided_treatment,Resistance-guided management,Current practice; Adolescent booster; Close-contact adult adjunct; Resistance-guided management; Infant-exposure reduction,5
China,future_product_target,combined_strategy,Combined future stress-test profile,0.7773848794920473,0.9974365073955105,0.9969225316067366,combined_strategy,Combined future stress-test profile,Current practice; Adolescent booster; Routine timeliness; Resistance-guided management; Infant-exposure reduction; High-transmission-blocking vaccine target; Combined future stress-test profile,7
China,program_only,maternal_immunization,Infant-exposure reduction,146.61473831879667,0.5165254595188694,0.429239708686999,maternal_immunization,Infant-exposure reduction,Current practice; Adolescent booster; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,5
China,program_plus_resistance,maternal_immunization,Infant-exposure reduction,146.61473831879667,0.5165254595188694,0.429239708686999,resistance_guided_treatment,Resistance-guided management,Current practice; Adolescent booster; Routine timeliness; Resistance-guided management; Infant-exposure reduction,5
Japan,future_product_target,combined_strategy,Combined future stress-test profile,3.0352099448423107,0.9931120385039993,0.9931335292034416,combined_strategy,Combined future stress-test profile,Current practice; Adolescent booster; Routine timeliness; Resistance-guided management; Infant-exposure reduction; High-transmission-blocking vaccine target; Combined future stress-test profile,7
Japan,program_only,maternal_immunization,Infant-exposure reduction,272.65285433253445,0.381254543657357,0.24794634117265268,maternal_immunization,Infant-exposure reduction,Current practice; Adolescent booster; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,5
Japan,program_plus_resistance,maternal_immunization,Infant-exposure reduction,272.65285433253445,0.381254543657357,0.24794634117265268,resistance_guided_treatment,Resistance-guided management,Current practice; Adolescent booster; Routine timeliness; Resistance-guided management; Infant-exposure reduction,5
New_Zealand,future_product_target,combined_strategy,Combined future stress-test profile,405.4001622188309,0.7153641735172342,0.9894413253025702,combined_strategy,Combined future stress-test profile,Current practice; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
New_Zealand,program_only,timeliness_only,Routine timeliness,993.926041925975,0.3021538056177844,0.04368099502203293,maternal_immunization,Infant-exposure reduction,Current practice; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,4
New_Zealand,program_plus_resistance,timeliness_only,Routine timeliness,993.926041925975,0.3021538056177844,0.04368099502203293,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management,3
South_Africa,future_product_target,combined_strategy,Combined future stress-test profile,0.2470587573372065,0.99477934754258,0.9997278034887557,combined_strategy,Combined future stress-test profile,Current practice; Adolescent booster; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
South_Africa,program_only,adolescent_booster,Adolescent booster,6.210065841453401,0.8687737449773014,0.9858242542061652,adolescent_booster,Adolescent booster,Current practice; Adolescent booster,2
South_Africa,program_plus_resistance,adolescent_booster,Adolescent booster,6.210065841453401,0.8687737449773014,0.9858242542061652,resistance_guided_treatment,Resistance-guided management,Current practice; Adolescent booster; Resistance-guided management,3
Sweden,future_product_target,next_generation_vaccine,High-transmission-blocking vaccine target,0.6583004150786032,0.9982340743326037,0.9999725127162254,next_generation_vaccine,High-transmission-blocking vaccine target,Current practice; Routine timeliness; Resistance-guided management; Infant-exposure reduction; High-transmission-blocking vaccine target,5
Sweden,program_only,timeliness_only,Routine timeliness,240.1857707590538,0.35568897146123757,0.14757524187615678,maternal_immunization,Infant-exposure reduction,Current practice; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,4
Sweden,program_plus_resistance,timeliness_only,Routine timeliness,240.1857707590538,0.35568897146123757,0.14757524187615678,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management; Infant-exposure reduction,4
Thailand,future_product_target,combined_strategy,Combined future stress-test profile,0.3952633008052373,0.9763256108984651,0.9913182242692997,combined_strategy,Combined future stress-test profile,Current practice; Adolescent booster; Close-contact adult adjunct; Resistance-guided management; Infant-exposure reduction; High-transmission-blocking vaccine target; Combined future stress-test profile,7
Thailand,program_only,maternal_immunization,Infant-exposure reduction,2.712151138325668,0.8375550646364438,0.9137104046301354,maternal_immunization,Infant-exposure reduction,Current practice; Adolescent booster; Close-contact adult adjunct; Infant-exposure reduction,4
Thailand,program_plus_resistance,maternal_immunization,Infant-exposure reduction,2.712151138325668,0.8375550646364438,0.9137104046301354,resistance_guided_treatment,Resistance-guided management,Current practice; Adolescent booster; Close-contact adult adjunct; Resistance-guided management; Infant-exposure reduction,5
United_Kingdom,future_product_target,combined_strategy,Combined future stress-test profile,228.37447248420105,0.8179575690656423,0.9996737364632704,combined_strategy,Combined future stress-test profile,Current practice; Routine timeliness; Resistance-guided management; Infant-exposure reduction; High-transmission-blocking vaccine target; Combined future stress-test profile,6
United_Kingdom,program_only,timeliness_only,Routine timeliness,870.1755821871479,0.3063634626149949,0.05698191813211906,maternal_immunization,Infant-exposure reduction,Current practice; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,4
United_Kingdom,program_plus_resistance,timeliness_only,Routine timeliness,870.1755821871479,0.3063634626149949,0.05698191813211906,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management; Infant-exposure reduction,4
United_States,future_product_target,next_generation_vaccine,High-transmission-blocking vaccine target,0.2566967839930802,0.9916078135751702,0.0,current,Current practice,Current practice; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction; High-transmission-blocking vaccine target,5
United_States,program_only,maternal_immunization,Infant-exposure reduction,8.05231759443663,0.7367456290131391,0.0,current,Current practice,Current practice; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,4
United_States,program_plus_resistance,maternal_immunization,Infant-exposure reduction,8.05231759443663,0.7367456290131391,0.0,current,Current practice,Current practice; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,4
