country,fitness_R,calendar_year,model_resistant_fraction,init_year,init_resistance,observed_fraction,observed_lower,observed_upper
China,0.85,2016,0.16618369585141154,2016,0.364,,,
China,0.85,2017,0.039925062115731304,2016,0.364,,,
China,0.85,2018,0.011759161296212102,2016,0.364,,,
China,0.85,2019,0.007114903628001161,2016,0.364,,,
China,0.85,2020,0.0062436276331989,2016,0.364,,,
China,0.85,2021,0.005932164426799387,2016,0.364,,,
China,0.85,2022,0.005794934565129399,2016,0.364,0.972,0.94,0.99
China,0.85,2023,0.005613615220900999,2016,0.364,,,
China,0.85,2024,0.005390483998496858,2016,0.364,0.997,0.986,1.0
China,0.9,2016,0.22285126618701265,2016,0.364,,,
China,0.9,2017,0.10488483713755221,2016,0.364,,,
China,0.9,2018,0.04437233929691817,2016,0.364,,,
China,0.9,2019,0.022281848897648015,2016,0.364,,,
China,0.9,2020,0.01463911491474116,2016,0.364,,,
China,0.9,2021,0.01182885511405363,2016,0.364,,,
China,0.9,2022,0.010774073219441245,2016,0.364,0.972,0.94,0.99
China,0.9,2023,0.010197962109199791,2016,0.364,,,
China,0.9,2024,0.009730219249980611,2016,0.364,0.997,0.986,1.0
China,0.95,2016,0.2972901127370094,2016,0.364,,,
China,0.95,2017,0.2613424942242561,2016,0.364,,,
China,0.95,2018,0.20573344841204252,2016,0.364,,,
China,0.95,2019,0.1594770837611347,2016,0.364,,,
China,0.95,2020,0.12351963084153983,2016,0.364,,,
China,0.95,2021,0.09599868090582138,2016,0.364,,,
China,0.95,2022,0.0761918213826469,2016,0.364,0.972,0.94,0.99
China,0.95,2023,0.0629122272409555,2016,0.364,,,
China,0.95,2024,0.053245239187928325,2016,0.364,0.997,0.986,1.0
China,1.0,2016,0.36993128301808426,2016,0.364,,,
China,1.0,2017,0.46847698863972226,2016,0.364,,,
China,1.0,2018,0.534412753408506,2016,0.364,,,
China,1.0,2019,0.5982615392352086,2016,0.364,,,
China,1.0,2020,0.6574573308437065,2016,0.364,,,
China,1.0,2021,0.7119169554260025,2016,0.364,,,
China,1.0,2022,0.7589703848271633,2016,0.364,0.972,0.94,0.99
China,1.0,2023,0.7978701910741437,2016,0.364,,,
China,1.0,2024,0.8342237882069075,2016,0.364,0.997,0.986,1.0
China,1.05,2016,0.5054402790189839,2016,0.364,,,
China,1.05,2017,0.8055541362289715,2016,0.364,,,
China,1.05,2018,0.9295653122515848,2016,0.364,,,
China,1.05,2019,0.9744636395254775,2016,0.364,,,
China,1.05,2020,0.9901090254685037,2016,0.364,,,
China,1.05,2021,0.9960218563451129,2016,0.364,,,
China,1.05,2022,0.9983510023781733,2016,0.364,0.972,0.94,0.99
China,1.05,2023,0.9992952507763283,2016,0.364,,,
China,1.05,2024,0.9997329483531617,2016,0.364,0.997,0.986,1.0
China,1.1,2016,0.6519021000941223,2016,0.364,,,
China,1.1,2017,0.9514427157505145,2016,0.364,,,
China,1.1,2018,0.9917958957936461,2016,0.364,,,
China,1.1,2019,0.9981932841510334,2016,0.364,,,
China,1.1,2020,0.999468450649725,2016,0.364,,,
China,1.1,2021,0.9998177327478265,2016,0.364,,,
China,1.1,2022,0.9999372765147992,2016,0.364,0.972,0.94,0.99
China,1.1,2023,0.9999806934597505,2016,0.364,,,
China,1.1,2024,0.9999953448140625,2016,0.364,0.997,0.986,1.0
Japan,0.85,2024,0.6331409107243702,2024,0.875,,,
Japan,0.85,2025,0.24559011507236672,2024,0.875,0.827,0.697,0.918
Japan,0.9,2024,0.7173524937960144,2024,0.875,,,
Japan,0.9,2025,0.5021982584400424,2024,0.875,0.827,0.697,0.918
Japan,0.95,2024,0.763628267255849,2024,0.875,,,
Japan,0.95,2025,0.7231888926395968,2024,0.875,0.827,0.697,0.918
Japan,1.0,2024,0.7959745759383221,2024,0.875,,,
Japan,1.0,2025,0.8533906237954766,2024,0.875,0.827,0.697,0.918
Japan,1.05,2024,0.8192943149089487,2024,0.875,,,
Japan,1.05,2025,0.9064225596265045,2024,0.875,0.827,0.697,0.918
Japan,1.1,2024,0.841714570692639,2024,0.875,,,
Japan,1.1,2025,0.9454786641493181,2024,0.875,0.827,0.697,0.918
Australia,0.85,2024,0.029029339205241696,2024,0.043,0.043,0.019,0.082
Australia,0.85,2025,0.02773545764638152,2024,0.043,,,
Australia,0.85,2026,0.021462122007780745,2024,0.043,,,
Australia,0.9,2024,0.04468318438102237,2024,0.043,0.043,0.019,0.082
Australia,0.9,2025,0.09564976413971654,2024,0.043,,,
Australia,0.9,2026,0.1549166455387757,2024,0.043,,,
Australia,0.95,2024,0.06711758223512293,2024,0.043,0.043,0.019,0.082
Australia,0.95,2025,0.26732808679281445,2024,0.043,,,
Australia,0.95,2026,0.6040425075113411,2024,0.043,,,
Australia,1.0,2024,0.09083712879746106,2024,0.043,0.043,0.019,0.082
Australia,1.0,2025,0.4940072085172898,2024,0.043,,,
Australia,1.0,2026,0.9035526972505303,2024,0.043,,,
Australia,1.05,2024,0.11425138491238801,2024,0.043,0.043,0.019,0.082
Australia,1.05,2025,0.6654418224645207,2024,0.043,,,
Australia,1.05,2026,0.9748615286308617,2024,0.043,,,
Australia,1.1,2024,0.1572224681817741,2024,0.043,0.043,0.019,0.082
Australia,1.1,2025,0.8079797661609015,2024,0.043,,,
Australia,1.1,2026,0.9933659041261695,2024,0.043,,,
