country,log_beta_S,beta_S,log_posterior,posterior_weight,grid_half_width
South_Africa,-4.705310120811941,0.009047108086299934,-4229.285847477154,0.0,0.04
South_Africa,-4.703310120811941,0.00906522040875755,-3879.4027553634364,0.0,0.04
South_Africa,-4.701310120811941,0.009083368992108886,-3507.6013948325385,0.0,0.04
South_Africa,-4.6993101208119405,0.00910155390894831,-3143.2009943883236,0.0,0.04
South_Africa,-4.697310120811941,0.009119775232015499,-2779.1070848355707,0.0,0.04
South_Africa,-4.695310120811941,0.009138033034195775,-2431.6179364910736,0.0,0.04
South_Africa,-4.69331012081194,0.00915632738852038,-2093.089469510431,0.0,0.04
South_Africa,-4.6913101208119405,0.009174658368166739,-1806.9633265505918,0.0,0.04
South_Africa,-4.689310120811941,0.009193026046458802,-1538.2200599258135,0.0,0.04
South_Africa,-4.687310120811941,0.00921143049686731,-1307.5787202797455,0.0,0.04
South_Africa,-4.685310120811941,0.009229871793010087,-1116.9212276566552,3.1765687099797395e-289,0.04
South_Africa,-4.6833101208119405,0.00924835000865235,-958.2639197996785,2.546546258241275e-220,0.04
South_Africa,-4.681310120811941,0.009266865217706973,-830.2304169687778,1.0237533780184235e-164,0.04
South_Africa,-4.679310120811941,0.00928541749423482,-724.1939223591595,1.151489115434384e-118,0.04
South_Africa,-4.67731012081194,0.009304006912445035,-647.4764075773488,2.394711347729653e-85,0.04
South_Africa,-4.6753101208119405,0.009322633546695295,-583.2197869210494,1.9299628483983012e-57,0.04
South_Africa,-4.673310120811941,0.009341297471492172,-536.3691528966992,4.290627178316501e-37,0.04
South_Africa,-4.671310120811941,0.00935999876149139,-502.35805793415716,2.531346780206801e-22,0.04
South_Africa,-4.669310120811941,0.009378737491498135,-478.90090741824247,3.896392290423624e-12,0.04
South_Africa,-4.6673101208119405,0.009397513736467359,-462.57162424590734,4.8126053613829e-05,0.04
South_Africa,-4.665310120811941,0.009416327571504051,-454.21886400591444,0.20414461640843948,0.04
South_Africa,-4.663310120811941,0.009435179071863583,-453.04179607142873,0.6624178705133547,0.04
South_Africa,-4.66131012081194,0.009454068312951992,-454.6497128393126,0.13268525412275609,0.04
South_Africa,-4.6593101208119405,0.009472995370326249,-459.8885427077903,0.000704089320457393,0.04
South_Africa,-4.657310120811941,0.009491960319694619,-469.5786897428484,4.3576301878247315e-08,0.04
South_Africa,-4.655310120811941,0.009510963236916923,-480.1026022286777,1.1715835096880374e-12,0.04
South_Africa,-4.653310120811941,0.009530004198004855,-492.8696326727053,3.342892247938534e-18,0.04
South_Africa,-4.6513101208119405,0.009549083279122296,-505.83215096074116,7.844625477003516e-24,0.04
South_Africa,-4.649310120811941,0.009568200556585577,-517.4699425427777,6.923784599935564e-29,0.04
South_Africa,-4.647310120811941,0.00958735610686384,-526.0019657579472,1.36437246652974e-32,0.04
South_Africa,-4.64531012081194,0.009606550006579324,-533.367244869031,8.634414055186268e-36,0.04
South_Africa,-4.6433101208119405,0.009625782332507634,-538.9298905340853,3.314412467116216e-38,0.04
South_Africa,-4.641310120811941,0.00964505316157811,-542.4198325763346,1.0109833024422997e-39,0.04
South_Africa,-4.639310120811941,0.009664362570874089,-542.1566443818095,1.315361612793199e-39,0.04
South_Africa,-4.637310120811941,0.00968371063763324,-540.0958927636959,1.0328047334502059e-38,0.04
South_Africa,-4.6353101208119405,0.00970309743924786,-535.9408044017985,6.5849149050425995e-37,0.04
South_Africa,-4.633310120811941,0.009722523053265167,-532.1981554560388,2.7794697506637075e-35,0.04
South_Africa,-4.631310120811941,0.00974198755738765,-524.8681080856253,4.2399533370471575e-32,0.04
South_Africa,-4.62931012081194,0.00976149102947336,-518.7035021053945,2.0165799148479194e-29,0.04
South_Africa,-4.6273101208119405,0.009781033547536195,-509.9942545562974,1.2217816253730634e-25,0.04
South_Africa,-4.625310120811941,0.009800615189746262,-501.6216874391095,5.2863180373334505e-22,0.04
