country,log_beta_S,beta_S,log_posterior,posterior_weight,grid_half_width
Japan,-4.511453822304732,0.010982481986623785,-13823.516227947604,0.0,0.08
Japan,-4.507453822304733,0.011026499891689882,-12266.093809050275,0.0,0.08
Japan,-4.503453822304732,0.01107069422098949,-10997.198406082167,0.0,0.08
Japan,-4.499453822304732,0.011115065681632808,-9576.864745687382,0.0,0.08
Japan,-4.495453822304732,0.011159614983564143,-8480.230150355857,0.0,0.08
Japan,-4.491453822304733,0.011204342839573287,-7508.495798204714,0.0,0.08
Japan,-4.487453822304732,0.011249249965306901,-6510.285315110767,0.0,0.08
Japan,-4.483453822304732,0.011294337079279944,-5684.050478800486,0.0,0.08
Japan,-4.479453822304732,0.01133960490288719,-5049.82523577087,0.0,0.08
Japan,-4.475453822304733,0.011385054160414796,-4388.238853658321,0.0,0.08
Japan,-4.471453822304732,0.01143068557905186,-3813.3873282169147,0.0,0.08
Japan,-4.467453822304732,0.011476499888902042,-3387.8427331244716,0.0,0.08
Japan,-4.463453822304732,0.011522497822995269,-3024.2606846909666,0.0,0.08
Japan,-4.459453822304733,0.011568680117299477,-2741.229208162412,1.2528211442205301e-215,0.08
Japan,-4.455453822304732,0.011615047510732371,-2514.5677886852695,3.433150275767724e-117,0.08
Japan,-4.451453822304732,0.011661600745173225,-2375.7865892746295,6.420988760652183e-57,0.08
Japan,-4.447453822304732,0.011708340565474772,-2285.427294381502,1.1223933127216118e-17,0.08
Japan,-4.443453822304733,0.011755267719475144,-2250.4707268971633,0.01704470288443813,0.08
Japan,-4.439453822304732,0.01180238295800982,-2246.4160027282196,0.9829552971156864,0.08
Japan,-4.435453822304732,0.011849687034923605,-2285.4615333543475,1.0846141687659036e-17,0.08
Japan,-4.431453822304732,0.011897180707082733,-2337.4413724665324,2.888803335476938e-40,0.08
Japan,-4.427453822304733,0.011944864734386981,-2404.806036804089,1.6018283648729414e-69,0.08
Japan,-4.423453822304732,0.011992739879781814,-2488.3720596607463,8.172470819167835e-106,0.08
Japan,-4.419453822304732,0.012040806909270568,-2565.384176445175,2.926954824042268e-139,0.08
Japan,-4.415453822304732,0.012089066591926732,-2646.621957875787,1.5321307253666007e-174,0.08
Japan,-4.411453822304733,0.012137519699906266,-2758.1343872977704,5.7024706726882104e-223,0.08
Japan,-4.407453822304732,0.012186167008459942,-2866.452231259839,5.178704564531078e-270,0.08
Japan,-4.403453822304732,0.012235009295945726,-2965.77939780204,3.77555502156e-313,0.08
Japan,-4.399453822304732,0.012284047343841248,-3113.363737276421,0.0,0.08
Japan,-4.395453822304733,0.012333281936756332,-3247.0175324983625,0.0,0.08
Japan,-4.391453822304732,0.012382713862445525,-3414.0059180092053,0.0,0.08
Japan,-4.387453822304732,0.012432343911820682,-3585.520813268686,0.0,0.08
Japan,-4.383453822304732,0.01248217287896364,-3792.904748927762,0.0,0.08
Japan,-4.379453822304733,0.012532201561138948,-3987.163129854791,0.0,0.08
Japan,-4.375453822304732,0.012582430758806598,-4224.464319139598,0.0,0.08
Japan,-4.371453822304732,0.012632861275634816,-4461.835826510047,0.0,0.08
Japan,-4.367453822304732,0.012683493918512933,-4720.230611521431,0.0,0.08
Japan,-4.3634538223047326,0.012734329497564327,-4950.644165034861,0.0,0.08
Japan,-4.359453822304732,0.012785368826159361,-5224.962174746704,0.0,0.08
Japan,-4.355453822304732,0.012836612720928368,-5477.081390568443,0.0,0.08
Japan,-4.351453822304732,0.012888062001774746,-5730.065815807113,0.0,0.08
