country,log_beta_S,beta_S,log_posterior,posterior_weight,grid_half_width
Thailand,-4.766671994233272,0.008508649928914595,-3660.2794349743413,0.0,0.08
Thailand,-4.762671994233273,0.008542752688679444,-3569.548620551974,0.0,0.08
Thailand,-4.758671994233272,0.008576992132669567,-3475.5973521272936,0.0,0.08
Thailand,-4.754671994233272,0.008611368808716787,-3379.376128180177,0.0,0.08
Thailand,-4.750671994233272,0.008645883266848649,-3279.1476770656295,0.0,0.08
Thailand,-4.746671994233273,0.008680536059297226,-3174.860857047613,0.0,0.08
Thailand,-4.742671994233272,0.008715327740507943,-3064.655998518383,0.0,0.08
Thailand,-4.738671994233272,0.008750258867148437,-2946.5556978995423,0.0,0.08
Thailand,-4.734671994233272,0.00878532999811747,-2824.1046769477352,0.0,0.08
Thailand,-4.730671994233273,0.008820541694553893,-2692.7757142027817,0.0,0.08
Thailand,-4.726671994233272,0.008855894519845607,-2559.5568416133124,0.0,0.08
Thailand,-4.722671994233272,0.008891389039638566,-2418.0004435377355,0.0,0.08
Thailand,-4.718671994233272,0.008927025821845834,-2261.5730036666646,0.0,0.08
Thailand,-4.714671994233273,0.008962805436656694,-2102.6475785652433,0.0,0.08
Thailand,-4.710671994233272,0.008998728456545757,-1933.8337686107343,0.0,0.08
Thailand,-4.706671994233272,0.009034795456282097,-1758.7835201371588,3.539636139999539e-254,0.08
Thailand,-4.702671994233272,0.00907100701293847,-1580.87617610188,6.503339481083107e-177,0.08
Thailand,-4.698671994233273,0.009107363705900567,-1412.23202988571,1.1333356033409401e-103,0.08
Thailand,-4.694671994233272,0.009143866116876257,-1269.5658405021063,1.0315667508791747e-41,0.08
Thailand,-4.690671994233272,0.009180514829904885,-1181.5464771157044,0.0017370853395896626,0.08
Thailand,-4.686671994233272,0.009217310431366636,-1175.192669049045,0.9982629146604816,0.08
Thailand,-4.682671994233273,0.009254253509991924,-1252.934831048949,1.7228718282577483e-34,0.08
Thailand,-4.678671994233272,0.009291344656870804,-1393.344137485999,1.808281237628231e-95,0.08
Thailand,-4.674671994233272,0.009328584465462409,-1560.0553429988063,7.169838123340003e-168,0.08
Thailand,-4.670671994233272,0.009365973531604465,-1734.5793787648756,1.1499624456675934e-243,0.08
Thailand,-4.666671994233273,0.009403512453522831,-1901.6521959712586,3.1760042e-316,0.08
Thailand,-4.662671994233272,0.009441201831841073,-2060.3244177497286,0.0,0.08
Thailand,-4.658671994233272,0.009479042269590036,-2205.453154199145,0.0,0.08
Thailand,-4.654671994233272,0.009517034372217523,-2348.386116656018,0.0,0.08
Thailand,-4.650671994233273,0.009555178747597997,-2492.367574349844,0.0,0.08
Thailand,-4.646671994233272,0.009593476006042285,-2622.273519000663,0.0,0.08
Thailand,-4.642671994233272,0.009631926760307328,-2753.7715938280894,0.0,0.08
Thailand,-4.638671994233272,0.009670531625606011,-2877.9579483805514,0.0,0.08
Thailand,-4.634671994233273,0.009709291219617009,-2979.9843139609416,0.0,0.08
Thailand,-4.630671994233272,0.009748206162494659,-3070.9688877108724,0.0,0.08
Thailand,-4.626671994233272,0.009787277076878872,-3155.629734916109,0.0,0.08
Thailand,-4.622671994233272,0.009826504587905101,-3213.161278811676,0.0,0.08
Thailand,-4.618671994233273,0.00986588932321437,-3260.447287429531,0.0,0.08
Thailand,-4.614671994233272,0.009905431912963291,-3286.4958748664453,0.0,0.08
Thailand,-4.610671994233272,0.009945132989834135,-3307.1196608060272,0.0,0.08
Thailand,-4.606671994233272,0.00998499318904497,-3326.9579960798105,0.0,0.08
