country,log_beta_S,beta_S,log_posterior,posterior_weight,grid_half_width
China,-4.713829465243663,0.00897036004210547,-6623.278449589728,0.0,0.08
China,-4.709829465243663,0.009006313340933825,-6011.281075221443,0.0,0.08
China,-4.705829465243663,0.00904241074096778,-5841.250794985101,0.0,0.08
China,-4.701829465243662,0.009078652819766492,-5876.620476276322,0.0,0.08
China,-4.697829465243663,0.009115040157203992,-6093.870383545136,0.0,0.08
China,-4.693829465243663,0.009151573335478462,-6382.152938801758,0.0,0.08
China,-4.689829465243663,0.00918825293912154,-6655.92329747742,0.0,0.08
China,-4.685829465243662,0.009225079555007662,-6896.059058085936,0.0,0.08
China,-4.681829465243663,0.009262053772363457,-7058.549078434845,0.0,0.08
China,-4.677829465243663,0.0092991761827772,-7157.040763403929,0.0,0.08
China,-4.673829465243663,0.009336447380208258,-7132.36270477606,0.0,0.08
China,-4.669829465243662,0.009373867960996578,-7030.103352684377,0.0,0.08
China,-4.665829465243663,0.009411438523872242,-6949.296251041555,0.0,0.08
China,-4.661829465243663,0.009449159669965063,-6723.960451131425,0.0,0.08
China,-4.657829465243663,0.009487032002814196,-6473.478135936501,0.0,0.08
China,-4.653829465243662,0.009525056128377764,-6315.13255288664,0.0,0.08
China,-4.649829465243663,0.009563232655042577,-6023.822842700075,0.0,0.08
China,-4.645829465243663,0.00960156219363389,-5763.251121073928,0.0,0.08
China,-4.641829465243663,0.00964004535742514,-5549.39225623278,0.0,0.08
China,-4.637829465243662,0.009678682762147764,-5327.57304326949,0.0,0.08
China,-4.633829465243663,0.009717475026001053,-5158.471019263161,0.0,0.08
China,-4.629829465243663,0.009756422769662064,-4929.714059311217,2.6810325660864826e-292,0.08
China,-4.625829465243663,0.009795526616295534,-4793.786362663058,2.8903516348550924e-233,0.08
China,-4.621829465243662,0.009834787191563839,-4654.848992641297,6.3195159169217364e-173,0.08
China,-4.617829465243663,0.009874205123637007,-4546.192655102596,9.761838736183985e-126,0.08
China,-4.613829465243663,0.009913781043202804,-4411.565246681873,2.8672939541151276e-67,0.08
China,-4.609829465243663,0.009953515583476794,-4363.119829187577,3.1408681835417044e-46,0.08
China,-4.605829465243662,0.009993409380212462,-4304.128421685016,1.3082551960164976e-20,0.08
China,-4.601829465243663,0.010033463071711398,-4258.810583380902,0.6280288225580664,0.08
China,-4.597829465243663,0.010073677298833529,-4259.3343886033845,0.37195796059202024,0.08
China,-4.593829465243663,0.010114052705007355,-4269.57943217015,1.3216850267665027e-05,0.08
China,-4.589829465243662,0.010154589936240226,-4300.999306338816,2.9898541029124087e-19,0.08
China,-4.585829465243663,0.010195289641128702,-4331.876308186007,1.1639611272644554e-32,0.08
China,-4.581829465243663,0.010236152470868934,-4388.981317589749,1.8430961985447778e-57,0.08
China,-4.577829465243663,0.01027717907926708,-4457.394729109948,3.5808068197374313e-87,0.08
China,-4.573829465243662,0.010318370122749741,-4542.173757408387,5.431461692368355e-124,0.08
China,-4.569829465243663,0.010359726260374484,-4632.516574422838,3.1588558786504765e-163,0.08
China,-4.565829465243663,0.010401248153840399,-4738.096997743916,4.431334831196053e-209,0.08
China,-4.561829465243663,0.010442936467498679,-4846.613405504109,3.299571018058206e-256,0.08
China,-4.557829465243662,0.01048479186836322,-4959.5241388346385,3.033535259404886e-305,0.08
China,-4.553829465243663,0.010526815026121322,-5072.981417505418,0.0,0.08
