country,outcome,posterior_median,parameter_credible_interval_low,parameter_credible_interval_high,combined_median,combined_credible_interval_low,combined_credible_interval_high,posterior_draws,stochastic_replicates_per_draw,stochastic_overlay_applied,superspreading_k,household_design_effect,credible_interval_low_percentile,credible_interval_high_percentile
Australia,annualized_infections_per_100k,1535.2721877890747,943.2458389045147,1652.0981867774904,1340.0005432942353,568.7693059351664,2588.172069491814,100,200,True,10.0,3.0,2.5,97.5
Australia,annualized_reported_cases_per_100k,16.643546440480396,14.33588451263461,32.14998349268135,17.743635997609164,7.990705314272815,42.30301627418594,100,200,True,10.0,3.0,2.5,97.5
Australia,annualized_infant_cases_per_100k,587.0630415822359,351.6275239849468,687.2362969778951,524.8867783686345,216.02291668154243,1051.6162336659515,100,200,True,10.0,3.0,2.5,97.5
Australia,annualized_infant_infections_per_100k,1001.3011868233137,743.634259584066,1167.2053750407588,949.8333340295426,430.36473715887433,1795.9154500242314,100,200,True,10.0,3.0,2.5,97.5
Australia,total_infections,11816835.469592651,7260068.0511561325,12716034.798768409,10279350.5,4422603.15,19806999.77499999,100,200,True,10.0,3.0,2.5,97.5
Australia,total_reported_cases,128103.69450283727,110341.88941203551,247455.1804231996,135997.0,61891.6,323735.5499999997,100,200,True,10.0,3.0,2.5,97.5
Australia,total_infant_cases,46035.67154985329,27573.544953070923,53890.949756996306,40729.0,16953.825,81653.32499999988,100,200,True,10.0,3.0,2.5,97.5
Australia,total_infant_infections,78518.94821179222,58313.50302988788,91528.6446737747,74006.0,34408.675,139126.8999999999,100,200,True,10.0,3.0,2.5,97.5
Australia,resistant_infections,11608733.422152093,7142322.3253608225,12516123.941622756,10108963.0,4236973.725,19538665.449999996,100,200,True,10.0,3.0,2.5,97.5
Brazil,annualized_infections_per_100k,715.6434505998668,190.68574617225727,958.4353108631605,643.6275085839964,122.62261600798728,1327.640687573328,100,200,True,10.0,3.0,2.5,97.5
Brazil,annualized_reported_cases_per_100k,0.537178491511967,0.5074296763110933,0.7049074917855219,0.5651970423509198,0.2700124397656972,1.0593877261391773,100,200,True,10.0,3.0,2.5,97.5
Brazil,annualized_infant_cases_per_100k,306.3607089039242,77.35797811391375,427.0831130734028,278.43704327662425,50.2413028253541,589.0884557733507,100,200,True,10.0,3.0,2.5,97.5
Brazil,annualized_infant_infections_per_100k,637.5620555954329,162.15488954482606,898.9008275362089,580.9025945219987,104.18542369170694,1225.3612854848,100,200,True,10.0,3.0,2.5,97.5
Brazil,total_infections,40450146.76153395,10778085.470162746,54173415.16870791,36638555.5,7064716.775,75127805.32499993,100,200,True,10.0,3.0,2.5,97.5
Brazil,total_reported_cases,30362.813805118487,28681.328941731106,39843.321479504404,32124.5,14957.925,60358.17499999999,100,200,True,10.0,3.0,2.5,97.5
Brazil,total_infant_cases,171071.55204364003,43196.62802134937,238482.83428864347,155961.0,28136.675,324158.9499999995,100,200,True,10.0,3.0,2.5,97.5
Brazil,total_infant_infections,356014.09178586915,90547.1499681168,501945.4306038037,322867.0,56980.55,686382.7499999998,100,200,True,10.0,3.0,2.5,97.5
Brazil,resistant_infections,39458288.33289413,1975.332637438281,53228967.603196494,35673460.5,1386.0,74429824.94999993,100,200,True,10.0,3.0,2.5,97.5
China,annualized_infections_per_100k,330.45257829324487,314.91085786217235,346.3981438073837,321.08205655799014,159.99248561234307,568.9721160380217,100,200,True,10.0,3.0,2.5,97.5
China,annualized_reported_cases_per_100k,3.510736343071149,3.2607331247194415,3.6219922245784053,3.301907303610682,1.658219235391725,5.833281482900331,100,200,True,10.0,3.0,2.5,97.5
