analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,contact_reciprocity_error_before,contact_reciprocity_error_after,country,grid_fitness_R,grid_VE_inf,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,relative_reduction_infant_cases,relative_reduction_total_infections,relative_reduction_reported_cases,relative_reduction_resistant_infections,relative_reduction_deaths,relative_reduction_infant_deaths
fitness_resistance_grid,fitness_0.70_VEinf_0.05,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4212918.45396255,23621283.21960946,389567.51345242735,179538.90996879217,382744.7184925235,206.3975985094856,197.37306603003552,65141.1187930554,0.00275772989076977,0.3,8.077327943549552e-05,29593145.577224933,299309.57452430885,26.013698630136986,3068.3878307793343,50.60454194766459,2305.8755796040214,4915.7126984213855,0.26810900732219206,2.534925343533279,4953.466425828834,367149.68213517434,572313.2839971096,4016.1274808616095,735.0,9495.0,8,3.287671232876712,0.8216473501970823,0.17835264980291798,5.606869318201961,0.6416459926633303,0.5074424083804319,0.0006943571910573201,0.02974723320914295,0.04128372766235732,0.5699206746007729,-0.01320199278953682,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.05,54.978665659530755,0.9204396167241667,0.07956038327583326,0.25,calibrated_country_scenario_analysis,-0.03358637389555286,-0.01320199278953682,-0.021109243326645544,-0.05962852862451684,-0.033834026895575686,-0.03454662083820659
fitness_resistance_grid,fitness_0.70_VEinf_0.10,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4158852.886344295,23313498.579464495,381514.0407340407,173704.79575124037,370187.5009009102,199.64287607098964,190.78218618134446,61475.4293918585,0.0026369027875553877,0.30000000000000004,8.094887420699051e-05,29593145.580914155,299309.5744995042,26.013698630136986,3028.406825325089,49.55840158345131,2230.9461870171017,4754.43634152155,0.25933467105339253,2.4502765681932415,4849.807377840049,360088.90464306634,559760.3709040523,3932.0837197756755,735.0,9495.0,8,3.287671232876712,0.82161180690368,0.17838819309632004,5.605752166905204,0.6372553400743993,0.5041807455642021,0.0006796506486780095,0.029611284539450472,0.04110418344000039,0.5658602214462705,0.0,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.1,54.978665659530755,0.9014115018788234,0.09858849812117665,0.25,calibrated_country_scenario_analysis,0.0,0.0,0.0,0.0,0.0,0.0
fitness_resistance_grid,fitness_0.70_VEinf_0.15,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4102878.912631239,22995703.335732244,373362.8654854131,167946.40866168062,357802.25582284416,192.98537273469793,184.29025086961354,58082.244196736116,0.0025257868110728355,0.3,8.131179024293723e-05,29593145.583473094,299309.5745515614,26.013698630136986,2987.1254497342034,48.49956973241028,2156.989381562029,4595.368681348333,0.25068662171619593,2.3668985685304325,4799.454431530516,352925.6985128706,546906.074242891,3891.2590058500728,1092.0,9495.0,9,3.126027397260274,0.8215806295319564,0.17841937046804368,5.6047726061173835,0.6328648599944334,0.5009322924043162,0.0006652314162974241,0.029470618404780827,0.04091891612814709,0.5618100940452081,0.013631383665949626,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.15,54.978665659530755,0.8821525431838614,0.11784745681613862,0.25,calibrated_country_scenario_analysis,0.03315042088881781,0.013631383665949626,0.021365334898145738,0.05519579494912419,0.033347061850203086,0.03402799517959254
fitness_resistance_grid,fitness_0.70_VEinf_0.20,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4045841.125421093,22672546.784696385,365186.87130525237,162286.80318514147,345637.4813633012,186.45060744662769,177.92152261035784,55058.95913898186,0.002428441747715162,0.3,8.162726198394061e-05,29593145.575694684,299309.5745432206,26.013698630136986,2945.14764518729,47.437513936632094,2084.3012603675934,4439.132596714853,0.24219800831366053,2.2851029568943004,4770.442215610738,345716.78674780845,533902.7636207652,3867.7367382741936,1092.0,9495.0,9,3.126027397260274,0.8215533012748276,0.17844669872517244,5.603914262040286,0.6284552623080544,0.49767972539582295,0.0006510459103415303,0.029324888509734113,0.040727676942937184,0.5577516509450416,0.027492733129839464,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.2,54.978665659530755,0.862834944565604,0.13716505543439605,0.25,calibrated_country_scenario_analysis,0.06573216655716518,0.027492733129839464,0.0427957235790708,0.10437454957779291,0.06607933568173507,0.06741019079612676
fitness_resistance_grid,fitness_0.70_VEinf_0.25,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,3987785.089455172,22344256.005230248,356996.87966677145,156736.6902754305,333715.80663854926,180.05081702432662,171.6876076389223,52288.57341163169,0.0023401349053372915,0.3,8.198559558338451e-05,29593145.586248517,299309.57468181476,26.013698630136986,2902.502906211478,46.37363985172242,2013.0193861971673,4286.018717527623,0.23388472614909692,2.2050387942965264,4725.363524368475,338472.025012222,520780.71838102146,3831.1882390297164,1092.0,9495.0,9,3.126027397260274,0.821529743996769,0.1784702560032309,5.603174570343512,0.6240302596767515,0.494426744565325,0.0006371302023841362,0.02917395811442825,0.04053028247754405,0.5536888888823952,0.04157430816016594,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.25,54.978665659530755,0.8434842733161783,0.15651572668382174,0.25,calibrated_country_scenario_analysis,0.09768357518527926,0.04157430816016594,0.06426280149505836,0.1494394764071949,0.09813552795991787,0.10008575184410651
fitness_resistance_grid,fitness_0.70_VEinf_0.30,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,3928823.2609795164,22011456.686738003,348810.7073795433,151303.95489987032,322053.57027402084,173.79370625373306,165.5963157260693,49906.48909716589,0.0022672960634738345,0.3,8.23185669351041e-05,29593145.58110771,299309.5744683169,26.013698630136986,2859.27251278131,45.310261922603125,1943.2450315479261,4136.236893089952,0.22575678395927645,2.1268063877793697,4666.205208846541,331223.774795849,507563.8402396386,3783.2243851155836,1092.0,9495.0,9,3.126027397260274,0.8215100746445986,0.17848992535540137,5.602557107964741,0.619595156582636,0.4911761278649573,0.0006234965049496412,0.029017873611500898,0.04032699463822887,0.5496267918279566,0.05584927068275314,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.3,54.978665659530755,0.8241426265817061,0.17585737341829388,0.25,calibrated_country_scenario_analysis,0.12895925385646745,0.05584927068275314,0.0857198683738496,0.18818803559629538,0.1294770458429233,0.1320137427890422
fitness_resistance_grid,fitness_0.70_VEinf_0.35,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,3868553.9002517,21671837.56079926,340594.3416574459,145972.553451748,310615.98365774035,167.66015340372132,159.62920708282536,47748.41844618486,0.002203247339420529,0.3,8.272945541358984e-05,29593145.576009333,299309.57440929656,26.013698630136986,2815.156231212315,44.24296188741151,1874.7721398368485,3989.34031486983,0.2177893426232804,2.0501689054994348,4590.912885493684,323927.852219773,494190.83391266805,3722.179543758676,1092.0,9495.0,8,3.5726027397260274,0.8214939601038137,0.17850603989618624,5.602051340008271,0.615143873519624,0.48792288635880493,0.0006101417217631449,0.02885656001093907,0.040117457813044974,0.5455597139738768,0.07041675933235003,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.35,54.978665659530755,0.8047296411556658,0.1952703588443342,0.25,calibrated_country_scenario_analysis,0.15965156390504742,0.07041675933235003,0.10725607633696654,0.2232926403518798,0.16019966901246108,0.163290817251183
fitness_resistance_grid,fitness_0.70_VEinf_0.40,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,3807909.6552679567,21330574.381359562,332430.1284375003,140773.77354642528,299469.2038993517,161.6854197148521,153.8198472714451,46030.86230508676,0.002157975752650729,0.3,8.303904035272949e-05,29593145.576014776,299309.57457010215,26.013698630136986,2770.826387773852,43.18243641721228,1808.002547615828,3846.1786591516766,0.21002820620512896,1.9755574403845506,4508.288779925704,316655.5342895577,480814.34947347216,3655.190305837134,1092.0,9495.0,8,3.5726027397260274,0.8214811478027696,0.17851885219723038,5.601649280688767,0.6106673459751731,0.48465877906506455,0.0005970504031134798,0.02868951720472258,0.03990161841119045,0.5414791599561468,0.08505476736346962,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.4,54.978665659530755,0.7854398774359204,0.21456012256407964,0.25,calibrated_country_scenario_analysis,0.189580385863238,0.08505476736346962,0.12865558552472145,0.25123154469283204,0.19012677588676152,0.19374103866681502
fitness_resistance_grid,fitness_0.70_VEinf_0.45,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,3746977.2833273034,20988094.261312317,324325.3539992526,135708.25501494695,288614.2482206575,155.86992088969396,148.16837700408325,44526.76654448796,0.0021215249936515127,0.3,8.333858219670837e-05,29593145.574739505,299309.5743985873,26.013698630136986,2726.338464737046,42.12963200415576,1742.9444757990111,3706.76499758747,0.20247391474718965,1.9029738033174803,4414.967301676965,309412.27602419024,467478.28312761587,3579.5279470203086,1092.0,9495.0,8,3.5726027397260274,0.8214712952650415,0.1785287047349585,5.601340140144901,0.6061578833184751,0.4813776119669226,0.0005842197239518546,0.028516642654232035,0.03967905039096607,0.5373779705493251,0.09974497436435781,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.45,54.978665659530755,0.766290551048549,0.23370944895145096,0.25,calibrated_country_scenario_analysis,0.21874203629189148,0.09974497436435781,0.14989929761105492,0.27569816128222335,0.2192562842349094,0.2233636694819895
fitness_resistance_grid,fitness_0.70_VEinf_0.50,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,3684535.9696394317,20637585.200571388,316188.94655241433,130744.94182574129,277984.45349141996,150.17652813957378,142.6400493727783,43259.784555478676,0.0020961650374812725,0.3,8.384797803809075e-05,29593145.575163092,299309.5744447659,26.013698630136986,2680.8075878768395,41.072718483411926,1679.199058550871,3570.2431472776725,0.19507823819737524,1.831971725052707,4310.0483379532325,302133.3720541908,453971.6610421229,3494.462682220267,1099.0,9495.0,8,3.5726027397260274,0.8214647724610037,0.17853522753899612,5.601135494571106,0.6016380147896802,0.47809708228453984,0.0005717073594032932,0.028338491186368005,0.03945031734978161,0.5332774988941272,0.11477957157619245,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.5,54.978665659530755,0.7470664846208726,0.25293351537912745,0.25,calibrated_country_scenario_analysis,0.24731530145558644,0.11477957157619245,0.17122592409951565,0.2963077284140485,0.2477741700827154,0.2523408383778848
