country,grid_valid,issue,grid_points,grid_half_width,grid_min_edge_drop,grid_effective_points,grid_max_weight,grid_smoothing,grid_tail_drop_target,grid_min_effective_points_target,grid_max_single_weight_target
Australia,True,,81,0.0091145061666122,24.26428287455656,10.177318994786209,0.1482350110037088,none,20.0,10.0,0.2
Brazil,True,,161,0.0026093492000898,27.257772175595164,35.791523039413605,0.0530294762446633,savgol,20.0,10.0,0.2
China,True,,81,0.0066252544979115,20.629511856906905,11.822714975562205,0.1743057807102481,savgol,20.0,10.0,0.2
Japan,True,,81,0.0050207635202797,29.406102580759125,14.336376961303964,0.1305296351606598,savgol,20.0,10.0,0.2
New_Zealand,True,,81,0.0117067989740204,29.370003139585947,11.135671886090345,0.1931869186255261,none,20.0,10.0,0.2
South_Africa,True,,81,0.0070355072102858,23.63022990429016,18.84989917857733,0.0915227141149469,none,20.0,10.0,0.2
Sweden,True,,81,0.0087122342853104,24.1623925185304,16.91505639138899,0.1120522345131153,savgol,20.0,10.0,0.2
Thailand,True,,81,0.0035984042099912,29.449227658188875,17.859340363153894,0.0854211196801107,savgol,20.0,10.0,0.2
United_Kingdom,True,,81,0.0088186868710052,30.40115171176421,13.59267799024432,0.1374826058747109,savgol,20.0,10.0,0.2
United_States,True,,81,0.0042713807531157,36.38300852898647,16.18573598036108,0.0941205142666812,savgol,20.0,10.0,0.2
