stem,country,status,n_chains,draws_per_chain_min,draws_per_chain_max,parameters_diagnosed,parameters_converged,worst_rhat_rank,min_bulk_ess,min_tail_ess,transition_rate_min,transition_rate_mean,unique_states_min,unique_states_mean,accepted_fraction_min,accepted_fraction_mean,accepted_fraction_max,posterior_log_prob_mean,posterior_log_prob_max
ident_stage1_fixreport_fixveasym_fixfit_adapt_s005_w60d60,South_Africa,ok,4,60,60,1,0,1.2018862339267136,14.891465766995525,25.458110211809995,0.15254237288135594,0.2584745762711864,10,16.25,0.2833333333333333,0.3375,0.4,-452.2458693046583,-451.07326857453074
ident_stage1_fixreport_fixveasym_fixfit_adapt_s005_w60d60,Thailand,ok,4,60,60,1,0,1.4902753187296838,8.398532336626731,21.926863225261634,0.1016949152542373,0.1440677966101695,7,9.5,0.11666666666666667,0.14791666666666667,0.19166666666666668,-1166.2215915225572,-1164.1890926477374
ident_stage1_fixreport_fixveasym_fixfit_adapt_s005_w60d60,Japan,ok,4,60,60,1,0,1.3512102923002105,12.226847950380904,5.231947446978973,0.01694915254237288,0.07203389830508475,2,5.25,0.1,0.13333333333333336,0.2,-2241.69939358132,-2239.1028586715784
ident_stage1_fixreport_fixveasym_fixfit_adapt_s005_w60d60,China,ok,4,60,60,1,0,1.8543608642451004,5.31106163009564,4.44416347960576,0.0,0.029661016949152543,1,2.75,0.125,0.1645833333333333,0.2,-4248.938380053596,-4244.6017601666745
ident_stage1_fixreport_fixveasym_fixfit_adapt_s0005_w60d60,South_Africa,ok,4,60,60,1,0,1.101383515566056,42.90492670221306,62.161134353302096,0.2711864406779661,0.3389830508474576,17,21.0,0.575,0.5875,0.6,-452.1656117997666,-451.13155347749444
ident_stage1_fixreport_fixveasym_fixfit_adapt_s0005_w60d60,Thailand,ok,4,60,60,1,0,1.0610396172028187,52.37630067407231,45.56149909793285,0.1016949152542373,0.2033898305084746,7,13.0,0.3416666666666667,0.38541666666666663,0.475,-1166.2836897382645,-1163.8886801344186
ident_stage1_fixreport_fixveasym_fixfit_adapt_s0005_w60d60,Japan,ok,4,60,60,1,0,1.202440999345899,19.09082894320734,20.21551355229272,0.1016949152542373,0.15254237288135594,7,10.0,0.125,0.16249999999999998,0.21666666666666667,-2246.3146086179963,-2238.9638217722263
ident_stage1_fixreport_fixveasym_fixfit_adapt_s0005_w60d60,China,ok,4,60,60,1,0,1.706381069115338,7.441870528359828,17.177527037851767,0.2711864406779661,0.2796610169491526,17,17.5,0.15833333333333333,0.20833333333333334,0.25833333333333336,-4403.001170296016,-4236.033197115381
ident_stage1_fixreport_fixveasym_tightfit_adapt_s02_w60d60,South_Africa,ok,4,60,60,2,0,2.3064258884564657,6.439863789400289,9.747664718644609,0.23728813559322035,0.31355932203389836,15,19.5,0.25833333333333336,0.30624999999999997,0.3333333333333333,-418.8224301710504,-408.20627556737134
ident_stage1_fixreport_fixveasym_tightfit_adapt_s02_w60d60,Thailand,ok,4,60,60,2,0,2.9639220488922082,4.283469295987504,4.269173217377176,0.1694915254237288,0.2288135593220339,11,14.5,0.21666666666666667,0.24583333333333335,0.275,-1163.595505450856,-1161.5295558332712
ident_stage1_fixreport_fixveasym_tightfit_adapt_s02_w60d60,Japan,ok,4,60,60,2,0,3.7500110342397748,4.38923246674487,11.465504135137522,0.1016949152542373,0.2245762711864407,7,14.25,0.125,0.22916666666666669,0.31666666666666665,-2193.866978242048,-2166.0035281114633
ident_stage1_fixreport_fixveasym_tightfit_adapt_s02_w60d60,China,ok,4,60,60,2,0,5053838517229110.0,4.2105263157894735,,0.0,0.00847457627118644,1,1.5,0.09166666666666666,0.12083333333333333,0.18333333333333332,-4243.665935216691,-4238.9746307704645
