analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,contact_reciprocity_error_before,contact_reciprocity_error_after,country,fitness_R,fitness_label,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status
resistance_fitness_sensitivity,moderate_cost_f0.85,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,3984939.9437576802,22328175.910667315,356757.5225590384,156640.84370971698,333507.52020411484,179.93350607152914,171.57698214308567,300920.98722747643,0.01347718633315277,0.30000000000000004,0.00037917806669687473,29593145.577443704,299309.5744994093,26.013698630136986,2900.414114268349,46.342547548064296,2011.7883993594362,4283.343630918849,0.23373234012829644,2.2036179970546748,4551.238971029894,338237.48145789385,514980.5648833139,3690.0130802033627,1092.0,9495.0,9,3.126027397260274,0.8215286389850649,0.17847136101493494,5.6031398780912385,0.6240381069684309,0.49443230392135834,0.0006371620139293572,0.029179071493615705,0.040529902949923445,0.5536919705109624,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.85,moderate_cost,54.978665659530755,0.8429187393352214,0.15708126066477857,0.25,calibrated_country_scenario_analysis
resistance_fitness_sensitivity,mild_cost_f0.90,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,3989412.7383856094,22348867.136383828,358219.0409927848,158008.1090323909,336443.42079953384,181.48435496863348,173.1124306405564,11404129.241284378,0.5102777322756785,0.3,0.6950880469918663,29593145.586222067,299309.5745099627,26.013698630136986,2903.1018888595927,46.53239773565966,2029.3486246407244,4321.050340074583,0.2357468817066648,2.2233382525741767,4544.711066463253,339367.31965079886,289850.53150536784,3684.7204448537423,1099.0,9495.0,9,3.1284246575342465,0.8214937377344346,0.1785062622655655,5.602044361403356,0.6249441872832799,0.49499183588202766,0.0006423529917187318,0.029251069918568243,0.04060789386575877,0.5544428705072342,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.9,mild_cost,54.978665659530755,0.846371900399025,0.153628099600975,0.25,calibrated_country_scenario_analysis
resistance_fitness_sensitivity,near_neutral_f0.95,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4128138.492365137,23155329.960536644,378584.53304925334,173374.24114331152,369674.572920043,199.6213300164984,190.7163570608112,21881885.180238858,0.945004248159361,0.3,0.9990962189606939,29593145.578261014,299309.5744000653,26.013698630136986,3007.8608348898138,49.17786063055983,2226.700769321703,4747.84864517048,0.25930668290564246,2.449431104580923,7759.724485577097,356578.47015832854,97647.30045238175,6291.360447914509,1463.0,9495.0,8,3.564383561643836,0.8217197293495416,0.17828027065045823,5.609145624198825,0.6383786905587677,0.5055636416895818,0.0006848437875544217,0.02952955060858369,0.04094835458982271,0.5672159415728069,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.95,near_neutral,54.978665659530755,0.8944898905896721,0.1055101094103279,0.25,calibrated_country_scenario_analysis
resistance_fitness_sensitivity,neutral_f1.00,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4211883.111411348,23645576.21229087,391350.8154036789,182642.52054159934,390922.08603607176,212.48757159884548,203.18382731439902,23086574.89835751,0.9763591587316536,0.29999999999999993,0.9992461480603777,29593145.58356185,299309.5746518005,26.013698630136986,3071.5434725320524,50.836191587432964,2345.736240729181,5020.73724014012,0.2760198388396087,2.6095548060118334,19689.548500033397,367553.5209729235,95854.73124721047,15963.717129755896,1470.0,8858.0,8,3.136986301369863,0.8218743720348828,0.1781256279651172,5.614015295967589,0.6466967791207694,0.5114787066114794,0.0007208483695494059,0.029676892929217186,0.04110192298468933,0.5751971148373135,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,1.0,neutral,54.978665659530755,0.924653062739807,0.07534693726019304,0.25,calibrated_country_scenario_analysis
resistance_fitness_sensitivity,mild_advantage_f1.05,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4385085.45188017,24632260.19646825,412229.8788035173,195771.8477604932,420806.52774012805,230.45502490803565,220.51642740129023,24524564.053549714,0.9956278416166627,0.3,0.9990460445665681,29593145.57718306,299309.5746241329,26.013698630136986,3199.7130185034002,53.54836703181678,2514.3603849036867,5404.552672726875,0.2993594325069257,2.832162926492967,21088.72802758559,386916.8095385915,98416.38649174894,17098.131467341398,4032.0,8466.0,7,3.643835616438356,0.8219779501797849,0.17802204982021502,5.617281685105317,0.6537927036575129,0.5164004521364768,0.0007584774984160994,0.029772264516927764,0.04120518048729452,0.5820567811548745,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,1.05,mild_advantage,54.978665659530755,0.9739844790600874,0.02601552093991255,0.25,calibrated_country_scenario_analysis
resistance_fitness_sensitivity,moderate_advantage_f1.10,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4591814.578386807,25798701.22250478,437343.6268367518,211981.15597106706,457298.97505653836,251.85798682868875,241.2377514218676,25767695.847411897,0.998798180775634,0.3,0.9986280276419431,29593145.577702876,299309.5745872183,26.013698630136986,3351.2328751916093,56.81062497566131,2722.541709048707,5873.236832742718,0.32716172727470744,3.0982935112062573,33608.320647789435,409638.0276007835,107500.34185589358,27248.65549457946,1449.0,8550.0,5,5.508904109589041,0.8220137308935047,0.17798626910649537,5.618410931472838,0.6603332249682553,0.5208078917554574,0.000800348745993058,0.02986646865029283,0.04134572106984957,0.5883206865021198,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,1.1,moderate_advantage,54.978665659530755,1.0333212764288502,0.03332127642885019,0.25,calibrated_country_scenario_analysis
resistance_fitness_sensitivity,strong_advantage_f1.15,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4988751.112289144,28090367.151619807,488239.4097094183,248288.48060544135,534456.1104365048,292.4798534831749,280.74038181953813,28051387.823606394,0.9986123596105733,0.3,0.9999143314240645,29593145.580816682,299309.5744218553,26.013698630136986,3648.918643341917,63.4219508376991,3188.848280412113,6864.190576080413,0.37992924208366136,3.6056384155417587,23671.89880111961,452624.6111064547,110362.31963282365,19192.491709476504,1071.0,9180.0,5,5.532876712328767,0.8224034920810399,0.1775965079189601,5.630741345749404,0.6791089776227026,0.5362728078334965,0.0008494703040019151,0.0302451747478397,0.04186786304695556,0.6061464695239054,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,1.15,strong_advantage,54.978665659530755,1.1535738468164272,0.15357384681642716,0.25,calibrated_country_scenario_analysis
resistance_fitness_sensitivity,moderate_cost_f0.85,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,25958971.135194182,134729955.9059528,5403400.179785309,455273.75611045165,912387.6246406641,930.4478824652093,857.3947486971092,795656.7299942088,0.005905566617639292,0.3,0.0020589251772647195,1342605769.6710691,7999696.71675966,26.013698630136986,385.75676753074373,15.470933490722865,218.77464583690437,438.43352876749174,0.026640442734661797,0.41200756681244943,857.2593999606121,1624929.473405247,731844.1995100835,31533.189492928126,2779.0,9495.0,9,3.0013698630136987,0.807325913820423,0.19267408617957715,5.190111549655798,0.2911899373280517,0.2222166667599959,1.3223985048863506e-05,0.01750461119874351,0.02532641064060431,0.248345691503655,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,4471.436261444852,4471.030414119333,True,2.010611200412732e-05,1.6667804836994706e-16,China,0.85,moderate_cost,4.430832490427902,3.4916538876487246,2.4916538876487246,0.25,calibrated_country_scenario_analysis
resistance_fitness_sensitivity,mild_cost_f0.90,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,25965440.7827072,134763066.70903486,5405467.165750029,455442.5290544582,912726.1163093703,930.776423382605,857.7117699758269,1520192.3367895656,0.011280481914765212,0.30000000000000004,0.0036360346058043865,1342605769.8134143,7999696.7249456765,26.013698630136986,385.8515698393304,15.476851651965065,218.85574679780177,438.59618516842414,0.02664984946558341,0.412159905982075,851.9861769315675,1625536.8371596748,728477.0363662778,31339.22073834507,2779.0,9495.0,9,3.126027397260274,0.8073252455825392,0.19267475441746096,5.190093549222015,0.29122174227024605,0.22223077771570418,1.3225618203252429e-05,0.017506967318848078,0.025332777819198727,0.248368771513996,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,4471.436261444852,4471.030414119333,True,2.010611200412732e-05,1.6667804836994706e-16,China,0.9,mild_cost,4.430832490427902,3.4929895646924822,2.4929895646924822,0.25,calibrated_country_scenario_analysis
resistance_fitness_sensitivity,near_neutral_f0.95,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,26119480.93697148,135570553.22103083,5440847.655268755,457960.34599392413,917780.7562159222,935.7760508390306,862.4483470558025,5596458.008443138,0.041280778719836105,0.3,0.011567288301024294,1342605769.2728739,7999696.702897866,26.013698630136986,388.1635531367332,15.578152539523325,220.06564474906557,441.0251141211722,0.026792998051850574,0.41443599477086407,830.981966459219,1636012.355463196,715697.7280401324,30566.607735064797,2779.0,9495.0,9,3.126027397260274,0.8073366205536765,0.19266337944632364,5.19039997571828,0.29153494086011644,0.2224263491945109,1.3219418133607015e-05,0.017520951593755104,0.025370545220788996,0.24863022462743878,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,4471.436261444852,4471.030414119333,True,2.010611200412732e-05,1.6667804836994706e-16,China,0.95,near_neutral,4.430832490427902,3.515852285812521,2.515852285812521,0.25,calibrated_country_scenario_analysis
