analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,contact_reciprocity_error_before,contact_reciprocity_error_after,grid_VE_inf,grid_resistance_prevalence,country,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,relative_reduction_infant_cases,relative_reduction_total_infections,relative_reduction_reported_cases,relative_reduction_resistant_infections,relative_reduction_deaths,relative_reduction_infant_deaths
veinf_resistance_grid,VEinf_0.00_res_0.00,symptom_protective,custom_grid,,2025-01-01,2050-12-31,2025,2050,4498952.053020677,25284408.083455592,390796.7856698701,216805.66364094667,456902.26980508235,262.8796632230638,252.86277008423286,0.0,0.0,0.0,0.0,29593145.58567036,301446.8690272542,26.013698630136986,3284.426562617357,50.764223516842684,2764.761932337756,5826.535991457508,0.34147880615275006,3.2245714853286978,5058.452429214564,404734.53064772725,641343.4628925011,4101.247100710534,9128.0,9495.0,8,3.43013698630137,0.8220661508795815,0.17793384912041849,5.6200661366193465,0.6658850319986319,0.52678050655691,0.0007720599780124257,0.029700159934162352,0.041177113135441985,0.5942356989510149,0.0,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,0.0,0.0,Australia,54.978665659530755,0.9233440446010992,0.0766559553989008,0.25,calibrated_country_scenario_analysis,0.0,0.0,0.0,,0.0,0.0
veinf_resistance_grid,VEinf_0.00_res_0.17,symptom_protective,custom_grid,,2025-01-01,2050-12-31,2025,2050,4984854.818633949,28064667.568161864,452522.30296828406,269493.32884564635,571005.1838249577,331.2560391437394,319.56967434445124,27042640.64470639,0.9635831452137021,0.17,0.9994664872614785,29593145.579596203,301446.8688317905,26.013698630136986,3645.5802859442997,58.78232416773073,3436.648676892917,7281.605885743392,0.43029923050733093,4.075235194931249,14528.057655269296,463252.1288643088,128042.15872789845,11778.929457017846,1071.0,9495.0,6,4.215342465753425,0.8223796948056835,0.1776203051943166,5.629986948316523,0.6911335177084079,0.5456698745259919,0.0008893307650807253,0.03021800496656477,0.04186253639576912,0.6181636455809932,-0.10995944518572642,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,0.0,0.17,Australia,54.978665659530755,1.0691842637970714,0.06918426379707143,0.25,calibrated_country_scenario_analysis,-0.2430179374463024,-0.10995944518572642,-0.15794786334439626,,-0.2601052324943658,-0.2638067448126
veinf_resistance_grid,VEinf_0.00_res_0.33,symptom_protective,custom_grid,,2025-01-01,2050-12-31,2025,2050,5008669.8670111215,28187248.79033559,453845.8829514828,269089.78750726883,570673.1818935698,331.7547779420626,320.0088312400168,27539667.02577964,0.9770257193466152,0.33000000000000007,0.9996189661794539,29593145.583683066,301446.8689344813,26.013698630136986,3661.5034987066447,58.954256254701185,3431.502612136592,7277.372108709948,0.4309470885870895,4.080835435931333,17094.341416303407,464780.59265557147,121748.38852853267,13859.598196982184,1064.0,9264.0,6,4.223013698630138,0.8223072459370915,0.17769275406290866,5.627691490706309,0.6892237558509873,0.5438369769219785,0.0008888479954575863,0.03019469387985207,0.04181532326679633,0.6163248907088813,-0.11480754057198661,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,0.0,0.33,Australia,54.978665659530755,1.0723115147935798,0.07231151479357978,0.25,calibrated_country_scenario_analysis,-0.24115663303385948,-0.11480754057198661,-0.1613347386507782,,-0.26200244581322196,-0.2655434848452243
veinf_resistance_grid,VEinf_0.00_res_0.50,symptom_protective,custom_grid,,2025-01-01,2050-12-31,2025,2050,5025635.317591762,28275858.380854797,454844.8730298062,268903.7420522133,570616.0968408659,332.1637947099818,320.3760011080267,27870875.08170693,0.9856774180400453,0.5,0.9997533661769246,29593145.57899723,301446.86879745784,26.013698630136986,3673.013821849986,59.08402436218367,3429.130113902906,7276.644148651576,0.4314783985175065,4.085517682970759,18266.296483306716,465852.77009796037,117521.17878757164,14809.78550738687,1064.0,9229.0,5,5.288356164383562,0.8222640936342165,0.17773590636578349,5.626325149753271,0.688035293500468,0.5426900756451182,0.0008885220464295667,0.03017760222723737,0.041784436063895994,0.6151847331629051,-0.11831205569556547,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,0.0,0.5,Australia,54.978665659530755,1.0746718504969979,0.07467185049699787,0.25,calibrated_country_scenario_analysis,-0.2402985122083645,-0.11831205569556547,-0.16389102906808817,,-0.2635583545621316,-0.26699553675420074
veinf_resistance_grid,VEinf_0.00_res_0.67,symptom_protective,custom_grid,,2025-01-01,2050-12-31,2025,2050,5033794.890192363,28318653.894470625,455373.8175877669,268874.14176478935,570716.438000782,332.43186406560744,320.6249397172595,28085774.039525956,0.991776450398649,0.67,0.9998498082288287,29593145.580550373,301446.8689218159,26.013698630136986,3678.572928330428,59.15273387962539,3428.7526419623077,7277.92372208981,0.4318266186744623,4.088692210857016,18401.630554316893,466388.5880687146,114041.86903643567,14919.51046338092,1057.0,9215.0,5,5.288356164383561,0.8222445562225245,0.1777554437774756,5.625706750516496,0.687524806550929,0.5421810094707237,0.0008885680761445611,0.030170944850145775,0.04177110598263874,0.6146941876419999,-0.1200046210692367,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,0.0,0.67,Australia,54.978665659530755,1.07592159922439,0.07592159922439001,0.25,calibrated_country_scenario_analysis,-0.24016198308395498,-0.1200046210692367,-0.16524453190474553,,-0.2645780962657649,-0.26798001781936476
veinf_resistance_grid,VEinf_0.00_res_0.83,symptom_protective,custom_grid,,2025-01-01,2050-12-31,2025,2050,5032164.365459278,28310287.42119792,455365.9412310212,268980.15882664267,570935.2184907489,332.5439186509909,320.7426266267711,28203034.490615346,0.9962115209574923,0.83,0.9999206333651751,29593145.582127735,301446.86886589456,26.013698630136986,3677.4861292278943,59.15171074335302,3430.1045996092057,7280.713668870163,0.4319721767580562,4.090192985543928,17506.837468779944,466374.82016396977,110737.0084016929,14194.03807934941,1057.0,9215.0,5,5.288356164383561,0.8222496193489247,0.17775038065107526,5.625866995823791,0.6877235168639604,0.5423339360531247,0.0008891046080699868,0.030175869065749872,0.04177524437798044,0.6148832988121601,-0.11967372650191721,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,0.0,0.83,Australia,54.978665659530755,1.0759029895280634,0.0759029895280634,0.25,calibrated_country_scenario_analysis,-0.24065097889740805,-0.11967372650191721,-0.16522437729489559,,-0.26500435436427905,-0.26844543591738046
veinf_resistance_grid,VEinf_0.00_res_1.00,symptom_protective,custom_grid,,2025-01-01,2050-12-31,2025,2050,5023687.316704336,28265465.3740611,454952.25094158784,269114.56729201274,571112.8241972101,332.4957961426308,320.7177710104192,28265465.3740611,1.0,1.0,1.0,29593145.58984266,301446.8689273956,26.013698630136986,3671.663776339859,59.0979726546249,3431.8186104454508,7282.978541318888,0.43190966585057755,4.089876019456959,16001.032146475169,465950.3423015801,107294.0336148807,12973.174627353212,1057.0,9215.0,6,4.230684931506849,0.822267659484053,0.17773234051594697,5.6264380309011655,0.688326655985185,0.5428598929017002,0.0008899683914710785,0.0301880343492348,0.04179008191756745,0.6154585713269117,-0.11790101159441857,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,0.0,1.0,Australia,54.978665659530755,1.0749255542250513,0.07492555422505132,0.25,calibrated_country_scenario_analysis,-0.24127092794815175,-0.11790101159441857,-0.16416579568777157,,-0.2648212952878555,-0.2683471390572154
veinf_resistance_grid,VEinf_0.10_res_0.00,symptom_protective,custom_grid,,2025-01-01,2050-12-31,2025,2050,4405312.304624003,24744307.0269976,376488.2506130345,203718.78027679844,429027.41343696835,246.79683207881587,237.10346702699627,0.0,0.0,0.0,0.0,29593145.57466485,301446.8688601282,26.013698630136986,3214.2678220904263,48.90555504424757,2597.8746102159557,5471.068612035379,0.3205873234111116,3.023604775890964,4951.227529890417,391121.04982847406,617973.4927051666,4014.312248365353,9128.0,9495.0,8,3.43013698630137,0.8219666325746149,0.17803336742538514,5.616924593751258,0.6566775541825137,0.5198364115936547,0.0007388645517839395,0.02945073499539318,0.04084109283404382,0.5856468618012927,0.02136103224862118,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,0.1,0.0,Australia,54.978665659530755,0.8895369587015362,0.11046304129846385,0.25,calibrated_country_scenario_analysis,0.060362276263324466,0.02136103224862118,0.036613748069368346,,0.061179442133570516,0.0623235403613861
veinf_resistance_grid,VEinf_0.10_res_0.17,symptom_protective,custom_grid,,2025-01-01,2050-12-31,2025,2050,4881465.728543135,27485871.475203376,436201.0909527658,253857.9145515715,537156.9380399492,311.1301436138119,299.80116358428677,26572150.48656145,0.966756703004078,0.17000000000000004,0.9995069768043553,29593145.590862505,301446.8688382517,26.013698630136986,3570.395085225502,56.66221035461032,3237.2618271505976,6849.96429509612,0.4041558357086945,3.8231420293558678,14023.033390165503,448062.3468814943,119351.75000014412,11369.47037645737,1078.0,9495.0,7,3.995433789954338,0.8224009112118933,0.17759908878810676,5.630659519841899,0.6839197037262674,0.5406803393591664,0.0008495419289333042,0.029976836674825525,0.04153191064619213,0.6115614144763165,-0.08706802170260297,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,0.1,0.17,Australia,54.978665659530755,1.0306217816471819,0.030621781647181878,0.25,calibrated_country_scenario_analysis,-0.1709007517994885,-0.08706802170260297,-0.11618392716579673,,-0.1835458848325049,-0.18562793361955943
veinf_resistance_grid,VEinf_0.10_res_0.33,symptom_protective,custom_grid,,2025-01-01,2050-12-31,2025,2050,4884957.448393015,27503332.095532473,436528.9144574683,253851.6713218897,537304.3067468782,311.4063765678684,300.0757760147126,26938741.4119136,0.9794719170150811,0.33,0.9995939624538797,29593145.581467338,301446.86891673965,26.013698630136986,3572.6632084771095,56.704794411873415,3237.1822110270223,6851.843577203251,0.4045146604726886,3.8266439571445616,13464.899189236414,448425.3556826826,112090.2040517946,10916.951286215199,2933.0,9495.0,7,3.65662100456621,0.8223867045845509,0.1776132954154492,5.630209144315092,0.6836796736395848,0.5403583222264635,0.0008504509076500916,0.029984730710055314,0.041527596216642385,0.6113168958052372,-0.08775859038316947,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,0.1,0.33,Australia,54.978665659530755,1.0313963376818227,0.031396337681822706,0.25,calibrated_country_scenario_analysis,-0.17087195536688182,-0.08775859038316947,-0.11702278643159292,,-0.18459668104347715,-0.18671394731123225
