analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,contact_reciprocity_error_before,contact_reciprocity_error_after,country,implementation_uptake,pep_restored,pep_coverage_multiplier,implementation_note,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status
treatment_implementation_sensitivity,current_near_term,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,899227.3751457989,5058936.81976084,83540.67474506018,37206.542210513515,79706.69572373177,43.03670278921151,41.34085953535764,3577984.989856907,0.7072602638326793,0.043,0.9777289241395527,27319389.691619385,290798.05530274584,5.0,3703.5503917664323,61.158521978759644,2558.926480562485,5481.927700015066,0.3150634276607844,2.843269326015144,14929.187328072121,76829.86917855099,50925.45618443508,11174.144832733926,1470.0,1825.0,2,3.041095890410959,0.8222497320715088,0.17775026792849127,5.6258705635386095,0.6471435549242288,0.5094248626602503,0.0006859186124827489,0.030088417287062203,0.04217242513475725,0.5741967938899266,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.0,baseline,1.0,Current macrolide treatment and baseline resistant-strain PEP effectiveness.,54.978665659530755,1.1124046254141418,0.11240462541414176,0.25,calibrated_country_scenario_analysis
treatment_implementation_sensitivity,guided_uptake_25_pep_restored,symptom_protective,country_timeline,resistance_guided_treatment,2025-01-01,2029-12-31,2025,2029,817022.9726996501,4600648.802660246,75700.72891943017,33723.02398038875,72005.96247765914,38.63162783509649,37.11488838293489,2823907.3435040955,0.6138063270274443,0.043,0.9573686226087675,27319389.701537278,290798.055678026,5.0,3368.046543441902,55.41904833633268,2319.343153912085,4952.300132115376,0.282814720659171,2.5526228706308,9876.87835267242,89031.66107058231,59463.72908006893,7392.610650721517,1470.0,1825.0,2,2.958904109589041,0.8224113581051392,0.17758864189486068,5.630990751041604,0.6476113706298582,0.5107034374367233,0.0006718914702242362,0.029956856214783143,0.042106049247791176,0.5748765736970596,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.25,yes,1.0,Quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,54.978665659530755,1.0080100648409531,0.008010064840953124,0.25,calibrated_country_scenario_analysis
treatment_implementation_sensitivity,guided_uptake_50_pep_restored,symptom_protective,country_timeline,resistance_guided_treatment,2025-01-01,2029-12-31,2025,2029,737050.5658820894,4152606.302374948,67869.94816164419,30017.400135264565,63966.80551657253,34.19490795554759,32.850116925081636,1759372.92199976,0.4236792014194902,0.043,0.8345178671199621,27319389.70427597,290798.0557359623,5.0,3040.043242053091,49.68628428110262,2064.4842386786554,4399.397056124259,0.2503343473313057,2.259307878929477,6483.295226726758,96312.6925073477,68627.77249419515,4852.593667584124,1470.0,1825.0,2,3.9452054794520546,0.8225089227792778,0.17749107722072216,5.634086037781112,0.6454881311784597,0.5096347519154386,0.0006559164874817999,0.029748403680566273,0.04194265319695659,0.573141157813455,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.5,yes,1.0,Half uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,54.978665659530755,0.9037375441011511,0.09626245589884885,0.25,calibrated_country_scenario_analysis
treatment_implementation_sensitivity,guided_uptake_75_pep_restored,symptom_protective,country_timeline,resistance_guided_treatment,2025-01-01,2029-12-31,2025,2029,718123.4727517108,4046532.637733487,65716.76852824338,28811.092499459362,61371.13681290763,32.788842479579884,31.495475555493375,827792.0109342409,0.20456822792312815,0.043000000000000003,0.45904075222014684,27319389.72347871,290798.05694225314,5.0,2962.388749303454,48.10998283154573,1981.5189140125983,4220.876676978261,0.24004081212253905,2.1661407154276664,4838.821907351224,108313.62826052238,79696.92187765898,3621.74415039547,1470.0,1825.0,2,2.958904109589041,0.8225336264298759,0.17746637357012413,5.634870313078548,0.6423807568384539,0.5074128635648368,0.0006447113091192329,0.02954730168213382,0.04176938866972936,0.5704193551774714,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.75,yes,1.0,Three-quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,54.978665659530755,0.8750663962904979,0.12493360370950213,0.25,calibrated_country_scenario_analysis
treatment_implementation_sensitivity,guided_uptake_100_pep_restored,symptom_protective,country_timeline,resistance_guided_treatment,2025-01-01,2029-12-31,2025,2029,710792.5070709697,4004935.557921849,64872.972663861234,28321.871324924272,60323.35037315576,32.22757000076257,30.95305131012404,286580.97483727586,0.07155695034103919,0.043000000000000003,0.10753851766421145,27319389.701374892,290798.05526189954,5.0,2931.936329251377,47.4922561396724,1947.8721272339274,4148.81387833403,0.23593184440090667,2.128834821969287,4621.318576809381,120291.5066205641,83548.9956203081,3458.9480310701006,1080.0,1825.0,2,2.958904109589041,0.8225208628725607,0.17747913712743935,5.634465076770953,0.6407918527320103,0.5061838067707463,0.0006400655697115072,0.029469477350298114,0.04170587386131807,0.5689764359506827,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,1.0,yes,1.0,Full resistance-guided treatment scenario used in the main analysis.,54.978665659530755,0.8638306435769134,0.13616935642308658,0.25,calibrated_country_scenario_analysis
treatment_implementation_sensitivity,guided_uptake_50_no_pep_restoration,symptom_protective,country_timeline,resistance_guided_treatment,2025-01-01,2029-12-31,2025,2029,826066.1940269747,4653632.071554905,76172.52439561894,33664.82859892673,71909.05882370907,38.62818513530139,37.09096484258186,2874732.418052637,0.6177395148241943,0.04299999999999999,0.9597427414901628,27319389.70130918,290798.0557441108,5.0,3406.8345760534294,55.764440734903125,2315.340693236977,4945.635460987112,0.28278951731817265,2.5509774986405165,10856.608731250893,106807.53350257683,50017.69698496188,8125.91574695011,1470.0,1825.0,2,3.041095890410959,0.822490007519876,0.17750999248012395,5.63348567609213,0.6465867866400133,0.5101443956466958,0.0006644881785190553,0.02987056803363476,0.04195378682011176,0.5740979436077478,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.5,no,1.0,Half uptake of resistance-guided treatment; resistant-strain PEP effectiveness remains at baseline.,54.978665659530755,1.0142923635185779,0.014292363518577877,0.25,calibrated_country_scenario_analysis
treatment_implementation_sensitivity,guided_uptake_100_no_pep_restoration,symptom_protective,country_timeline,resistance_guided_treatment,2025-01-01,2029-12-31,2025,2029,748043.7501424466,4218933.26589204,68421.79717558461,29996.479712910383,63925.62713420883,34.19898548403824,32.831506566025666,1855448.6458520328,0.4397909445149097,0.043,0.8644143614446156,27319389.697851576,290798.05574205983,5.0,3088.5999376653876,50.090282346948165,2063.045410421691,4396.56496128099,0.2503641981923753,2.2580279281610793,6982.526038713598,125319.42553454824,55461.28429280184,5226.256162383908,1470.0,1825.0,2,3.9452054794520546,0.822693628223512,0.17730637177648798,5.639955236693907,0.6448633050510056,0.5097784276438037,0.0006453514149104459,0.029587572978028834,0.04169587778832458,0.5729345028697417,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,1.0,no,1.0,Full treatment restoration but no restoration of resistant-strain PEP effectiveness.,54.978665659530755,0.9110858138526836,0.08891418614731639,0.25,calibrated_country_scenario_analysis
treatment_implementation_sensitivity,guided_uptake_50_low_pep_reach,symptom_protective,country_timeline,resistance_guided_treatment,2025-01-01,2029-12-31,2025,2029,793453.7453181241,4473157.716918116,73911.23751250186,33120.93669627619,70740.82558494525,37.94610378116924,36.48512779938914,529822.0837652592,0.11844475810933226,0.043,0.22908812549155652,27319389.685242094,290798.0554039957,5.0,3274.712772470544,54.10899611159955,2277.9338500226504,4865.288764511679,0.2777961310143593,2.509310301178019,9506.020647792187,104954.09448130323,50307.15986675249,7115.032395424447,1110.0,1825.0,2,2.958904109589041,0.8226188756284695,0.17738112437153056,5.637578426357629,0.6528378323558457,0.5148396366223272,0.000679553669964177,0.030133527968659084,0.04217699749326264,0.5798477532239599,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.5,yes,0.5,"Half uptake and half baseline PEP reach, approximating delayed activation, lower adherence, or household-only reach.",54.978665659530755,0.9841816905248874,0.015818309475112646,0.25,calibrated_country_scenario_analysis
treatment_implementation_sensitivity,current_near_term,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,2376355.5253680972,12479083.492023246,517258.49441155314,38486.84548170604,77141.37997863325,76.96484684743794,72.3455966700817,12458753.654618345,0.9983708869791683,0.997,0.9989989884310392,1404870879.2608259,8131253.7392033655,5.0,177.6545257823143,7.363786979251918,94.66398839861237,189.74043229449373,0.01095685702986926,0.17794450644500376,718.4105940829602,152281.38647045306,6696.402759217097,27651.3458350581,1710.0,1825.0,2,3.041095890410959,0.8095729123948016,0.1904270876051985,5.251353746864218,0.3288823601738986,0.24812017930622945,1.2037998090058501e-05,0.01835406761641794,0.028000149272197322,0.28251610528719334,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,4471.436261444852,4471.030414119333,True,2.010611200412732e-05,1.6667804836994706e-16,China,0.0,baseline,1.0,Current macrolide treatment and baseline resistant-strain PEP effectiveness.,4.430832490427902,1.661942083154845,0.661942083154845,0.25,calibrated_country_scenario_analysis
treatment_implementation_sensitivity,guided_uptake_25_pep_restored,symptom_protective,country_timeline,resistance_guided_treatment,2025-01-01,2029-12-31,2025,2029,3438132.9374326062,18063208.643201865,748062.1298619818,55336.60160055226,110932.1320342266,110.70674504856198,104.05494446460466,18028783.46894619,0.9980941827703113,0.997,0.9987791725319412,1404870879.7251222,8131253.816192387,5.0,257.1511575033304,10.649549943100082,136.10841046520096,272.8536940104341,0.015760415657590243,0.2559382521239027,840.9758098139803,285217.087858062,20908.283342548013,32368.833582490777,1680.0,1825.0,2,3.041095890410959,0.8096610073356734,0.1903389926643269,5.253784240434403,0.3285501557138344,0.24783422055948373,1.1963697487619677e-05,0.018246983426476925,0.02803503258743516,0.28225617600243474,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,4471.436261444852,4471.030414119333,True,2.010611200412732e-05,1.6667804836994706e-16,China,0.25,yes,1.0,Quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,4.430832490427902,2.4035099422302046,1.4035099422302046,0.25,calibrated_country_scenario_analysis
