analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,contact_reciprocity_error_before,contact_reciprocity_error_after,country,posterior_draw,posterior_chain,posterior_log_prob,posterior_beta_S,posterior_reporting_multiplier,posterior_VE_sus,posterior_VE_inf,posterior_VE_dur,posterior_relative_infectiousness_asymptomatic,posterior_infectious_duration_symptomatic,posterior_infectious_duration_asymptomatic,posterior_fitness_R,posterior_resistance_prevalence,posterior_reporting_trend_end_multiplier,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status
bayesian_uncertainty,Australia_draw_001,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4406576.183880766,24768805.119656503,414937.86759313574,198627.5795030914,424822.11933203635,230.32544999158372,220.45708496799736,23218292.91857809,0.9374006055767329,0.043,0.9995257622867529,29593145.579787984,299309.5745931101,26.013698630136986,3217.45010628483,53.900132838045025,2551.0374602717916,5456.126198986435,0.29919111558894584,2.83140077295726,14644.165274539171,387810.7573451712,118600.73652799038,11873.066160655168,1463.0,9495.0,8,3.561643835616438,0.8220916930553218,0.17790830694467819,5.620873005727365,0.6563690896083962,0.5195558290362943,0.0007448715366360338,0.029815367291564324,0.0413471030066787,0.5844617477735172,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,1,1,-1864.5369431946592,0.02213855144821511,0.9517932020200676,0.15,0.25,0.0,0.35000000000000003,21.0,13.999999999999996,1.0,0.043,1.0,54.978665659530755,0.9803827028439573,0.019617297156042657,0.25,calibrated_country_scenario_analysis
bayesian_uncertainty,Australia_draw_002,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4365302.712816339,24530609.338511847,409767.44637041254,195118.2974303917,417238.8258793834,226.18825051342094,216.44740531296284,22989992.586329445,0.9371961482520652,0.043000000000000003,0.9994699148065734,29593145.57652,299309.5745725735,26.013698630136986,3186.508644678496,53.22849881748447,2505.966629653201,5358.731538862619,0.29381692302855994,2.7799031763425983,14586.690546526524,383346.2920445243,117016.94199535556,11826.467310219383,1470.0,9495.0,8,3.561643835616438,0.8220467069294106,0.17795329307058952,5.619452063768922,0.65422137434058,0.517856115021999,0.0007381529485764873,0.029778309337262485,0.04129926366737604,0.5824056483873651,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,2,1,-1863.5801697036281,0.021965827402533025,0.9517932020200676,0.15,0.25,0.0,0.35000000000000003,21.0,13.999999999999996,1.0,0.043,1.0,54.978665659530755,0.9681664365431378,0.03183356345686217,0.25,calibrated_country_scenario_analysis
bayesian_uncertainty,Australia_draw_003,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4384084.255847231,24639069.226047046,412136.02144483046,196732.83438086836,420729.5493644634,228.09417963464276,218.29492893679057,23093444.565303277,0.9372693567860176,0.043,0.9994966869752411,29593145.579054777,299309.57449217234,26.013698630136986,3200.59750638338,53.53617502452699,2526.702644193878,5403.564017237924,0.2962927113283343,2.803631513237332,14644.369491032488,385390.17583158705,117773.54754854295,11873.23173319432,1463.0,9495.0,8,3.561643835616438,0.822067781228821,0.17793221877117915,5.620117631905665,0.655228859991005,0.5186522425057316,0.0007413125285727288,0.029795757257331173,0.041321749230586034,0.5833700409745151,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,3,1,-1863.3414936198997,0.022047465589549568,0.9517932020200676,0.15,0.25,0.0,0.35000000000000003,21.0,13.999999999999996,1.0,0.043,1.0,54.978665659530755,0.9737627201806469,0.026237279819353088,0.25,calibrated_country_scenario_analysis
bayesian_uncertainty,Australia_draw_004,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4366374.775552187,24536727.936249472,409891.02643713146,195194.341438982,417404.261896424,226.2798774364304,216.53599216438892,22996367.86640171,0.9372222704734765,0.043000000000000003,0.9994729200581257,29593145.5801877,299309.57451417035,26.013698630136986,3187.303445762519,53.24455177334864,2506.943287638987,5360.8562875284715,0.2939359457111447,2.781040926119555,14597.850154869944,383448.6395582345,117045.86511864778,11835.515199748817,1463.0,9495.0,8,3.561643835616438,0.8220473900637133,0.17795260993628653,5.619473636031729,0.6542577068868701,0.5178837534601618,0.0007382833486420013,0.02977891656694042,0.041300076129613776,0.5824404308416739,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,4,1,-1863.5543393767339,0.02196958700168801,0.9517932020200676,0.15,0.25,0.0,0.35000000000000003,21.0,13.999999999999996,1.0,0.043,1.0,54.978665659530755,0.9684584217281472,0.03154157827185278,0.25,calibrated_country_scenario_analysis
bayesian_uncertainty,Australia_draw_005,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4374058.830322599,24581193.962504357,410872.4541580963,195871.59565883814,418866.8863057568,227.07626465439512,217.3084094742376,23038902.98268483,0.9372572796027684,0.043,0.9994821559674586,29593145.582900982,299309.5745535659,26.013698630136986,3193.079550542521,53.37203852891179,2515.6414796221443,5379.641239387579,0.2949704469960007,2.7909613280338794,14607.706779154028,384296.69955395395,117335.19648109342,11843.506667063966,1463.0,9495.0,8,3.561643835616438,0.8220566976122194,0.17794330238778058,5.619767569676567,0.6546940475661251,0.5182298415432068,0.0007396250163549876,0.029786448339065543,0.041309897643230196,0.5828580765674742,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,5,1,-1863.2185869583793,0.022003731330879264,0.9517932020200676,0.15,0.25,0.0,0.35000000000000003,21.0,13.999999999999996,1.0,0.043,1.0,54.978665659530755,0.9707772622098831,0.02922273779011686,0.25,calibrated_country_scenario_analysis
bayesian_uncertainty,Australia_draw_006,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4368875.790171385,24551107.653214224,410192.0568489326,195392.48948280525,417829.76038918865,226.50952703571275,216.7583073944738,23009992.418011762,0.937228280818495,0.043,0.9994760735795098,29593145.581147037,299309.57454700075,26.013698630136986,3189.1713606292933,53.283655407253015,2509.488165994735,5366.321100020363,0.2942342588919438,2.783896191339276,14602.916633289513,383715.2538106176,117129.40224938813,11839.6229544737,1463.0,9495.0,8,3.561643835616438,0.8220497481465197,0.17795025185348054,5.619548101698519,0.654369970782223,0.5179738016820796,0.0007386123002609677,0.029780859574061014,0.04130263351167607,0.5825478653962248,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,6,1,-1863.4287481254355,0.021977538046477476,0.9517932020200676,0.15,0.25,0.0,0.35000000000000003,21.0,13.999999999999996,1.0,0.043,1.0,54.978665659530755,0.9691696727822658,0.030830327217734155,0.25,calibrated_country_scenario_analysis
bayesian_uncertainty,Australia_draw_007,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4360841.407598081,24504791.157781333,409197.3458203835,194724.52846738207,416388.9337975789,225.725931481959,215.99904631811683,22965722.860084865,0.9371931681528431,0.043,0.9994648571740784,29593145.579891816,299309.57456895587,26.013698630136986,3183.1548810662966,53.15444315688098,2500.9093290914766,5347.8161033999,0.29321637387302235,2.7741447585650576,14587.764585226227,382858.27357422945,116834.56217069345,11827.338111117531,1470.0,9495.0,8,3.561643835616438,0.8220412743157239,0.17795872568427604,5.619280516619014,0.6539660534965736,0.5176533109561189,0.0007373745381262507,0.029773838299669557,0.04129356198919375,0.5821612786695841,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,7,1,-1863.7602760274126,0.02194574750690875,0.9517932020200676,0.15,0.25,0.0,0.35000000000000003,21.0,13.999999999999996,1.0,0.043,1.0,54.978665659530755,0.9668194474935654,0.03318055250643459,0.25,calibrated_country_scenario_analysis
bayesian_uncertainty,Australia_draw_008,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4348936.593701032,24435926.37682622,407673.9238715366,193673.1757462139,414115.8655338781,224.48531771137553,214.7960065570377,22901079.312946767,0.9371889143791567,0.043,0.9994475775372597,29593145.579710014,299309.57463270135,26.013698630136986,3174.2093951920633,52.95655173339566,2487.4064696808705,5318.622360363699,0.2916048254417243,2.7586937339825957,14514.378083719976,381556.2873610309,116310.37150132937,11767.838455629528,1470.0,9495.0,8,3.561643835616438,0.8220269398984055,0.17797306010159453,5.618827925019426,0.6532831302765421,0.5171131792011711,0.0007352448180852699,0.029761872382800297,0.04127831066755338,0.5815077024081032,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,8,1,-1865.5315258827109,0.021890287602078694,0.9517932020200676,0.15,0.25,0.0,0.35000000000000003,21.0,13.999999999999996,1.0,0.043,1.0,54.978665659530755,0.963220025406627,0.03677997459337301,0.25,calibrated_country_scenario_analysis
bayesian_uncertainty,Australia_draw_009,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4401640.728670704,24740362.432030816,414326.49975360883,198216.59718399047,423932.56697395595,229.83831180790304,219.98519400251388,23191555.402413525,0.9373975610150285,0.043000000000000003,0.9995190497821906,29593145.580819782,299309.574585891,26.013698630136986,3213.7554213511976,53.82071659017835,2545.759083110057,5444.701393992441,0.2985583265548886,2.8253401265979363,14644.103713299188,387271.53003843414,118380.59254664296,11873.016248994149,1463.0,9495.0,8,3.561643835616438,0.8220866512864017,0.17791334871359826,5.620713719518496,0.6561264978620737,0.5193644520818101,0.0007440938274763928,0.029811218110267605,0.04134178187949284,0.5842294040448369,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,9,1,-1864.045543841036,0.022118692140079634,0.9517932020200676,0.15,0.25,0.0,0.35000000000000003,21.0,13.999999999999996,1.0,0.043,1.0,54.978665659530755,0.97893821075027,0.021061789249730012,0.25,calibrated_country_scenario_analysis
bayesian_uncertainty,Australia_draw_010,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4392248.056144589,24686167.535568044,413152.1681783383,197421.27905477103,422213.98364978214,228.9007712040796,219.07658866582418,23139374.256383937,0.9373417004905491,0.043000000000000003,0.9995067861700527,29593145.58324202,299309.57469639106,26.013698630136986,3206.715542720115,53.66817175234351,2535.5445573552347,5422.629077311743,0.29734046797793184,2.8136706169423324,14648.298730884315,386266.6878358604,118030.50781191711,11876.417449037775,1463.0,9495.0,8,3.561643835616438,0.8220765515823305,0.17792344841766952,5.620394663510188,0.6556442194331004,0.5189829134246148,0.0007425866009925869,0.029802914605200122,0.04133099836593686,0.5837677198609706,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,20b28a8037b0678b6619aed346427d7244feff684a6ae51645053f6b230e8d54,0985469c3e6d8ddd1acfb0304b8079251c48f9af8d5e10cc48818dfd815c4b1c,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,10,1,-1863.6399679830565,0.022079577354697708,0.9517932020200676,0.15,0.25,0.0,0.35000000000000003,21.0,13.999999999999996,1.0,0.043,1.0,54.978665659530755,0.976163591977608,0.023836408022391953,0.25,calibrated_country_scenario_analysis
