country,outcome,posterior_median,credible_interval_low,credible_interval_high,posterior_draws
Australia,annualized_infant_cases_per_100k,9426.817141468964,2033.2848040210336,12753.23617912697,50
Australia,annualized_infections_per_100k,7684.77958696807,3670.925132722587,8692.801669581053,50
Australia,annualized_reported_cases_per_100k,103.42192247268045,52.18904710223433,171.925242318346,50
Australia,annualized_infant_infections_per_100k,20457.93844053639,4283.088579679405,25547.305752811684,50
Australia,resistant_fraction,0.9806668966638576,0.950605065753012,0.991170099486411,50
Australia,resistant_fraction_end,0.9998729563918107,0.9996916786139787,0.9999149777294217,50
Australia,resistant_infections,58461673.00544335,27849490.379595634,63616437.123158626,50
Brazil,annualized_infant_cases_per_100k,3866.8402069617377,1330.4901241019518,11918.104688755739,50
Brazil,annualized_infections_per_100k,5140.3664822234,2570.8638478103717,8780.70173226302,50
Brazil,annualized_reported_cases_per_100k,21.314881693764466,5.763565947136157,203.28440453400057,50
Brazil,annualized_infant_infections_per_100k,8023.750790154201,2651.2097533141937,26441.766717468625,50
Brazil,resistant_fraction,0.9900421631204889,0.9606440602748236,0.9996034391446001,50
Brazil,resistant_fraction_end,0.9998617367186488,0.9984794207140791,0.9999831547217508,50
Brazil,resistant_infections,288684689.39505136,139968739.77577338,496115558.5928789,50
China,annualized_infant_cases_per_100k,11791.32395170478,2749.4553547419023,16793.768604803565,50
China,annualized_infections_per_100k,7864.119778463159,3390.871476085385,8732.774785314063,50
China,annualized_reported_cases_per_100k,20.965125670984527,6.639444417302547,63.289667488200394,50
China,annualized_infant_infections_per_100k,24087.650134093885,5287.455282687379,35283.19880653629,50
China,resistant_fraction,0.9999825361894503,0.9627238217286654,0.9999996026146679,50
China,resistant_fraction_end,0.9999992532915214,0.8373710145366043,0.9999999694413504,50
China,resistant_infections,2684586776.811619,1183737969.9892118,3049939878.0827103,50
Japan,annualized_infant_cases_per_100k,8163.813743804681,1906.1532109491557,13245.80469958132,50
