country,fitness_R,fitness_label,annualized_reported_cases_per_100k,annualized_reported_cases_per_100k_ratio_vs_neutral,annualized_infant_cases_per_100k,annualized_infant_cases_per_100k_ratio_vs_neutral,resistant_infections,resistant_infections_ratio_vs_neutral,resistant_fraction_end,resistant_fraction_end_ratio_vs_neutral
Australia,0.85,moderate_cost,42.6070820850733,0.8902925424258038,2180.6244683047757,0.8514584306853478,131386.18135899043,0.005598092333457191,0.00039370526202514437,0.00039383797012003857
Australia,0.9,mild_cost,42.774463676865615,0.8937900497794995,2194.625941951143,0.8569255218564774,5183282.5306665655,0.22084890432871662,0.5112019323130622,0.5113742455663689
Australia,0.95,near_neutral,45.17473479321174,0.9439447041258401,2403.447413188084,0.9384630835857721,20583491.822340846,0.8770198400970597,0.9990699199659753,0.9994066811894926
Australia,1.0,neutral,47.857395243344,1.0,2561.046305630644,1.0,23469813.20292922,1.0,0.9996630388510946,1.0
Australia,1.05,mild_advantage,49.06203207971369,1.0251713832364755,2690.0044220115224,1.0503536839991354,24200483.79463756,1.0311323565036787,0.9997734140312079,1.0001104123847973
Australia,1.1,moderate_advantage,50.767655731966,1.0608110924931033,2869.499099856411,1.1204401472740306,24695204.309772857,1.052211370250305,0.9998286085462098,1.0001656255044755
Australia,1.15,strong_advantage,51.48280649471644,1.0757544624595226,3016.594974477371,1.1778759985109097,24545352.47484646,1.0458264947666052,0.9996710508673183,1.000008014716872
Brazil,0.85,moderate_cost,0.7022096313761962,0.592187951723271,17.900917153554513,0.5882015634194837,41986.21299270386,0.015960409569541867,0.01153122233950805,0.014586140459970618
Brazil,0.9,mild_cost,0.7043059434418321,0.5939558151829174,17.958070716289598,0.5900795574165173,66606.09526694175,0.025319277079670112,0.01774315814525632,0.022443778230124875
Brazil,0.95,near_neutral,0.7121386409321355,0.6005612914908404,18.166951143544324,0.5969431048440055,144211.30446788977,0.05481969722454835,0.037224943332392124,0.047086790634537586
Brazil,1.0,neutral,1.1857884466118591,1.0,30.433304273263616,1.0,2630647.5914520686,1.0,0.790560215099648,1.0
Brazil,1.05,mild_advantage,4.732632075664169,3.991126822989943,124.6820344822458,4.096894420754106,16712828.188432487,6.353123178771093,0.9856744029246645,1.2468049670326793
