stem,country,status,n_chains,draws_per_chain_min,draws_per_chain_max,parameters_diagnosed,parameters_converged,worst_rhat_rank,min_bulk_ess,min_tail_ess,transition_rate_min,transition_rate_mean,unique_states_min,unique_states_mean,accepted_fraction_min,accepted_fraction_mean,accepted_fraction_max,posterior_log_prob_mean,posterior_log_prob_max
repair_sa_calib_adapt_s02_w20d20,South_Africa,ok,4,20,20,6,0,5.648883074829887,4.747030157527637,5.344802191651692,0.42105263157894735,0.48684210526315785,9,10.25,0.45,0.51875,0.575,-439.5667626122069,-430.1710487549286
repair_sa_calib_adapt_s04_w20d20,South_Africa,ok,4,20,20,6,0,7.622252495825595,4.7075061860432585,5.756833741442207,0.2631578947368421,0.35526315789473684,6,7.75,0.35,0.4125,0.45,-422.4242343986278,-367.8148101892761
repair_sa_calib_comp_s02_w20d20,South_Africa,ok,4,20,20,6,0,14.398755771002392,4.707882369400557,5.0356540116464705,0.3157894736842105,0.4473684210526315,7,9.5,0.475,0.53125,0.625,-447.38166378731955,-438.78411461632885
repair_sa_fast_comp_s02_w80d80,South_Africa,ok,4,80,80,6,0,4.827252322124141,4.201958830354551,4.335835577351853,0.31645569620253167,0.4208860759493671,26,34.25,0.375,0.446875,0.50625,-594.1807206238733,-586.8092551959281
repair_sa_fast_adapt_s04_w120d80,South_Africa,ok,4,80,80,6,0,5.679478443251276,4.241834783900968,4.907216847123522,0.26582278481012656,0.30696202531645567,22,25.25,0.325,0.35125,0.375,-580.7419160537453,-569.3296300124192
repair_sa_calib_adapt_s04_best_w120d120,South_Africa,ok,4,120,120,6,0,3.291295175602393,4.2079950645847415,9.092276698366062,0.35294117647058826,0.3907563025210084,43,47.5,0.4,0.425,0.4583333333333333,-340.59694960668315,-334.82662205150035
repair_sa_calib_adapt_s06_best_w120d120,South_Africa,ok,4,120,120,6,0,3.3910191439483155,4.211241702580104,4.598399396380982,0.3025210084033613,0.33403361344537813,37,40.75,0.35,0.37708333333333327,0.3958333333333333,-338.6910966080103,-331.06944446403645
repair_sa_calib_adapt_s04_random_w120d120,South_Africa,ok,4,120,120,6,0,3.315182752471763,4.196221789813885,7.491185233162038,0.2689075630252101,0.35504201680672265,33,43.25,0.32916666666666666,0.37708333333333327,0.4125,-358.8432486782289,-335.42599102945013
repair_sa_calib_comp_s04_best_w80d80,South_Africa,ok,4,80,80,6,0,2.8981023758234006,4.495980446327973,4.98479094756863,0.45569620253164556,0.49683544303797467,37,40.25,0.4375,0.5015625,0.55,-346.39549092228947,-340.86575646955015
repair_sa_calib_fixreport_adapt_s04_w40d40,South_Africa,ok,4,40,40,5,0,3.6721965898436904,4.46631775852898,4.525234926264906,0.3333333333333333,0.391025641025641,14,16.25,0.375,0.40625,0.4375,-346.0707566821976,-341.06346289225576
repair_sa_calib_fixveasym_adapt_s04_w40d40,South_Africa,ok,4,40,40,3,0,2.788008498912296,4.568206653135586,5.749283132674005,0.1794871794871795,0.3141025641025641,8,13.25,0.2875,0.315625,0.35,-351.80349905921605,-345.07499286492947
repair_sa_calib_fixfit_adapt_s04_w40d40,South_Africa,ok,4,40,40,5,0,3.4618137852243613,4.540106835042503,4.496253322934353,0.28205128205128205,0.35256410256410253,12,14.75,0.35,0.41562499999999997,0.4875,-359.9455766738643,-355.6110704888601
repair_sa_calib_tightve_adapt_s04_w40d40,South_Africa,ok,4,40,40,6,0,4.27383701509222,4.371035899937183,4.632295151650236,0.2564102564102564,0.3333333333333333,11,14.0,0.325,0.38125000000000003,0.45,-404.77027422808726,-385.3962243280813
repair_sa_calib_tightreport_adapt_s04_w40d40,South_Africa,ok,4,40,40,6,0,3.5727351613186604,4.355034545826519,4.632295151650236,0.23076923076923078,0.3525641025641026,10,14.75,0.375,0.403125,0.425,-347.2293316495758,-338.98483966603277
repair_sa_calib_tightall_adapt_s04_w40d40,South_Africa,ok,4,40,40,6,0,4.27383701509222,4.371035899937183,4.632295151650236,0.2564102564102564,0.3333333333333333,11,14.0,0.325,0.38125000000000003,0.45,-401.0532063125146,-381.6674159954677
