analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,contact_reciprocity_error_before,contact_reciprocity_error_after,country,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,calibration_calibration_config_hash,relative_reduction_infant_cases,relative_reduction_total_infections,relative_reduction_reported_cases,relative_reduction_resistant_infections,relative_reduction_deaths,relative_reduction_infant_deaths
macrolide_resistance,country_timeline,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,6995497.97419359,39271238.12310896,400719.8971509411,276370.8759709337,584146.1519927286,340.849182822171,325.5128836437116,37716269.740392685,0.9604043962698171,0.043000000000000003,0.9997151799292826,29594215.534096856,301444.694271963,26.013698630136986,5101.121368828932,52.051346684400684,3524.378361764528,7449.236649695707,0.44274464802751373,4.151054482709413,20383.47875381193,4318071.320509764,180064.6772504655,16526.93324862998,1463.0,9495.0,7,4.331050228310502,0.8218671397050472,0.17813286029495273,5.613787362669629,0.5948864476165415,0.47179051077336853,0.0006442402859048344,0.021192444574400834,0.029451668586969668,0.5435980941692661,0.00014807828409912904,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,eada318a67470d0adce650bb9035caa6e850e46aeba811925223a1f84f38efda,True,accepted,5639.657897067012,5639.657897067012,True,Australia,AUS,2025.0,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,Australia,54.978665659530755,0.9467553651945969,0.05324463480540309,0.25,calibrated_country_scenario_analysis,,0.0005966089312274825,0.00014807828409912904,0.00029104198994300834,0.002473553433278708,0.0006025503090073547,0.0006223987807301157
macrolide_resistance,low,symptom_protective,low,,2025-01-01,2050-12-31,2025,2050,6996405.948527833,39277054.20189965,400836.55742025457,276535.85973465606,584499.6763942249,341.0546854282642,325.71560864139474,37809794.286862515,0.962643330951073,0.05000000000000001,0.9997147900461661,29594215.4203196,301444.686413393,26.013698630136986,5101.876865612534,52.06650042240843,3526.4823845304118,7453.745111197392,0.44301158649801814,4.153639811280256,20289.99718452793,4319113.11695197,178090.94836940354,16451.138289221853,1463.0,9495.0,7,4.331050228310502,0.8218704001434648,0.17812959985653531,5.613890115990801,0.5949914287075392,0.4718742012762088,0.0006445591765175823,0.02119188509205999,0.02945000138905353,0.5437049830499081,0.0,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,eada318a67470d0adce650bb9035caa6e850e46aeba811925223a1f84f38efda,True,accepted,5639.657897067012,5639.657897067012,True,,,,,,,,,,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,Australia,54.978665659530755,0.9470309946196832,0.05296900538031679,0.25,calibrated_country_scenario_analysis,,0.0,0.0,0.0,0.0,0.0,0.0
macrolide_resistance,moderate,symptom_protective,moderate,,2025-01-01,2050-12-31,2025,2050,7075600.42526465,39740818.656887844,406622.12986695225,282253.4001264262,596396.7219853001,347.60326073463824,332.1074176854044,39024603.29496477,0.981977840766022,0.30000000000000004,0.9997264561746735,29594215.53436659,301444.69471969985,26.013698630136986,5162.117339617749,52.81801478175368,3599.3943680488637,7605.460204465788,0.45151782982582,4.23515028789259,12532.807243924357,4379348.108303872,165588.16666101327,10161.60544732516,1456.0,9495.0,7,4.331050228310502,0.8219563495570237,0.1780436504429763,5.616600184909595,0.597327007353203,0.4738451812868738,0.0006488165950625539,0.021194985611701807,0.029438216667099767,0.5460449884793388,-0.011807516230831983,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,eada318a67470d0adce650bb9035caa6e850e46aeba811925223a1f84f38efda,True,accepted,5639.657897067012,5639.657897067012,True,,,,,,,,,,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,Australia,54.978665659530755,0.9607001943052338,0.03929980569476621,0.25,calibrated_country_scenario_analysis,,-0.020675583981246692,-0.011807516230831983,-0.014433744476634258,-0.032129479438198105,-0.019200953941304055,-0.019623895430344263
macrolide_resistance,high,symptom_protective,high,,2025-01-01,2050-12-31,2025,2050,7115292.448917521,39970765.80327655,409419.95376432466,284859.283005301,601923.203904195,350.7817824533966,335.20755661781345,39674897.90171223,0.9925978925942904,0.7,0.9997237823901195,29594215.537673462,301444.69458239776,26.013698630136986,5191.986229304228,53.1814369634243,3632.6255022737446,7675.935843986546,0.4556465575246827,4.274684348981104,13060.565927353047,4410158.859199386,156970.25281652948,10589.51241364603,0.0,9495.0,7,4.331050228310502,0.821987587529928,0.17801241247007218,5.617585797103458,0.5982000829684068,0.47455490850693444,0.0006510655437513647,0.021198355107648097,0.029432765808865575,0.5469178965081416,-0.017662006875845293,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,eada318a67470d0adce650bb9035caa6e850e46aeba811925223a1f84f38efda,True,accepted,5639.657897067012,5639.657897067012,True,,,,,,,,,,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,Australia,54.978665659530755,0.9673104344285791,0.03268956557142089,0.25,calibrated_country_scenario_analysis,,-0.030098893064471,-0.017662006875845293,-0.021413706372771957,-0.04932858403563878,-0.028520637424810813,-0.02914182717865743
macrolide_resistance,very_high,symptom_protective,very_high,,2025-01-01,2050-12-31,2025,2050,7128574.939770121,40046559.207187966,410315.9207901831,285629.66451367846,603612.6829186087,351.82670914926445,336.2247343601119,39989899.99516833,0.9985851665376169,0.9499999999999998,0.9997207908189595,29594215.595438603,301444.6992356642,26.013698630136986,5201.831372263816,53.297818128719186,3642.449621282767,7697.480554205782,0.4570038598783008,4.287655690178637,14153.209483657482,4419617.291059282,150473.27630081275,11475.42829662372,0.0,9495.0,7,4.331050228310502,0.8219928233312336,0.1780071766687664,5.617751029559825,0.5983702913301151,0.47467672211638406,0.0006519507577496011,0.021198840904092433,0.029430468336226867,0.5470890313320463,-0.019591718903682498,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,eada318a67470d0adce650bb9035caa6e850e46aeba811925223a1f84f38efda,True,accepted,5639.657897067012,5639.657897067012,True,,,,,,,,,,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,Australia,54.978665659530755,0.9694272767327486,0.030572723267251356,0.25,calibrated_country_scenario_analysis,,-0.0328847216695447,-0.019591718903682498,-0.02364894916505822,-0.05765981406207543,-0.0315844472491964,-0.03226472861571539
macrolide_resistance,country_timeline_fitness_cost,symptom_protective,country_timeline_fitness_cost,,2025-01-01,2050-12-31,2025,2050,6219956.672298134,34797143.905896276,342843.37420574087,217218.45448441085,457316.3465391826,265.4580791825682,252.7181764242503,121740.79347987389,0.0034985857979926123,0.043000000000000003,5.246787925596791e-05,29594215.501383774,301444.69213326386,26.013698630136986,4519.960740538572,44.53349952382562,2770.045951849226,5831.858519812157,0.3448156835540388,3.2227508626020223,7002.852349882089,3846544.003912311,963370.2654619579,5677.915659363898,9128.0,9495.0,8,3.5726027397260274,0.8212509426314101,0.17874905736858998,5.594435096448914,0.5695708623859237,0.45122014027225327,0.0005600326853096605,0.02174304530648333,0.030282653054485856,0.5169851313396447,0.11405922330566987,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,eada318a67470d0adce650bb9035caa6e850e46aeba811925223a1f84f38efda,True,accepted,5639.657897067012,5639.657897067012,True,Australia,AUS,2025.0,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,Australia,54.978665659530755,0.8100141934984479,0.18998580650155206,0.25,calibrated_country_scenario_analysis,,0.21450167550480403,0.11405922330566987,0.14468037443428872,0.9967801783697571,0.2216553810154196,0.22411401320810787
macrolide_resistance,country_timeline_fitness_advantage,symptom_protective,country_timeline_fitness_advantage,,2025-01-01,2050-12-31,2025,2050,7580068.117726487,42682360.93094918,445953.9927145342,325840.85890180146,691519.1449374275,406.12351914611963,388.65750576785797,42362665.1821789,0.9925098860091764,0.043000000000000003,0.9998733163523158,29594215.56805809,301444.69721278286,26.013698630136986,5544.207760512561,57.927010908309185,4155.236897717402,8818.494636327821,0.5275324788662098,4.956296806927208,35044.39170754841,4671376.085577846,175250.0906845632,28414.007743689177,1442.0,9495.0,7,4.171232876712328,0.8224074781151544,0.17759252188484598,5.630867726786476,0.6138375952318368,0.4872351189902507,0.0007145748622450136,0.020756369859561405,0.028800717853079513,0.563565932656951,-0.08669964686111409,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,eada318a67470d0adce650bb9035caa6e850e46aeba811925223a1f84f38efda,True,accepted,5639.657897067012,5639.657897067012,True,Australia,AUS,2025.0,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,Australia,54.978665659530755,1.0536270790389275,0.053627079038927494,0.25,calibrated_country_scenario_analysis,,-0.1782951376159856,-0.08669964686111409,-0.11255818477399138,-0.12041511944692962,-0.190787098075337,-0.19324188174156798
macrolide_resistance,high_fitness_advantage,symptom_protective,high_fitness_advantage,,2025-01-01,2050-12-31,2025,2050,7882947.858889563,44529771.83096807,472968.486620908,360374.09444805176,764843.5637747062,448.36930143216944,429.8518836124404,44456304.35173988,0.9983501492101271,0.7,0.9998806522044933,29594215.51921338,301444.69333796995,26.013698630136986,5784.176450922751,61.436047611604266,4595.616886498653,9753.55346392561,0.5824074653930825,5.481622029597206,16240.444548359157,4863199.029576141,175055.0468855073,13167.759344985612,1120.0,9495.0,7,4.005022831050229,0.8229735402909163,0.1770264597090838,5.648873064757375,0.6298233487119749,0.5008629604863746,0.0007557108718738491,0.020550931875424838,0.028495803753353248,0.5800209022113229,-0.13373501999583182,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,eada318a67470d0adce650bb9035caa6e850e46aeba811925223a1f84f38efda,True,accepted,5639.657897067012,5639.657897067012,True,,,,,,,,,,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,Australia,54.978665659530755,1.117452504068805,0.11745250406880503,0.25,calibrated_country_scenario_analysis,,-0.3031731030971565,-0.13373501999583182,-0.17995346947615665,-0.17578805148873244,-0.3146551582164887,-0.3197153351213735
macrolide_resistance,country_timeline,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,511349.0220717166,2683037.0982890343,44034.38765324385,10651.92839366376,21943.201232876985,12.793408637110167,11.766892816336927,112961.14945961493,0.042101970759796783,0.009999999999999998,0.09118413916708414,217309741.87777665,2146557.9355089236,26.013698630136986,47.461928105894415,0.7789519355949659,19.07583332370458,39.296626285608816,0.0022631063929420174,0.021072549289371932,87.80528818197118,315129.6319096551,1919.3994411563438,522.7656030226835,35.0,9495.0,9,3.0013698630136987,0.8094141067233837,0.19058589327661646,5.246978057020199,0.3629110455234666,0.2692557276153803,0.0003388364375889247,0.02411476656653729,0.034924545622259114,0.30353289689708135,0.0696395686580431,True,Brazil,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Brazil_calibrated_config.yaml,stale_parameter_overlay,bb8ba9fefeaf93617ad45442075b8c5d18a9d8b3587a6adfd1ead792f78ed606,True,accepted,3219.323018379445,3219.323018379445,True,Brazil,BRA,2025.0,False,exact_year,2025,low_detected_model_anchor,https://www.paho.org/en/news/26-8-2025-paho-calls-strengthened-vaccination-and-surveillance-amid-spread-antibiotic,"PAHO reported antibiotic-resistant pertussis cases detected in Brazil since 2024, but no public national resistant fraction or denominator was located, so keep a conservative low detected anchor pending numeric reporting.",Brazil,BRA,3,relative_detection_prior_mean,2.8141735141396627e-05,1.739283159430409e-16,Brazil,0.8601273820862417,0.9056239248024118,0.09437607519758817,0.25,calibrated_country_scenario_analysis,112000b0ea2994adb3bf5a3e46f2fc647e37a48283af1a8a1447171b7e1903ad,0.06965587070366863,0.0696395686580431,0.06952302295658042,0.7241211662588429,0.06984936374093853,0.06966883210897656
macrolide_resistance,low,symptom_protective,low,,2025-01-01,2050-12-31,2025,2050,549642.9227926042,2883868.453454117,47324.53219118074,11449.449787704232,23586.224676580998,13.75412555601048,12.648069012899361,409459.2830039313,0.14198264921324918,0.05,0.25446657214434737,217309745.3251047,2146557.932643158,26.013698630136986,51.014559254755866,0.8371533551674196,20.50406161384591,42.239008247015555,0.002433053603169879,0.022650589429648406,94.8006535432142,338602.2469950308,2021.4353344071483,564.4138596747771,35.0,9495.0,9,3.1284246575342465,0.8094077688827046,0.19059223111729537,5.24680357713308,0.3628509953929483,0.26922093517728496,0.0003388500176530911,0.024118939069704175,0.0349162103300806,0.3034769959755105,0.0,True,Brazil,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Brazil_calibrated_config.yaml,stale_parameter_overlay,bb8ba9fefeaf93617ad45442075b8c5d18a9d8b3587a6adfd1ead792f78ed606,True,accepted,3219.323018379445,3219.323018379445,True,,,,,,,,,,Brazil,BRA,3,relative_detection_prior_mean,2.8141735141396627e-05,1.739283159430409e-16,Brazil,0.8601273820862417,0.9732899714655072,0.02671002853449278,0.25,calibrated_country_scenario_analysis,112000b0ea2994adb3bf5a3e46f2fc647e37a48283af1a8a1447171b7e1903ad,0.0,0.0,0.0,0.0,0.0,0.0
