country,strategy,rank,rank_acceptability_probability,probability_rank_1,probability_top_2,probability_top_3,probability_within_10_percent_of_best,mean_rank,median_rank,median_infant_cases_per_100k,q025_infant_cases_per_100k,q975_infant_cases_per_100k,median_relative_reduction_vs_current,n_psa_samples,n_rank_observations
All_countries_pooled,combined_strategy,1,0.6921875,0.6921875,0.9640625,0.9859375,0.7859375,1.3578125,1.0,390.4830303312723,0.13676564824497725,3450.365903970089,0.6585641325839945,128,1280
All_countries_pooled,next_generation_vaccine,1,0.303125,0.303125,0.94609375,0.990625,0.42578125,1.7625,2.0,508.3242844882244,0.1690010048358837,3115.3891332949806,0.5860003360598984,128,1280
All_countries_pooled,transmission_blocking_vaccine,1,0.003125,0.003125,0.0625,0.89453125,0.0375,3.0953125,3.0,722.1657974166014,0.24237466451412457,3538.815530474416,0.4619298937525729,128,1280
All_countries_pooled,timeliness_only,1,0.0015625,0.0015625,0.0265625,0.12421875,0.015625,4.37578125,4.0,873.9019366471598,0.3122501756827011,3655.595184944561,0.31084567778492134,128,1280
All_countries_pooled,maternal_immunization,1,0.0,0.0,0.00078125,0.0046875,0.0,5.771875,5.0,1012.6263740013275,0.3249823280184795,5449.85117132505,0.18847917186001378,128,1280
All_countries_pooled,adolescent_booster,1,0.0,0.0,0.0,0.0,0.0,9.878125,10.0,1245.1915915060963,0.40126023120102766,5740.126093410587,4.3298307591477236e-05,128,1280
All_countries_pooled,cocooning_adjunct,1,0.0,0.0,0.0,0.0,0.0,6.51796875,6.0,1074.7222134955887,0.36155061018420886,5164.66010163936,0.1514921166840899,128,1280
All_countries_pooled,current,1,0.0,0.0,0.0,0.0,0.0,10.46796875,10.0,1246.484595073373,0.46953417311211965,5773.86195247741,0.0,128,1280
All_countries_pooled,higher_child_coverage,1,0.0,0.0,0.0,0.0,0.0,11.3984375,12.0,1256.4140516733978,0.4427556065485266,5965.166525531116,-0.027108487458101793,128,1280
All_countries_pooled,pregnancy_tdap_scaleup,1,0.0,0.0,0.0,0.0,0.0,6.80078125,7.0,1074.2142862434102,0.404200317337928,4732.513631535247,0.13843459469148783,128,1280
All_countries_pooled,resistance_guided_treatment,1,0.0,0.0,0.0,0.0,0.0,8.33984375,9.0,1180.6399103550084,0.42534444334653565,5507.188062111521,0.057733314283731574,128,1280
All_countries_pooled,targeted_pep_high_risk,1,0.0,0.0,0.0,0.0,0.0,8.23359375,8.0,1137.2306634451688,0.45977450157676963,5193.970315082422,0.08686807793284307,128,1280
Australia,next_generation_vaccine,1,0.5625,0.5625,0.796875,0.9921875,0.78125,1.6484375,1.0,2017.1851727227643,720.941968086364,4976.736768666706,0.4852415649578332,128,128
Australia,combined_strategy,1,0.40625,0.40625,0.6640625,0.859375,0.640625,2.0703125,2.0,2052.068242285506,614.5785728846406,5011.9983345861,0.4768472234988476,128,128
Australia,transmission_blocking_vaccine,1,0.0234375,0.0234375,0.40625,0.828125,0.25,2.7421875,3.0,2214.5728020355405,832.8055638402582,5383.198372567808,0.4479544768239673,128,128
Australia,timeliness_only,1,0.0078125,0.0078125,0.1328125,0.3203125,0.140625,3.5390625,4.0,2364.439378362486,844.4393150354018,5230.276970134043,0.4017367864616855,128,128
Australia,adolescent_booster,1,0.0,0.0,0.0,0.0,0.0,10.5546875,11.0,3962.158842348493,1510.5184351274925,8538.821689876675,-2.6463594526293654e-05,128,128
Australia,cocooning_adjunct,1,0.0,0.0,0.0,0.0,0.0,6.4140625,6.0,3364.644012096115,1096.3196659179675,7035.873684004469,0.1512812949694306,128,128
Australia,current,1,0.0,0.0,0.0,0.0,0.0,10.2734375,10.0,3962.0494837356773,1507.5154187903904,8537.535134034131,0.0,128,128
Australia,higher_child_coverage,1,0.0,0.0,0.0,0.0,0.0,11.953125,12.0,4126.16602409791,1573.2994718364803,8884.032942445123,-0.04082683311895563,128,128
Australia,maternal_immunization,1,0.0,0.0,0.0,0.0,0.0,8.484375,8.0,3780.5524578420727,1312.5616439622363,8308.429808365132,0.04639910076492093,128,128
Australia,pregnancy_tdap_scaleup,1,0.0,0.0,0.0,0.0,0.0,5.28125,5.0,3132.3855142950556,1116.9302348283911,6457.371869284523,0.20883070504046686,128,128
Australia,resistance_guided_treatment,1,0.0,0.0,0.0,0.0,0.0,8.375,9.0,3698.7033397091964,1395.0907886371729,7876.97258801036,0.03865168870732161,128,128
Australia,targeted_pep_high_risk,1,0.0,0.0,0.0,0.0,0.0,6.6640625,7.0,3379.769530960809,1193.444105663274,7342.847737444207,0.16591258019618305,128,128
Brazil,combined_strategy,1,0.8203125,0.8203125,0.9921875,1.0,0.9140625,1.1875,1.0,3.308116200547245,0.12498477949465826,1478.8290558096821,0.7753097717425113,128,128
Brazil,next_generation_vaccine,1,0.1796875,0.1796875,0.9609375,0.984375,0.2734375,1.875,2.0,25.518283014345137,0.15746245797899586,1692.4289348681518,0.7140293537271526,128,128
Brazil,timeliness_only,1,0.0,0.0,0.0234375,0.109375,0.0,4.546875,4.0,405.41615577516745,0.23851204434566792,1753.8105600905276,0.3108765559430808,128,128
