analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,contact_reciprocity_error_before,contact_reciprocity_error_after,country,temporal_dimension,burn_in_years,npi_scenario,npi_reduction_scale,implementation_note,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status
temporal_assumption_sensitivity,burnin_10y,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,1177835.8211337323,6640626.533590477,110577.8334334166,48334.43907087291,103985.8047434277,56.50168028701334,54.38458605601992,4191170.900582934,0.6311408839787346,0.043,0.9888100326195501,27319410.883983806,290798.0562813589,5.0,4861.471253381669,80.9518432904742,3324.2614953455795,7151.75376845141,0.41363761851934994,3.740367920712691,20092.077042615158,104767.01821981168,96754.18547153998,15038.45775999621,750.0,1825.0,1,,0.8226318231908014,0.17736817680919875,5.6379899595841,0.6565392525894658,0.5133317140969826,0.0006929029108356821,0.028363117777841673,0.04189343435869406,0.5855897975420944,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,burn_in,10.0,country_profile,1.0,Near-term current-practice run varying pre-analysis burn-in duration.,54.978665659530755,1.4724228447410654,0.47242284474106544,0.25,calibrated_country_scenario_analysis
temporal_assumption_sensitivity,burnin_15y,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,899227.3751457989,5058936.81976084,83540.67474506018,37206.542210513515,79706.69572373177,43.03670278921151,41.34085953535764,3577984.989856907,0.7072602638326793,0.043,0.9777289241395527,27319389.691619385,290798.05530274584,5.0,3703.5503917664323,61.158521978759644,2558.926480562485,5481.927700015066,0.3150634276607844,2.843269326015144,14929.187328072121,76829.86917855099,50925.45618443508,11174.144832733926,1470.0,1825.0,2,3.041095890410959,0.8222497320715088,0.17775026792849127,5.6258705635386095,0.6471435549242288,0.5094248626602503,0.0006859186124827489,0.030088417287062203,0.04217242513475725,0.5741967938899266,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,burn_in,15.0,country_profile,1.0,Near-term current-practice run varying pre-analysis burn-in duration.,54.978665659530755,1.1124046254141418,0.11240462541414176,0.25,calibrated_country_scenario_analysis
temporal_assumption_sensitivity,burnin_30y,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,951218.5763643223,5363704.197879034,89795.39788668622,41697.09659815103,89187.65799566178,47.941105933766906,46.132882439780786,3845908.2479687575,0.7170246728910857,0.043,0.9961839561686029,27319389.508994766,290798.0550986558,5.0,3926.6647566286674,65.73748498817777,2867.7699776227814,6133.992743892601,0.3509676225962703,3.1728466976252507,9675.411206831834,85324.43437843138,51981.31514902999,7241.8171895652595,1470.0,1825.0,2,3.9452054794520546,0.8226564066041407,0.17734359339585917,5.638771499164566,0.6592600742999393,0.5203019507588299,0.0007183501621266045,0.030878437605359126,0.04264208673446324,0.5850211997979903,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,burn_in,30.0,country_profile,1.0,Near-term current-practice run varying pre-analysis burn-in duration.,54.978665659530755,1.1956908047800525,0.19569080478005252,0.25,calibrated_country_scenario_analysis
temporal_assumption_sensitivity,burnin_10y,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,575567.7661516215,3032925.012834868,127064.79593847855,9845.24073781797,19734.824605602207,19.602975404468946,18.491606191615915,3025987.666372587,0.9977126548025674,0.9970000000000001,0.9981854489307299,1404870770.9471037,8131253.863857086,5.0,43.17728115006905,1.8089179242132982,24.215799685161592,48.54066773962689,0.0027907158166944365,0.04548279146420442,89.22403759847872,38625.83762483846,308.1228047069461,3434.1984243284423,1680.0,1825.0,2,4.027397260273973,0.8102268392011317,0.1897731607988684,5.269449040056052,0.33460071147302245,0.2511094154785313,1.2654491604156164e-05,0.0141908515332336,0.02562998180775127,0.2947672236404335,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,4471.436261444852,4471.030414119333,True,2.010611200412732e-05,1.6667804836994706e-16,China,burn_in,10.0,country_profile,1.0,Near-term current-practice run varying pre-analysis burn-in duration.,4.430832490427902,0.40825689712287094,0.5917431028771291,0.25,calibrated_country_scenario_analysis
temporal_assumption_sensitivity,burnin_15y,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,2376355.5253680972,12479083.492023246,517258.49441155314,38486.84548170604,77141.37997863325,76.96484684743794,72.3455966700817,12458753.654618345,0.9983708869791683,0.997,0.9989989884310392,1404870879.2608259,8131253.7392033655,5.0,177.6545257823143,7.363786979251918,94.66398839861237,189.74043229449373,0.01095685702986926,0.17794450644500376,718.4105940829602,152281.38647045306,6696.402759217097,27651.3458350581,1710.0,1825.0,2,3.041095890410959,0.8095729123948016,0.1904270876051985,5.251353746864218,0.3288823601738986,0.24812017930622945,1.2037998090058501e-05,0.01835406761641794,0.028000149272197322,0.28251610528719334,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,4471.436261444852,4471.030414119333,True,2.010611200412732e-05,1.6667804836994706e-16,China,burn_in,15.0,country_profile,1.0,Near-term current-practice run varying pre-analysis burn-in duration.,4.430832490427902,1.661942083154845,0.661942083154845,0.25,calibrated_country_scenario_analysis
temporal_assumption_sensitivity,burnin_30y,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,3923277.836700485,20677735.4682352,864008.1196624693,65559.46744201049,131454.81000373553,130.86278818561973,123.31731703917205,20647794.734025545,0.9985520303102994,0.997,0.9993533666539828,1404870880.1254652,8131253.825966984,5.0,294.372041740783,12.300178356395387,161.25303389902243,323.33220144705706,0.018629866991610324,0.30331685537932873,671.7579882244142,258624.36606957874,12777.30440508857,25855.70509994917,1680.0,1825.0,2,4.027397260273973,0.8102655949570803,0.18973440504291975,5.270525394557673,0.34224031540895555,0.2591072754459563,1.2387088144560802e-05,0.02240735907098729,0.031145407323718365,0.28867516192610526,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,4471.436261444852,4471.030414119333,True,2.010611200412732e-05,1.6667804836994706e-16,China,burn_in,30.0,country_profile,1.0,Near-term current-practice run varying pre-analysis burn-in duration.,4.430832490427902,2.7760422861771312,1.7760422861771312,0.25,calibrated_country_scenario_analysis
temporal_assumption_sensitivity,burnin_10y,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,1115559.7787867174,5873537.603181351,80934.58687661141,34432.34396669974,71658.57823005256,44.23620925556011,41.8219315668339,841894.4753793157,0.14333686651181238,0.003,0.5580326413821906,69850577.59520636,652913.0290090719,5.0,1681.7434602242813,23.173634252715388,1054.7298778508925,2195.0420667453673,0.1266595374827535,1.2810873641258826,3417.812438920092,90013.43953457187,97269.21227754661,6540.7170676890255,180.0,1825.0,2,4.027397260273973,0.8100702074023525,0.18992979259764747,5.265103417021192,0.4433106402683113,0.3233392191967908,0.0004152776078134962,0.023101513161734113,0.03665069230861478,0.383143157190149,,True,United_Kingdom,GBR,2025,False,nearest_past_year,2024,measured_national_surveillance_fraction,https://www.postersessiononline.eu/173580348_eu/congresos/UKHSA2025/aula/-P_58_UKHSA2025.pdf,"UKHSA national reference laboratory poster: 661 B. pertussis isolates received from June 2023 to November 2024, with 2 predicted and phenotypically confirmed macrolide-resistant isolates.",United_Kingdom,GBR,3,relative_detection_prior_mean,United_Kingdom,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/United_Kingdom_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,8359.386799731114,8359.386799731114,True,6.047227433250013e-05,1.6570722974665014e-16,United_Kingdom,burn_in,10.0,country_profile,1.0,Near-term current-practice run varying pre-analysis burn-in duration.,7.268426842942312,3.1882599568594587,2.1882599568594587,0.25,calibrated_country_scenario_analysis
temporal_assumption_sensitivity,burnin_15y,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,508376.24486096716,2674735.0830446063,37334.373650642985,15931.923071637957,33077.234719564534,20.299056648315734,19.212542096273772,94047.152689596,0.03516129626659837,0.0030000000000000005,0.10334200456444154,69850549.88724115,652913.0328391367,5.0,765.8451042582763,10.689786611819487,488.02588615391386,1013.2202316664134,0.05812139397924352,0.5885176472195591,2191.8226334624264,40726.6342759893,30990.313189554992,4194.520991853466,1680.0,1825.0,2,4.027397260273973,0.8099339825900476,0.1900660174099526,5.261329792811432,0.453079640888585,0.3311064545220629,0.0004172233802470032,0.02722388949658865,0.039260711135758464,0.38617781687599084,,True,United_Kingdom,GBR,2025,False,nearest_past_year,2024,measured_national_surveillance_fraction,https://www.postersessiononline.eu/173580348_eu/congresos/UKHSA2025/aula/-P_58_UKHSA2025.pdf,"UKHSA national reference laboratory poster: 661 B. pertussis isolates received from June 2023 to November 2024, with 2 predicted and phenotypically confirmed macrolide-resistant isolates.",United_Kingdom,GBR,3,relative_detection_prior_mean,United_Kingdom,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/United_Kingdom_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,8359.386799731114,8359.386799731114,True,6.047227433250013e-05,1.6570722974665014e-16,United_Kingdom,burn_in,15.0,country_profile,1.0,Near-term current-practice run varying pre-analysis burn-in duration.,7.268426842942312,1.4707153064626821,0.4707153064626821,0.25,calibrated_country_scenario_analysis
temporal_assumption_sensitivity,burnin_30y,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,565402.2995991978,2982873.3665274475,41755.45204871998,18258.304270105895,37968.77196200959,23.340370155529826,22.12211441955511,119562.0825996665,0.04008285565902394,0.003,0.14108962588504376,69850549.7192038,652913.0296191738,5.0,854.0729825372798,11.955654527151209,559.2874836869303,1163.0575663088152,0.06682945302322489,0.6776435272691166,1801.5871004104129,46649.33192371615,36109.99865226689,3447.721899471062,180.0,1825.0,2,4.109589041095891,0.8104504515867469,0.18954954841325314,5.275665430865678,0.46102672539274336,0.3385300202761091,0.00043170412080630364,0.02944010264969069,0.0406468264737591,0.39050809214848736,,True,United_Kingdom,GBR,2025,False,nearest_past_year,2024,measured_national_surveillance_fraction,https://www.postersessiononline.eu/173580348_eu/congresos/UKHSA2025/aula/-P_58_UKHSA2025.pdf,"UKHSA national reference laboratory poster: 661 B. pertussis isolates received from June 2023 to November 2024, with 2 predicted and phenotypically confirmed macrolide-resistant isolates.",United_Kingdom,GBR,3,relative_detection_prior_mean,United_Kingdom,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/United_Kingdom_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,8359.386799731114,8359.386799731114,True,6.047227433250013e-05,1.6570722974665014e-16,United_Kingdom,burn_in,30.0,country_profile,1.0,Near-term current-practice run varying pre-analysis burn-in duration.,7.268426842942312,1.6448751271067994,0.6448751271067994,0.25,calibrated_country_scenario_analysis
temporal_assumption_sensitivity,burnin_10y,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,15656.083214210224,81968.82693934003,1220.1420518478128,231.4893948888051,460.7124079893397,0.4804032252992676,0.4335605904530858,69668.1935993235,0.8499352278260679,0.827,0.860352133066037,120390348.25276111,714009.5580806574,5.0,13.61717581666022,0.20269765301884643,6.484209973633297,12.904936713390487,0.0007980759791319065,0.012144391781492344,57.465182153378436,943.3680041202053,6.763767337057676,189.54118607818035,1740.0,1825.0,2,2.958904109589041,0.8089995453296374,0.19100045467036275,5.23558963106054,0.2917383282700647,0.22559356121452032,1.0956976787650796e-05,0.012476380013254022,0.021671937696725253,0.25757905358329775,,True,Japan,JPN,2025,False,exact_year,2025,measured_multicenter_isolate_fraction,https://www.mdpi.com/2227-9059/14/1/167,"Japanese children at six clinics, March-August 2025; 43/52 sequenced B. pertussis isolates carried the A2047G mutation associated with macrolide resistance.",Japan,JPN,3,relative_detection_prior_mean,Japan,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Japan_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,8630.97870408271,8630.97870408271,True,7.644092124256049e-05,2.2471172848738243e-16,Japan,burn_in,10.0,country_profile,1.0,Near-term current-practice run varying pre-analysis burn-in duration.,7.836584827693876,0.02586555974007055,0.9741344402599295,0.25,calibrated_country_scenario_analysis
