analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,contact_reciprocity_error_before,contact_reciprocity_error_after,reporting_scenario,country,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,relative_reduction_infant_cases,relative_reduction_total_infections,relative_reduction_reported_cases,relative_reduction_resistant_infections,relative_reduction_deaths,relative_reduction_infant_deaths
reporting_rate_sensitivity,medium,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4660451.021103678,26219987.585023288,471872.2419762885,225884.13857891582,477088.0875962457,275.92641192640053,265.27468436154135,24655375.554676544,0.9403275068200093,0.043,0.9996702885881779,29593145.58011742,301446.8688366584,26.013698630136986,3405.957672715175,61.29586743276958,2880.532996089162,6083.950767893082,0.35842643966097715,3.3828514305514066,11575.829475822871,417220.1569509764,125753.33571095366,9385.348133935358,1449.0,9495.0,7,3.995433789954338,0.8222557884136567,0.1777442115863435,5.626062255840193,0.6684505283551276,0.5293246395055886,0.0007851235447937412,0.02953263905983827,0.04094429041265551,0.59718847533784,0.0,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,medium,Australia,54.978665659530755,1.1149027845157191,0.11490278451571911,0.25,calibrated_country_scenario_analysis,0.0,0.0,0.0,0.0,0.0,0.0
reporting_rate_sensitivity,high,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4660451.021103678,26219987.585023288,707808.3629644327,225884.13857891582,477088.0875962457,275.92641192640053,265.27468436154135,24655375.554676544,0.9403275068200093,0.043,0.9996702885881779,29593145.58011742,301446.8688366584,26.013698630136986,3405.957672715175,91.94380114915435,2880.532996089162,6083.950767893082,0.35842643966097715,3.3828514305514066,11575.829475822871,417220.1569509764,125753.33571095366,9385.348133935358,1449.0,9495.0,7,3.995433789954338,0.8222557884136567,0.1777442115863435,5.626062255840193,0.6684505283551276,0.5293246395055886,0.0007851235447937412,0.02953263905983827,0.04094429041265551,0.59718847533784,0.0,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,high,Australia,54.978665659530755,1.6723541767735783,0.6723541767735783,0.25,calibrated_country_scenario_analysis,0.0,0.0,-0.4999999999999998,0.0,0.0,0.0
reporting_rate_sensitivity,low,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4660451.021103678,26219987.585023288,235936.12098814425,225884.13857891582,477088.0875962457,275.92641192640053,265.27468436154135,24655375.554676544,0.9403275068200093,0.043,0.9996702885881779,29593145.58011742,301446.8688366584,26.013698630136986,3405.957672715175,30.64793371638479,2880.532996089162,6083.950767893082,0.35842643966097715,3.3828514305514066,11575.829475822871,417220.1569509764,125753.33571095366,9385.348133935358,1449.0,9495.0,7,3.995433789954338,0.8222557884136567,0.1777442115863435,5.626062255840193,0.6684505283551276,0.5293246395055886,0.0007851235447937412,0.02953263905983827,0.04094429041265551,0.59718847533784,0.0,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,low,Australia,54.978665659530755,0.5574513922578596,0.44254860774214044,0.25,calibrated_country_scenario_analysis,0.0,0.0,0.5,0.0,0.0,0.0
reporting_rate_sensitivity,age_biased,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4658780.867023656,26210361.15477018,394293.8938629186,225926.6694883658,477137.1860847047,275.9007082398735,265.2536337703349,24627375.68093299,0.9396045913106736,0.043000000000000003,0.999663138950484,29593145.576286823,301446.8688209102,26.013698630136986,3404.7072067368968,51.21849539120565,2881.0753614043792,6084.576884842932,0.3583930508020303,3.382582988140965,11366.123729929113,282799.83711619035,127038.39121032476,9215.324771996724,1449.0,9495.0,7,3.995433789954338,0.8222542284131871,0.17774577158681298,5.626012878239352,0.6685041929607186,0.5293834899014355,0.0007851814634766316,0.02953496980425604,0.04094764051189999,0.597236401181086,0.00036714091575718033,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,age_biased,Australia,54.978665659530755,0.9316067383008,0.06839326169920001,0.25,calibrated_country_scenario_analysis,-0.00018828639194201635,0.00036714091575718033,0.16440540725272879,0.0011356498578356522,9.315413608868006e-05,7.935393932190227e-05
reporting_rate_sensitivity,time_varying,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4660451.021103678,26219987.585023288,481037.7852369458,225884.13857891582,477088.0875962457,275.92641192640053,265.27468436154135,24655375.554676544,0.9403275068200093,0.043,0.9996702885881779,29593145.58011742,301446.8688366584,26.013698630136986,3405.957672715175,62.48646496040037,2880.532996089162,6083.950767893082,0.35842643966097715,3.3828514305514066,11575.829475822871,417220.1569509764,125753.33571095366,9385.348133935358,1449.0,9495.0,7,3.995433789954338,0.8222557884136567,0.1777442115863435,5.626062255840193,0.6684505283551276,0.5293246395055886,0.0007851235447937412,0.02953263905983827,0.04094429041265551,0.59718847533784,0.0,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,time_varying,Australia,54.978665659530755,1.136558412446085,0.13655841244608502,0.25,calibrated_country_scenario_analysis,0.0,0.0,-0.019423781365630388,0.0,0.0,0.0
reporting_rate_sensitivity,infant_high_adult_very_low,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4657949.557568404,26205562.886910647,250133.8638715062,225974.11049018046,477212.68026369537,275.9112989758697,265.26623914464824,24610752.256653696,0.9391422868060758,0.043000000000000003,0.9996586612993463,29593145.575499814,301446.86876472406,26.013698630136986,3404.0839152571675,32.492210388330264,2881.680341874839,6085.539607286344,0.3584068081020312,3.3827437357671095,11246.877389079804,205177.54017818125,127764.2492365723,9118.64328342016,1449.0,9495.0,7,3.995433789954338,0.8222534055967564,0.17774659440324375,5.625986834557044,0.6685521565453986,0.5294312562566623,0.0007852605261452747,0.0295368141561941,0.04095014572520745,0.5972799361378516,0.0005501413021599122,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,infant_high_adult_very_low,Australia,54.978665659530755,0.5909967075146288,0.40900329248537115,0.25,calibrated_country_scenario_analysis,-0.0003983100001208051,0.0005501413021599122,0.4699118922022215,0.0018098810916057362,5.4771670552677953e-05,3.183574381937504e-05
reporting_rate_sensitivity,infant_moderate_adult_minimal,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4658781.072398821,26210258.239495546,180232.495797729,226016.47449090655,477303.5562288455,275.9656451708244,265.31844423257763,24613697.0249463,0.9390863989221048,0.043000000000000003,0.9996595068614441,29593145.581293706,301446.8688140899,26.013698630136986,3404.6938375401332,23.412072561816018,2882.220578104426,6086.69848011699,0.35847740335120654,3.3834094680056324,11201.31556665724,211154.5665782499,127670.2610053434,9081.703075783538,1449.0,9495.0,7,3.995433789954338,0.8222535226540185,0.17774647734598154,5.625990539624091,0.6685557132539413,0.5294340735460658,0.0007852801058076632,0.029536826025929223,0.040950266272892985,0.5972833408493113,0.0003710659852981246,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,infant_moderate_adult_minimal,Australia,54.978665659530755,0.4258392283799898,0.5741607716200102,0.25,calibrated_country_scenario_analysis,-0.0005858574790742477,0.0003710659852981246,0.6180481075918307,0.0016904439211570255,-0.00014218734680015999,-0.0001649605997708914
reporting_rate_sensitivity,enhanced_surveillance,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4661266.983013194,26224628.684593298,786092.1891353636,225823.08457367163,477019.0698667239,275.9622025948965,265.3073345394017,24694681.36398346,0.9416599053122661,0.043000000000000003,0.9996790368528181,29593145.57962578,301446.86887320224,26.013698630136986,3406.560548293317,102.11281429518505,2879.754419263833,6083.070635206347,0.35847293148985204,3.383267793659507,11939.134692727794,551649.9439126829,124868.01502822104,9679.905508401487,1449.0,9495.0,7,3.995433789954338,0.8222561303317274,0.1777438696682726,5.626073078448909,0.6683762142325623,0.5292394767398091,0.0007853272920387915,0.029529647835316513,0.04093989151985537,0.5971213475853517,-0.00017700616962379456,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,enhanced_surveillance,Australia,54.978665659530755,1.8573170714535778,0.8573170714535778,0.25,calibrated_country_scenario_analysis,0.00027028903236980817,-0.00017700616962379456,-0.6659004688283074,-0.0015942085010933749,-0.00012971091910363164,-0.0001230806397487516
reporting_rate_sensitivity,adult_focused_improvement,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4662188.867389025,26230359.443399563,741106.5825778078,225706.8526161982,476838.45796473126,275.94199014699814,265.2838031325695,24736980.82888726,0.9430667880196325,0.043000000000000003,0.9996899392316559,29593145.580480836,301446.86890213354,26.013698630136986,3407.304969673471,96.26921610906503,2878.2721989841502,6080.767424904764,0.3584466756539416,3.382967714744791,12334.443420363286,685304.8311408046,124178.14410142822,10000.410405288074,1449.0,9495.0,7,3.995433789954338,0.8222598177714949,0.177740182228505,5.6261897982887605,0.6683052350654053,0.5291618674247267,0.0007853560208950465,0.029524632619067435,0.04093262494314623,0.5970626214822966,-0.00039557068219964187,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,adult_focused_improvement,Australia,54.978665659530755,1.7510286027172142,0.7510286027172142,0.25,calibrated_country_scenario_analysis,0.0007848535263829115,-0.00039557068219964187,-0.5705661758655605,-0.0033098369980106845,-5.6457881247640174e-05,-3.437482566459593e-05
reporting_rate_sensitivity,china_passive_system,symptom_protective,country_timeline,,2025-01-01,2050-12-31,2025,2050,4657827.346009274,26204960.734396078,199932.9590014071,225990.57314221287,477243.73628855695,275.9236030620222,265.27908999632444,24610059.661606893,0.9391374370313117,0.043,0.999657776081485,29593145.57864987,301446.86894167436,26.013698630136986,3404.005695712959,25.971148672939222,2881.8902761826157,6085.9356381806,0.3584227909839725,3.382907611167867,11191.761464607895,205528.66741150993,127753.96404642084,9073.956885031921,1449.0,9495.0,7,3.995433789954338,0.8222539849145621,0.17774601508543794,5.626005171026342,0.6685745958296035,0.5294506797582549,0.0007852997841618737,0.029537313021190427,0.040950972434794355,0.597301010589457,0.0005731067026054637,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,stale_parameter_overlay,a09010e3e8929b2829a5d15431d3a49775755e0a1cf2be38002f4834074690ab,629ec230e732a01445f47a3378fcc990248eb91b28caf57161f5c95ef2545fbf,True,accepted,8789.975876338181,8789.975876338181,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,2.2123549308250573e-05,1.8217185182562625e-16,china_passive_system,Australia,54.978665659530755,0.4723859402804009,0.5276140597195991,0.25,calibrated_country_scenario_analysis,-0.0004711909564196759,0.0005731067026054637,0.5762985375786235,0.0018379721277883565,1.0179759011519351e-05,-1.660782216639234e-05
